《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-0680》,《暦日0》,十四／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1739-0690》,《節中》,春分二月中うの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1739-0700》,《暦日2》,十五／,みつのえたつ,のそく,水,　,●
《1739-0710》,《暦日0》,十六／,みつのとのみ,みつ,,天一天上/ひかんニなる,十し
《1739-0720》,《暦日2》,十七／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1739-0730》,《暦日0》,十八／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1739-0740》,《暦日2》,十九／,ひのえさる,とる,火,　,神よし
《1739-0750》,《暦日0》,廿／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1739-0760》,《暦日2》,廿一／,つちのえいぬ,あやふ,木,　, かといてよし
《1739-0770》,《暦日0》,廿二／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《1739-0780》,《暦日2》,廿三／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《1739-0790》,《暦日0》,廿四／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1739-0800》,《暦日2》,廿五／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
