《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-2450》,《暦日0》,廿六／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1739-2460》,《暦日2》,廿七／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1739-2470》,《暦日0》,廿八／,みつのとのとり,のそく,,　,十し
《1739-2480》,《暦日1》,廿九／,きのえいぬ,みつ,火,二百十日,ふく日  くらたてよし
《1739-2490》,《月序》,八月,大,建,癸酉,斗宿　井　木よう
《1739-2500》,《暦日1》,一／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《1739-2510》,《暦日2》,二／,ひのえね,さたん,水,　,きしく  田かりよし
《1739-2520》,《暦日0》,三／,ひのとのうし,とる,,　,●
《1739-2530》,《暦日1》,四／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1739-2540》,《節中》,白露八月せつさるの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1739-2550》,《暦日1》,五／,つちのとのう,やふる,土,　,大みやう
《1739-2560》,《暦日2》,六／,かのえたつ,あやふ,金,　
《1739-2570》,《暦日0》,七／,かのとのみ,なる,,　,十し
《1739-2580》,《暦日2》,八／,みつのえむま,おさん,木,　,大みやう めつもん
《1739-2590》,《暦日0》,九／,みつのとのひつし,ひらく,,　,●
《1739-2600》,《暦日2》,十／,きのえさる,とつ,水,二百廿日/十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1739-2610》,《暦日0》,十一／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1739-2620》,《暦日2》,十二／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1739-2630》,《暦日0》,十三／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1739-2640》,《暦日2》,十四／,つちのえね,たいら,火,社日,大くわ 地火
《1739-2650》,《暦日0》,十五／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1739-2660》,《暦日2》,十六／,かのえとら,とる,木,　,きこ  つめとりよし
《1739-2670》,《暦日0》,十七／,かのとのう,やふる,,　,ふく日  田かりよし
《1739-2680》,《暦日2》,十八／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1739-2690》,《暦日0》,十九／,みつのとのみ,なる,,天一天上,十し
《1739-2700》,《節中》,秋分八月中いの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1739-2710》,《暦日2》,廿／,きのえむま,おさん,金,　,めつもん
《1739-2720》,《暦日0》,廿一／,きのとのひつし,ひらく,,ひかんニなる,●
《1739-2730》,《暦日2》,廿二／,ひのえさる,とつ,火,　,神よし
《1739-2740》,《暦日0》,廿三／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1739-2750》,《暦日2》,廿四／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1739-2760》,《暦日0》,廿五／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1739-2770》,《暦日2》,廿六／,かのえね,たいら,土,　,神よし 大くわ 地火
《1739-2780》,《暦日0》,廿七／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《1739-2790》,《暦日2》,廿八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1739-2800》,《暦日0》,廿九／,みつのとのう,やふる,,　, くらたて 田かりよし
《1739-2810》,《暦日1》,卅／,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
《1739-2820》,《月序》,九月,小,建,甲戌,牛宿　柳　土よう
《1739-2830》,《暦日1》,一／,きのとのみ,なる,火,　,十し
《1739-2840》,《暦日2》,二／,ひのえむま,おさん,水,　,大みやう めつもん
《1739-2850》,《暦日0》,三／,ひのとのひつし,ひらく,,　,●
《1739-2860》,《暦日2》,四／,つちのえさる,とつ,土,　,天しや よろつよし
《1739-2870》,《暦日0》,五／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1739-2880》,《節中》,寒露九月せつとらの初刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《1739-2890》,《暦日2》,六／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1739-2900》,《暦日0》,七／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1739-2910》,《暦日2》,八／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《1739-2920》,《暦日0》,九／,みつのとのうし,たいら,,ま日,十し
《1739-2930》,《暦日2》,十／,きのえとら,さたん,水,　,●
《1739-2940》,《暦日0》,十一／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1739-2950》,《暦日2》,十二／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《1739-2960》,《暦日0》,十三／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1739-2970》,《暦日2》,十四／,つちのえむま,なる,火,ま日,神よし ふく日
《1739-2980》,《暦日0》,十五／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《1739-2990》,《暦日2》,十六／,かのえさる,ひらく,木,　,さい下しき 大みやう
《1739-3000》,《暦日0》,十七／,かのとのとり,とつ,,とようたつの一刻ニ入,神よし 大みやう  いちたちよし
《1739-3010》,《暦日2》,十八／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1739-3020》,《暦日0》,十九／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1739-3030》,《暦日1》,廿／,きのえね,みつ,金,　,きこ 天火 らうしやく
《1739-3040》,《節中》,霜降九月中たつの五刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《1739-3050》,《暦日1》,廿一／,きのとのうし,たいら,金,　,十し
《1739-3060》,《暦日2》,廿二／,ひのえとら,さたん,火,　,●
《1739-3070》,《暦日0》,廿三／,ひのとのう,とる,,　,神よし  田かりよし
《1739-3080》,《暦日2》,廿四／,つちのえたつ,やふる,木,　,五む日 ふく日
《1739-3090》,《暦日0》,廿五／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1739-3100》,《暦日2》,廿六／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1739-3110》,《暦日0》,廿七／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《1739-3120》,《暦日2》,廿八／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《1739-3130》,《暦日0》,廿九／,みつのとのとり,とつ,,　,神よし 大みやう
《1739-3140》,《月序》,十月,大,建,乙亥,女宿　星　日よう
《1739-3150》,《暦日2》,一／,きのえいぬ,たつ,火,　,くゑ日
《1739-3160》,《暦日0》,二／,きのとのい,のそく,,　,ちう日 わうまう  田かりよし
《1739-3170》,《暦日2》,三／,ひのえね,みつ,水,　,きこ 天火 らうしやく
《1739-3180》,《暦日0》,四／,ひのとのうし,たいら,,　,十し
《1739-3190》,《暦日2》,五／,つちのえとら,さたん,土,　,●
《1739-3200》,《暦日0》,六／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1739-3210》,《節中》,立冬十月せつひつしの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《1739-3220》,《暦日2》,七／,かのえたつ,とる,金,　, けんふく よめとりよし
《1739-3230》,《暦日0》,八／,かのとのみ,やふる,,　,ちう日
《1739-3240》,《暦日2》,九／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1739-3250》,《暦日0》,十／,みつのとのひつし,なる,,　
《1739-3260》,《暦日2》,十一／,きのえさる,おさん,水,十方くれニ入,●
《1739-3270》,《暦日0》,十二／,きのとのとり,ひらく,,　,十し
《1739-3280》,《暦日2》,十三／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1739-3290》,《暦日0》,十四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1739-3300》,《暦日2》,十五／,つちのえね,のそく,火,　,くゑ日 わうまう  たねまきよし
《1739-3310》,《暦日0》,十六／,つちのとのうし,みつ,,　,くゑ日 きこ
《1739-3320》,《暦日2》,十七／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1739-3330》,《暦日0》,十八／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1739-3340》,《暦日2》,十九／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1739-3350》,《暦日0》,廿／,みつのとのみ,やふる,,天一天上,ちう日
《1739-3360》,《暦日1》,廿一／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1739-3370》,《節中》,小雪十月中とりの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1739-3380》,《暦日1》,廿二／,きのとのひつし,なる,金,　,大みやう 五む日  みそさけつくり 木こりよし
《1739-3390》,《暦日2》,廿三／,ひのえさる,おさん,火,　,●
《1739-3400》,《暦日0》,廿四／,ひのとのとり,ひらく,,　,十し
《1739-3410》,《暦日2》,廿五／,つちのえいぬ,とつ,木,　,くゑ日
《1739-3420》,《暦日0》,廿六／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1739-3430》,《暦日2》,廿七／,かのえね,のそく,土,　,神よし きしく  くらたて 井ほりよし
《1739-3440》,《暦日0》,廿八／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1739-3450》,《暦日2》,廿九／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1739-3460》,《暦日0》,卅／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1739-3470》,《月序》,十一月,小,建,丙子,虛宿　翼　火よう
《1739-3480》,《暦日2》,一／,きのえたつ,とる,火,　,大みやう  やたて かとたてよし
《1739-3490》,《暦日0》,二／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1739-3500》,《暦日2》,三／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1739-3510》,《暦日0》,四／,ひのとのひつし,なる,,　, 木こりよし
《1739-3520》,《暦日2》,五／,つちのえさる,おさん,土,　,●
《1739-3530》,《暦日0》,六／,つちのとのとり,ひらく,,　,十し
《1739-3540》,《暦日1》,七／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1739-3550》,《節中》,大雪十一月せつねの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1739-3560》,《暦日1》,八／,かのとのい,とつ,金,　,神よし 大みやう ちう日
《1739-3570》,《暦日2》,九／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1739-3580》,《暦日0》,十／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《1739-3590》,《暦日2》,十一／,きのえとら,みつ,水,　,きこ  つめとりよし
《1739-3600》,《暦日0》,十二／,きのとのう,たいら,,　,●
《1739-3610》,《暦日2》,十三／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1739-3620》,《暦日0》,十四／,ひのとのみ,とる,,　,十し
《1739-3630》,《暦日2》,十五／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1739-3640》,《暦日0》,十六／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1739-3650》,《暦日2》,十七／,かのえさる,なる,木,　,さい下しき 大みやう  入学 みそさけつくりよし
《1739-3660》,《暦日0》,十八／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1739-3670》,《暦日2》,十九／,みつのえいぬ,ひらく,水,ま日
《1739-3680》,《暦日0》,廿／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1739-3690》,《暦日2》,廿一／,きのえね,たつ,金,　,天しや よろつよし
《1739-3700》,《暦日0》,廿二／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1739-3710》,《節中》,冬至十一月中うの一刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《1739-3720》,《暦日2》,廿三／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1739-3730》,《暦日0》,廿四／,ひのとのう,たいら,,　,●
《1739-3740》,《暦日2》,廿五／,つちのえたつ,さたん,木,　,きしく 五む日
《1739-3750》,《暦日0》,廿六／,つちのとのみ,とる,,　,十し
《1739-3760》,《暦日2》,廿七／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1739-3770》,《暦日0》,廿八／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1739-3780》,《暦日1》,廿九／,みつのえさる,なる,金,　,大みやう  いちたちよし
《1739-3790》,《月序》,十二月,大,建,丁丑,危宿　軫　水よう
《1739-3800》,《暦日1》,一／,みつのとのとり,おさん,金,　,神よし 大みやう 大くわ ふく日
《1739-3810》,《暦日2》,二／,きのえいぬ,ひらく,火,　
《1739-3820》,《暦日0》,三／,きのとのい,とつ,,　,ちう日
《1739-3830》,《暦日2》,四／,ひのえね,たつ,水,　, 木こりよし
《1739-3840》,《暦日0》,五／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1739-3850》,《暦日2》,六／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1739-3860》,《暦日0》,七／,つちのとのう,たいら,,　,●
《1739-3870》,《暦日1》,八／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1739-3880》,《節中》,小寒十二月せつみの六刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《1739-3890》,《暦日1》,九／,かのとのみ,さたん,金,　,ちう日  すゝはらひよし
《1739-3900》,《暦日2》,十／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1739-3910》,《暦日0》,十一／,みつのとのひつし,やふる,,　, たねまきよし
《1739-3920》,《暦日2》,十二／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1739-3930》,《暦日0》,十三／,きのとのとり,なる,,　,●
《1739-3940》,《暦日2》,十四／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1739-3950》,《暦日0》,十五／,ひのとのい,ひらく,,　,大みやう ちう日
《1739-3960》,《食記》,月帯そく
《1739-3970》,《暦日2》,十六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1739-3980》,《暦日0》,十七／,つちのとのうし,たつ,,　,十し
《1739-3990》,《暦日2》,十八／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《1739-4000》,《暦日0》,十九／,かのとのう,みつ,,　,神よし  よめとりよし
《1739-4010》,《暦日2》,廿／,みつのえたつ,たいら,水,とようひつしの七刻ニ入,大みやう 五む日 大くわ 地火
《1739-4020》,《暦日0》,廿一／,みつのとのみ,さたん,,天一天上,ちう日
《1739-4030》,《暦日2》,廿二／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《1739-4040》,《暦日0》,廿三／,きのとのひつし,やふる,,　,大みやう 五む日
《1739-4050》,《節中》,大寒十二月中さるの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《1739-4060》,《暦日2》,廿四／,ひのえさる,あやふ,火,　,神よし きしく  木こりよし
《1739-4070》,《暦日0》,廿五／,ひのとのとり,なる,,　,●
《1739-4080》,《暦日2》,廿六／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1739-4090》,《暦日0》,廿七／,つちのとのい,ひらく,,　,ちう日 ふく日
《1739-4100》,《暦日2》,廿八／,かのえね,とつ,土,　,神よし きこ ちいみ
《1739-4110》,《暦日0》,廿九／,かのとのうし,たつ,,　,十し
《1739-4120》,《暦日1》,卅／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1739-4130》,《暦末》,元文三年出,立表測景定節氣者
