«1728-0000»,【 カンマ区切りテキスト形式です。】
«1728-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1728-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1728-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1728-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1728-0050»,【 外部リンク　】
«1728-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/111 ～ 115】
«1728-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1728h　(翻刻編集終了データを表成型して表示します)】
«1728-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1728ht (翻刻編集中データを表成型して表示します)】
«1728-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1728-0100»,«版元»,出版地○○,出版元□□□,　
«1728-0680»,«暦日2»,十五〳,ひのえさる,とる,火,　,神よし
«1728-0690»,«暦日0»,十六〳,ひのとのとり,やふる,,　,さい下しき  あさまき たねかしよし
«1728-0700»,«暦日2»,十七〳,つちのえいぬ,あやふ,木,　, かといてよし
«1728-0710»,«暦日0»,十八〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1728-0720»,«暦日2»,十九〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1728-0730»,«暦日0»,廿〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1728-0740»,«暦日2»,廿一〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1728-0750»,«暦日0»,廿二〳,みつのとのう,たつ,,　,天火 らうしやく
«1728-0760»,«暦日2»,廿三〳,きのえたつ,のそく,火,　,●
«1728-0770»,«暦日0»,廿四〳,きのとのみ,みつ,,　,十し
«1728-0780»,«暦日2»,廿五〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1728-0790»,«暦日0»,廿六〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1728-0800»,«暦日2»,廿七〳,つちのえさる,さたん,土,三月せついぬの五刻ニ入,くゑ日 ふく日
«1728-0810»,«暦日0»,廿八〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1728-0820»,«暦日1»,廿九〳,かのえいぬ,やふる,金,　,大みやう
«1728-0830»,«月序»,三月,大,建,丙辰,虛宿　亢　金よう
«1728-0840»,«暦日1»,一〳,かのとのい,あやふ,金,　,●
«1728-0850»,«暦日2»,二〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1728-0860»,«暦日0»,三〳,みつのとのうし,おさん,,ま日,十し
«1728-0870»,«暦日2»,四〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1728-0880»,«暦日0»,五〳,きのとのう,とつ,,　,神よし  ものたちよし
«1728-0890»,«暦日2»,六〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1728-0900»,«暦日0»,七〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1728-0910»,«暦日2»,八〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1728-0920»,«暦日0»,九〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1728-0930»,«暦日2»,十〳,かのえさる,さたん,木,　,大みやう くゑ日
«1728-0940»,«暦日0»,十一〳,かのとのとり,とる,,とようねの六刻ニ入,神よし 大みやう  井ほりよし
«1728-0950»,«暦日2»,十二〳,みつのえいぬ,やふる,水,ま日
«1728-0960»,«暦日0»,十三〳,みつのとのい,あやふ,,八せんのおはり,●
«1728-0970»,«暦日2»,十四〳,きのえね,なる,金,三月中うしの二刻,くゑ日 きこ
«1728-0980»,«暦日0»,十五〳,きのとのうし,おさん,,　,十し
«1728-0990»,«暦日2»,十六〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1728-1000»,«暦日0»,十七〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1728-1010»,«暦日2»,十八〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日 わうまう
«1728-1020»,«暦日0»,十九〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1728-1030»,«暦日2»,廿〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1728-1040»,«暦日0»,廿一〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
