《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0410》,《暦日1》,十九／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0420》,《節中》,啓蟄二月せついの二刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0430》,《暦日1》,廿／,つちのとのうし,ひらく,火,　, 井ほり  つめとりよし
《0440》,《暦日2》,廿一／,かのえとら,とつ,木,　,きこ  つめとりよし
《0450》,《暦日0》,廿二／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0460》,《暦日2》,廿三／,みつのえたつ,のそく,水,　,●
《0470》,《暦日0》,廿四／,みつのとのみ,みつ,,天一天上,十し
《0480》,《暦日2》,廿五／,きのえむま,たいら,金,　,神よし 大くわ 地火
《0490》,《暦日0》,廿六／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0500》,《暦日2》,廿七／,ひのえさる,とる,火,　,神よし
《0510》,《暦日0》,廿八／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0520》,《暦日2》,廿九／,つちのえいぬ,あやふ,木,　, かといてよし
《0530》,《暦日0》,卅／,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
《0540》,《月序》,二月,小,建,己卯,尾宿　虛　日よう
《0550》,《暦日2》,一／,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
《0560》,《暦日0》,二／,かのとのうし,ひらく,,　,五む日 ふく日 わうまう  ものたち  つめとりよし
《0570》,《暦日2》,三／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0580》,《暦日0》,四／,みつのとのう,たつ,,　,天火 らうしやく
《0590》,《暦日1》,五／,きのえたつ,のそく,火,　,●
《0600》,《節中》,春分二月中うしの七刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0610》,《暦日1》,六／,きのとのみ,みつ,火,　,十し
《0620》,《暦日2》,七／,ひのえむま,たいら,水,ひかんニなる,神よし 大みやう 大くわ 地火
《0630》,《暦日0》,八／,ひのとのひつし,さたん,,　,神よし ちいみ
《0640》,《暦日2》,九／,つちのえさる,とる,土,社日,神よし  たねまきよし
《0650》,《暦日0》,十／,つちのとのとり,やふる,,　,大みやう
《0660》,《暦日2》,十一／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0670》,《暦日0》,十二／,かのとのい,なる,,　,さい下しき 神よし 大みやう ちう日 ふく日
《0680》,《暦日2》,十三／,みつのえね,おさん,木,八せんのはしめ,神よし きしく めつもん  あさまきよし
《0690》,《暦日0》,十四／,みつのとのうし,ひらく,,ま日, つめとりよし
《0700》,《暦日2》,十五／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《0710》,《暦日0》,十六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0720》,《暦日2》,十七／,ひのえたつ,のそく,土,ま日,●
《0730》,《暦日0》,十八／,ひのとのみ,みつ,,　,十し
