《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/182 ～ 186
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1847g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1847h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2580》,《暦日0》,八／,きのとのう,やふる,,　,くゑ日 ふく日
《2590》,《暦日2》,九／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2600》,《暦日0》,十／,ひのとのみ,なる,,　,十し
《2610》,《暦日2》,十一／,つちのえむま,おさん,火,ま日/社日,めつもん
《2620》,《暦日0》,十二／,つちのとのひつし,ひらく,,ひかんニなる,●
《2630》,《暦日2》,十三／,かのえさる,とつ,木,　,さい下しき 神よし 大みやう 月とく  入学よし
《2640》,《暦日0》,十四／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2650》,《暦日1》,十五／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ
《2660》,《節中》,秋分八月中今暁八時日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2670》,《食記》,月食四分半
《2680》,《暦日1》,十六／,みつのとのい,みつ,水,八せんのおはり,ちう日 わうまう  いちたちよし
《2690》,《暦日2》,十七／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2700》,《暦日0》,十八／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2710》,《暦日2》,十九／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2720》,《暦日0》,廿／,ひのとのう,やふる,,　,天おん  田かりよし
《2730》,《暦日2》,廿一／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2740》,《暦日0》,廿二／,つちのとのみ,なる,,　,十し
《2750》,《暦日2》,廿三／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2760》,《暦日0》,廿四／,かのとのひつし,ひらく,,　,●
《2770》,《暦日2》,廿五／,みつのえさる,とつ,金,　,神よし 大みやう
《2780》,《暦日0》,廿六／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2790》,《暦日2》,廿七／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2800》,《暦日0》,廿八／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2810》,《暦日1》,廿九／,ひのえね,たいら,水,　,きしく 大くわ 地火
《2820》,《月序》,九月,大,建,庚戌,胃宿　柳　土よう
《2830》,《暦日1》,一／,ひのとのうし,たいら,水,　,十し
《2840》,《節中》,寒露九月せつ明六時九分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《2850》,《暦日2》,二／,つちのえとら,さたん,土,　,●
《2860》,《暦日0》,三／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《2870》,《暦日2》,四／,かのえたつ,やふる,金,　,天おん
《2880》,《暦日0》,五／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《2890》,《暦日2》,六／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《2900》,《暦日0》,七／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《2910》,《暦日2》,八／,きのえさる,ひらく,水,十方くれニ入,大みやう
《2920》,《暦日0》,九／,きのとのとり,とつ,,　,神よし  田かりよし
《2930》,《暦日2》,十／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《2940》,《暦日0》,十一／,ひのとのい,のそく,,　,大みやう ちう日
《2950》,《暦日2》,十二／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《2960》,《暦日0》,十三／,つちのとのうし,たいら,,とよう朝四時五分ニ入,十し
《2970》,《暦日2》,十四／,かのえとら,さたん,木,　,●
《2980》,《暦日0》,十五／,かのとのう,とる,,　,くゑ日
《2990》,《暦日1》,十六／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3000》,《節中》,霜降九月中朝四時一分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3010》,《暦日1》,十七／,みつのとのみ,あやふ,水,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3020》,《暦日2》,十八／,きのえむま,なる,金,　,くゑ日
《3030》,《暦日0》,十九／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3040》,《暦日2》,廿／,ひのえさる,ひらく,火,　,くゑ日
《3050》,《暦日0》,廿一／,ひのとのとり,とつ,,　,くゑ日
《3060》,《暦日2》,廿二／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3070》,《暦日0》,廿三／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3080》,《暦日2》,廿四／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3090》,《暦日0》,廿五／,かのとのうし,たいら,,　,十し
《3100》,《暦日2》,廿六／,みつのえとら,さたん,金,　,●
《3110》,《暦日0》,廿七／,みつのとのう,とる,,　,わうまう  けんふく かといてよし
《3120》,《暦日2》,廿八／,きのえたつ,やふる,火,　,きしく 大みやう
《3130》,《暦日0》,廿九／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3140》,《暦日1》,卅／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3150》,《月序》,十月,大,建,辛亥,昴宿　張　月よう
《3160》,《暦日1》,一／,ひのとのひつし,なる,水,　, 木こりよし
《3170》,《節中》,立冬十月せつ朝五時八分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3180》,《暦日2》,二／,つちのえさる,おさん,土,　,●
《3190》,《暦日0》,三／,つちのとのとり,ひらく,,　,十し
《3200》,《暦日2》,四／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3210》,《暦日0》,五／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3220》,《暦日2》,六／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3230》,《暦日0》,七／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3240》,《暦日2》,八／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3250》,《暦日0》,九／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3260》,《暦日2》,十／,ひのえたつ,とる,土,ま日,大みやう ふく日 わうまう  かといてよし
《3270》,《暦日0》,十一／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3280》,《暦日2》,十二／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3290》,《暦日0》,十三／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3300》,《暦日2》,十四／,かのえさる,おさん,木,　,●
《3310》,《暦日0》,十五／,かのとのとり,ひらく,,　,十し
《3320》,《暦日1》,十六／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3330》,《節中》,小雪十月中明六時二分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3340》,《暦日1》,十七／,みつのとのい,たつ,水,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3350》,《暦日2》,十八／,きのえね,のそく,金,　,天しや よろつよし
《3360》,《暦日0》,十九／,きのとのうし,みつ,,　,くゑ日 きこ
《3370》,《暦日2》,廿／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3380》,《暦日0》,廿一／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3390》,《暦日2》,廿二／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《3400》,《暦日0》,廿三／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3410》,《暦日2》,廿四／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3420》,《暦日0》,廿五／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3430》,《暦日2》,廿六／,みつのえさる,おさん,金,　,●
《3440》,《暦日0》,廿七／,みつのとのとり,ひらく,,　,十し
《3450》,《暦日2》,廿八／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3460》,《暦日0》,廿九／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3470》,《暦日1》,卅／,ひのえね,のそく,水,　,ふく日
《3480》,《月序》,十一月,小,建,壬子,畢宿　軫　水よう
《3490》,《暦日1》,一／,ひのとのうし,のそく,水,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3500》,《節中》,大雪十一月せつ今暁九時八分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3510》,《暦日2》,二／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3520》,《暦日0》,三／,つちのとのう,たいら,,　,●
《3530》,《暦日2》,四／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3540》,《暦日0》,五／,かのとのみ,とる,,　,十し
《3550》,《暦日2》,六／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3560》,《暦日0》,七／,みつのとのひつし,あやふ,,　,天おん ふく日
《3570》,《暦日2》,八／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3580》,《暦日0》,九／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3590》,《暦日2》,十／,ひのえいぬ,ひらく,土,　,五む日
《3600》,《暦日0》,十一／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3610》,《暦日2》,十二／,つちのえね,たつ,火,　,くゑ日
《3620》,《暦日0》,十三／,つちのとのうし,のそく,,　, つめとりよし
《3630》,《暦日2》,十四／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3640》,《暦日0》,十五／,かのとのう,たいら,,　,●
《3650》,《節中》,冬至十一月中暮六時八分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3660》,《暦日2》,十六／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3670》,《暦日0》,十七／,みつのとのみ,とる,,天一天上,十し
《3680》,《暦日2》,十八／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3690》,《暦日0》,十九／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3700》,《暦日2》,廿／,ひのえさる,なる,火,　,母倉 わうまう
《3710》,《暦日0》,廿一／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3720》,《暦日2》,廿二／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3730》,《暦日0》,廿三／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3740》,《暦日2》,廿四／,かのえね,たつ,土,　,きしく  井ほりよし
《3750》,《暦日0》,廿五／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3760》,《暦日2》,廿六／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3770》,《暦日0》,廿七／,みつのとのう,たいら,,　,●
《3780》,《暦日2》,廿八／,きのえたつ,さたん,火,　,大みやう
《3790》,《暦日0》,廿九／,きのとのみ,とる,,　,十し
《3800》,《月序》,十二月,大,建,癸丑,觜宿　角　木よう
《3810》,《暦日1》,一／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《3820》,《節中》,小寒十二月せつ昼九時二分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3830》,《暦日1》,二／,ひのとのひつし,やふる,水,　,くゑ日
《3840》,《暦日2》,三／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3850》,《暦日0》,四／,つちのとのとり,なる,,　,●
《3860》,《暦日2》,五／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《3870》,《暦日0》,六／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《3880》,《暦日2》,七／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《3890》,《暦日0》,八／,みつのとのうし,たつ,,ま日,十し
《3900》,《暦日2》,九／,きのえとら,のそく,水,　, 木こり  つめとりよし
《3910》,《暦日0》,十／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《3920》,《暦日2》,十一／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《3930》,《暦日0》,十二／,ひのとのみ,さたん,,　,母倉 ちう日
《3940》,《暦日2》,十三／,つちのえむま,とる,火,ま日/とよう昼八時九分ニ入,神よし 母倉 ふく日  ふねのりよし
《3950》,《暦日0》,十四／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《3960》,《暦日2》,十五／,かのえさる,あやふ,木,　,さい下しき 神よし 大みやう 月とく  みそさけつくりよし
《3970》,《暦日0》,十六／,かのとのとり,なる,,　,●
《3980》,《節中》,大寒十二月中今暁七時七分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3990》,《暦日2》,十七／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4000》,《暦日0》,十八／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4010》,《暦日2》,十九／,きのえね,とつ,金,　,天しや よろつよし
《4020》,《暦日0》,廿／,きのとのうし,たつ,,　,十し
《4030》,《暦日2》,廿一／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4040》,《暦日0》,廿二／,ひのとのう,みつ,,　,神よし 天おん
《4050》,《暦日2》,廿三／,つちのえたつ,たいら,木,　,きしく 天おん 五む日 大くわ ふく日 地火
《4060》,《暦日0》,廿四／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《4070》,《暦日2》,廿五／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《4080》,《暦日0》,廿六／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4090》,《暦日2》,廿七／,みつのえさる,あやふ,金,　,神よし 大みやう
《4100》,《暦日0》,廿八／,みつのとのとり,なる,,　,●
《4110》,《暦日2》,廿九／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4120》,《暦日0》,卅／,きのとのい,おさん,,せつふん,母倉 大くわ ちう日
《4130》,《暦末》,弘化三年出,立表測景定節氣者
