《1726-0000》,# カンマ区切りテキスト形式です。
《1726-0670》,《暦日2》,十五／,つちのえとら,とつ,土,社日,天しや よろつよし
《1726-0680》,《暦日0》,十六／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1726-0690》,《暦日2》,十七／,かのえたつ,のそく,金,　,●
《1726-0700》,《暦日0》,十八／,かのとのみ,みつ,,　,十し
《1726-0710》,《暦日2》,十九／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《1726-0720》,《暦日0》,廿／,みつのとのひつし,さたん,,春分二月中とらの二刻,ちいみ
《1726-0730》,《暦日2》,廿一／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《1726-0740》,《暦日0》,廿二／,きのとのとり,やふる,,ひかんニなる,ふく日
《1726-0750》,《暦日2》,廿三／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1726-0760》,《暦日0》,廿四／,ひのとのい,なる,,　,大みやう ちう日
《1726-0770》,《暦日2》,廿五／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《1726-0780》,《暦日0》,廿六／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《1726-0790》,《暦日2》,廿七／,かのえとら,とつ,木,　,きこ  つめとりよし
《1726-0800》,《暦日0》,廿八／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1726-0810》,《暦日1》,廿九／,みつのえたつ,のそく,水,　,●
《1726-0820》,《月序》,三月,大,建,壬辰,奎宿　觜　火よう
《1726-0830》,《暦日1》,一／,みつのとのみ,みつ,水,天一天上,十し
《1726-0840》,《暦日2》,二／,きのえむま,たいら,金,　,神よし 大くわ 地火
《1726-0850》,《暦日0》,三／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1726-0860》,《暦日2》,四／,ひのえさる,とる,火,　,神よし きしく
《1726-0870》,《暦日0》,五／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1726-0880》,《暦日2》,六／,つちのえいぬ,やふる,木,三月せつたつの七刻ニ入,ふく日
《1726-0890》,《暦日0》,七／,つちのとのい,あやふ,,　,●
《1726-0900》,《暦日2》,八／,かのえね,なる,土,　,神よし きこ
《1726-0910》,《暦日0》,九／,かのとのうし,おさん,,　,十し
《1726-0920》,《暦日2》,十／,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
《1726-0930》,《暦日0》,十一／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1726-0940》,《暦日2》,十二／,きのえたつ,たつ,火,　,大みやう くゑ日
《1726-0950》,《暦日0》,十三／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《1726-0960》,《暦日2》,十四／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《1726-0970》,《暦日0》,十五／,ひのとのひつし,たいら,,　,さい下しき めつもん 地火
《1726-0980》,《食記》,月そく六分
《1726-0990》,《暦日2》,十六／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1726-1000》,《暦日0》,十七／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1726-1010》,《暦日2》,十八／,かのえいぬ,やふる,金,とようひつしの初刻ニ入,大みやう
《1726-1020》,《暦日0》,十九／,かのとのい,あやふ,,　,●
《1726-1030》,《暦日2》,廿／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1726-1040》,《暦日0》,廿一／,みつのとのうし,おさん,,三月中ひつしの四刻/ま日,十し
《1726-1050》,《暦日2》,廿二／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1726-1060》,《暦日0》,廿三／,きのとのう,とつ,,　,神よし  ものたちよし
《1726-1070》,《暦日2》,廿四／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1726-1080》,《暦日0》,廿五／,ひのとのみ,のそく,,　,ちう日  いちたちよし
《1726-1090》,《暦日2》,廿六／,つちのえむま,みつ,火,ま日,ふく日 天火 らうしやく わうまう  ふねのりよし
《1726-1100》,《暦日0》,廿七／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1726-1110》,《暦日2》,廿八／,かのえさる,さたん,木,　,大みやう くゑ日
《1726-1120》,《暦日0》,廿九／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1726-1130》,《暦日1》,卅／,みつのえいぬ,やふる,水,ま日
《1726-1140》,《月序》,四月,小,建,癸巳,婁宿　井　木よう
《1726-1150》,《暦日1》,一／,みつのとのい,あやふ,水,八せんのおはり,●
《1726-1160》,《暦日2》,二／,きのえね,なる,金,八十八や,きしく くゑ日 きこ
《1726-1170》,《暦日0》,三／,きのとのうし,おさん,,　,十し
《1726-1180》,《暦日2》,四／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1726-1190》,《暦日0》,五／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1726-1200》,《暦日2》,六／,つちのえたつ,とつ,木,立夏四月せついぬの一刻ニ入,五む日 くゑ日
《1726-1210》,《暦日0》,七／,つちのとのみ,たつ,,　,●
