《1726-0000》,# カンマ区切りテキスト形式です。
《1726-2970》,《暦日1》,一／,つちのとのひつし,おさん,火,　,神よし 大みやう 大くわ ふく日  かといてよし
《1726-2980》,《暦日2》,二／,かのえさる,ひらく,木,　,大みやう
《1726-2990》,《暦日0》,三／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《1726-3000》,《暦日2》,四／,みつのえいぬ,たつ,水,ま日, 田かりよし
《1726-3010》,《暦日0》,五／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《1726-3020》,《暦日2》,六／,きのえね,みつ,金,　,きこ 天火 らうしやく
《1726-3030》,《暦日0》,七／,きのとのうし,たいら,,　,十し
《1726-3040》,《暦日2》,八／,ひのえとら,さたん,火,　,●
《1726-3050》,《暦日0》,九／,ひのとのう,とる,,　,神よし  田かりよし
《1726-3060》,《暦日2》,十／,つちのえたつ,やふる,木,　,五む日 ふく日
《1726-3070》,《暦日0》,十一／,つちのとのみ,あやふ,,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《1726-3080》,《暦日2》,十二／,かのえむま,なる,土,　,神よし  みそすつくりよし
《1726-3090》,《暦日0》,十三／,かのとのひつし,なる,,立冬十月せつみの五刻ニ入,大みやう  やたて ものたちよし
《1726-3100》,《暦日2》,十四／,みつのえさる,おさん,金,　,●
《1726-3110》,《暦日0》,十五／,みつのとのとり,ひらく,,　,十し
《1726-3120》,《暦日2》,十六／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《1726-3130》,《暦日0》,十七／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1726-3140》,《暦日2》,十八／,ひのえね,のそく,水,　,ふく日
《1726-3150》,《暦日0》,十九／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1726-3160》,《暦日2》,廿／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1726-3170》,《暦日0》,廿一／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《1726-3180》,《暦日2》,廿二／,かのえたつ,とる,金,　,きしく わうまう  けんふく よめとりよし
《1726-3190》,《暦日0》,廿三／,かのとのみ,やふる,,　,ちう日
《1726-3200》,《暦日2》,廿四／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《1726-3210》,《暦日0》,廿五／,みつのとのひつし,なる,,　
《1726-3220》,《暦日2》,廿六／,きのえさる,おさん,水,十方くれニ入,●
《1726-3230》,《暦日0》,廿七／,きのとのとり,ひらく,,　,十し
《1726-3240》,《暦日2》,廿八／,ひのえいぬ,とつ,土,十月中さるの一刻,五む日 ふく日
《1726-3250》,《暦日0》,廿九／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1726-3260》,《暦日1》,卅／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1726-3270》,《月序》,十一月,小,建,庚子,鬼宿　房　日よう
《1726-3280》,《暦日1》,一／,つちのとのうし,みつ,火,　,くゑ日 きこ
《1726-3290》,《暦日2》,二／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《1726-3300》,《暦日0》,三／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1726-3310》,《暦日2》,四／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《1726-3320》,《暦日0》,五／,みつのとのみ,やふる,,天一天上,ちう日
《1726-3330》,《暦日2》,六／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《1726-3340》,《暦日0》,七／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1726-3350》,《暦日2》,八／,ひのえさる,おさん,火,　,●
《1726-3360》,《暦日0》,九／,ひのとのとり,ひらく,,　,十し
《1726-3370》,《暦日2》,十／,つちのえいぬ,とつ,木,　,くゑ日
《1726-3380》,《暦日0》,十一／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1726-3390》,《暦日2》,十二／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《1726-3400》,《暦日0》,十三／,かのとのうし,のそく,,十一月せついぬの七刻ニ入,神よし 五む日  つめとりよし
《1726-3410》,《暦日2》,十四／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《1726-3420》,《暦日0》,十五／,みつのとのう,たいら,,　,●
《1726-3430》,《暦日2》,十六／,きのえたつ,さたん,火,　,大みやう
《1726-3440》,《暦日0》,十七／,きのとのみ,とる,,　,十し
《1726-3450》,《暦日2》,十八／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1726-3460》,《暦日0》,十九／,ひのとのひつし,あやふ,,　,さい下しき 神よし ふく日  いちたちよし
《1726-3470》,《暦日2》,廿／,つちのえさる,なる,土,　,きしく  入学よし
《1726-3480》,《暦日0》,廿一／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《1726-3490》,《暦日2》,廿二／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《1726-3500》,《暦日0》,廿三／,かのとのい,とつ,,　,神よし 大みやう ちう日
《1726-3510》,《暦日2》,廿四／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1726-3520》,《暦日0》,廿五／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《1726-3530》,《暦日2》,廿六／,きのえとら,みつ,水,　,きこ  つめとりよし
《1726-3540》,《暦日0》,廿七／,きのとのう,たいら,,　,●
《1726-3550》,《暦日2》,廿八／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1726-3560》,《暦日0》,廿九／,ひのとのみ,とる,,冬至十一月中うしの三刻,十し
《1726-3570》,《月序》,十二月,大,建,辛丑,柳宿　心　月よう
《1726-3580》,《暦日2》,一／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1726-3590》,《暦日0》,二／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1726-3600》,《暦日2》,三／,かのえさる,なる,木,　,大みやう わうまう  入学 みそさけつくりよし
《1726-3610》,《暦日0》,四／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《1726-3620》,《暦日2》,五／,みつのえいぬ,ひらく,水,ま日
《1726-3630》,《暦日0》,六／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1726-3640》,《暦日2》,七／,きのえね,たつ,金,　,天しや よろつよし
《1726-3650》,《暦日0》,八／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《1726-3660》,《暦日2》,九／,ひのえとら,みつ,火,　,きこ  つめとりよし
《1726-3670》,《暦日0》,十／,ひのとのう,たいら,,　,●
《1726-3680》,《暦日2》,十一／,つちのえたつ,さたん,木,　,五む日
《1726-3690》,《暦日0》,十二／,つちのとのみ,とる,,　,十し
《1726-3700》,《暦日2》,十三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1726-3710》,《暦日0》,十四／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《1726-3720》,《暦日2》,十五／,みつのえさる,あやふ,金,小かん十二月せつたつの初刻ニ入,神よし 大みやう
《1726-3730》,《暦日0》,十六／,みつのとのとり,なる,,　,●
《1726-3740》,《暦日2》,十七／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1726-3750》,《暦日0》,十八／,きのとのい,ひらく,,　,ちう日  いちたちよし
《1726-3760》,《暦日2》,十九／,ひのえね,とつ,水,　,きしく きこ ちいみ
《1726-3770》,《暦日0》,廿／,ひのとのうし,たつ,,　,十し
《1726-3780》,《暦日2》,廿一／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《1726-3790》,《暦日0》,廿二／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《1726-3800》,《暦日2》,廿三／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《1726-3810》,《暦日0》,廿四／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《1726-3820》,《暦日2》,廿五／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《1726-3830》,《暦日0》,廿六／,みつのとのひつし,やふる,,　, たねまきよし
《1726-3840》,《暦日2》,廿七／,きのえさる,あやふ,水,とようむまの一刻ニ入/十方くれニ入,神よし 大みやう
《1726-3850》,《暦日0》,廿八／,きのとのとり,なる,,　,●
《1726-3860》,《暦日2》,廿九／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1726-3870》,《暦日0》,卅／,ひのとのい,ひらく,,大かん十二月中むまの五刻,大みやう ちう日
《1726-3880》,《暦末》,享保十年出,立表測景定節氣者
