«1818-0000»,【 カンマ区切りテキスト形式です。】
«1818-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1818-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1818-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1818-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1818-0050»,【 外部リンク　】
«1818-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/56 ～ 61】
«1818-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1818h　(翻刻編集終了データを表成型して表示します)】
«1818-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1818ht (翻刻編集中データを表成型して表示します)】
«1818-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1818-0100»,«版元»,出版地○○,出版元□□□,　
«1818-0630»,«暦日2»,八〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1818-0640»,«暦日0»,九〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1818-0650»,«暦日2»,十〳,つちのえとら,とつ,土,　,天しや よろつよし
«1818-0660»,«暦日0»,十一〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1818-0670»,«暦日2»,十二〳,かのえたつ,のそく,金,ひかんニなる,●
«1818-0680»,«暦日0»,十三〳,かのとのみ,みつ,,　,十し
«1818-0690»,«暦日2»,十四〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1818-0700»,«暦日0»,十五〳,みつのとのひつし,さたん,,　,天おん ちいみ わうまう
«1818-0710»,«暦日2»,十六〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1818-0720»,«暦日0»,十七〳,きのとのとり,やふる,,　,ふく日
«1818-0730»,«節中»,春分二月中むまの五刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1818-0740»,«暦日2»,十八〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1818-0750»,«暦日0»,十九〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1818-0760»,«暦日2»,廿〳,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
«1818-0770»,«暦日0»,廿一〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1818-0780»,«暦日2»,廿二〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1818-0790»,«暦日0»,廿三〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1818-0800»,«暦日2»,廿四〳,みつのえたつ,のそく,水,　,●
«1818-0810»,«暦日0»,廿五〳,みつのとのみ,みつ,,天一天上,十し
«1818-0820»,«暦日2»,廿六〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1818-0830»,«暦日0»,廿七〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1818-0840»,«暦日2»,廿八〳,ひのえさる,とる,火,　,神よし きしく
«1818-0850»,«暦日0»,廿九〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1818-0860»,«暦日1»,卅〳,つちのえいぬ,あやふ,木,　, かといてよし
«1818-0870»,«月序»,三月,小,建,丙辰,翼宿　張　月よう
«1818-0880»,«暦日1»,一〳,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1818-0890»,«暦日1»,二〳,かのえね,なる,土,　,神よし きこ
«1818-0900»,«節中»,清明三月せつとりの二刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1818-0910»,«暦日1»,三〳,かのとのうし,おさん,土,　,十し
«1818-0920»,«暦日2»,四〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1818-0930»,«暦日0»,五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1818-0940»,«暦日2»,六〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1818-0950»,«暦日0»,七〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1818-0960»,«暦日2»,八〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1818-0970»,«暦日0»,九〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1818-0980»,«暦日2»,十〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1818-0990»,«暦日0»,十一〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1818-1000»,«暦日2»,十二〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1818-1010»,«暦日0»,十三〳,かのとのい,あやふ,,　,●
«1818-1020»,«暦日2»,十四〳,みつのえね,なる,木,八せんのはしめ|とよういの三刻ニ入,神よし 天おん 母倉 月とく きこ
«1818-1030»,«暦日0»,十五〳,みつのとのうし,おさん,,ま日,十し
«1818-1040»,«暦日2»,十六〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1818-1050»,«暦日0»,十七〳,きのとのう,とつ,,　,神よし  ものたちよし
«1818-1060»,«節中»,穀雨三月中いの七刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1818-1070»,«暦日2»,十八〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1818-1080»,«暦日0»,十九〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1818-1090»,«暦日2»,廿〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1818-1100»,«暦日0»,廿一〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1818-1110»,«暦日2»,廿二〳,かのえさる,さたん,木,　,大みやう くゑ日 わうまう
«1818-1120»,«暦日0»,廿三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1818-1130»,«暦日2»,廿四〳,みつのえいぬ,やふる,水,ま日,月とく
«1818-1140»,«暦日0»,廿五〳,みつのとのい,あやふ,,八せんのおはり,●
«1818-1150»,«暦日2»,廿六〳,きのえね,なる,金,　,きしく くゑ日 きこ
«1818-1160»,«暦日0»,廿七〳,きのとのうし,おさん,,　,十し
«1818-1170»,«暦日2»,廿八〳,ひのえとら,ひらく,火,八十八や,くゑ日 ちいみ
«1818-1180»,«暦日0»,廿九〳,ひのとのう,とつ,,　,さい下しき くゑ日  たねまきよし
«1818-1190»,«月序»,四月,大,建,丁巳,軫宿　翼　火よう
«1818-1200»,«暦日1»,一〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1818-1210»,«食記»,日帯そく四分
«1818-1220»,«暦日1»,二〳,つちのとのみ,のそく,木,　,神よし 母倉 ちう日 ふく日  かといてよし
«1818-1230»,«暦日2»,三〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1818-1240»,«暦日0»,四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1818-1250»,«節中»,立夏四月せつ今暁とらの四刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1818-1260»,«暦日2»,五〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1818-1270»,«暦日0»,六〳,みつのとのとり,さたん,,　,十し
«1818-1280»,«暦日2»,七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1818-1290»,«暦日0»,八〳,きのとのい,やふる,,　,月とく ちう日
«1818-1300»,«暦日2»,九〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1818-1310»,«暦日0»,十〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1818-1320»,«暦日2»,十一〳,つちのえとら,おさん,土,　,母倉 めつもん わうまう  たねまき  つめとりよし
«1818-1330»,«暦日0»,十二〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1818-1340»,«暦日2»,十三〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1818-1350»,«暦日0»,十四〳,かのとのみ,たつ,,　,●
«1818-1360»,«暦日2»,十五〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1818-1370»,«暦日0»,十六〳,みつのとのひつし,みつ,,　,くゑ日
«1818-1380»,«暦日2»,十七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1818-1390»,«暦日0»,十八〳,きのとのとり,さたん,,　,十し
«1818-1400»,«暦日1»,十九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1818-1410»,«節中»,小満四月中みの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1818-1420»,«暦日1»,廿〳,ひのとのい,やふる,土,　,大みやう ちう日
«1818-1430»,«暦日2»,廿一〳,つちのえね,あやふ,火,　, けんふくよし
«1818-1440»,«暦日0»,廿二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1818-1450»,«暦日2»,廿三〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1818-1460»,«暦日0»,廿四〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
