《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2990》,《節中》,霜降九月中ひつしの八刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3000》,《暦日1》,十八／,つちのとのとり,とつ,土,　,神よし 大みやう ふく日  たねまきよし
《3010》,《暦日2》,十九／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3020》,《暦日0》,廿／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《3030》,《暦日2》,廿一／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《3040》,《暦日0》,廿二／,みつのとのうし,たいら,,ま日,十し
《3050》,《暦日2》,廿三／,きのえとら,さたん,水,　,●
《3060》,《暦日0》,廿四／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3070》,《暦日2》,廿五／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《3080》,《暦日0》,廿六／,ひのとのみ,あやふ,,　,さい下しき ちいみ ちう日 下しきひつしの時
《3090》,《暦日2》,廿七／,つちのえむま,なる,火,ま日,神よし ふく日
《3100》,《暦日0》,廿八／,つちのとのひつし,おさん,,　,大みやう 大くわ ふく日 わうまう  かといてよし
《3110》,《暦日1》,廿九／,かのえさる,ひらく,木,　,きしく 大みやう
《3120》,《月序》,十月,小,建,己亥,亢宿　柳　土よう
《3130》,《暦日1》,一／,かのとのとり,とつ,木,　,神よし 大みやう  いちたちよし
《3140》,《暦日2》,二／,みつのえいぬ,たつ,水,ま日, 田かりよし
《3150》,《暦日0》,三／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3160》,《節中》,立冬十月せついぬの五刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3170》,《暦日2》,四／,きのえね,のそく,金,　,天しや よろつよし
《3180》,《暦日0》,五／,きのとのうし,みつ,,　,くゑ日 きこ
《3190》,《暦日2》,六／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《3200》,《暦日0》,七／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《3210》,《暦日2》,八／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《3220》,《暦日0》,九／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3230》,《暦日2》,十／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3240》,《暦日0》,十一／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3250》,《暦日2》,十二／,みつのえさる,おさん,金,　,●
《3260》,《暦日0》,十三／,みつのとのとり,ひらく,,　,十し
《3270》,《暦日2》,十四／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《3280》,《暦日0》,十五／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3290》,《暦日2》,十六／,ひのえね,のそく,水,　,ふく日
《3300》,《暦日0》,十七／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3310》,《暦日2》,十八／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3320》,《暦日0》,十九／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《3330》,《節中》,小雪十月中うしの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3340》,《暦日2》,廿／,かのえたつ,とる,金,　, けんふく よめとりよし
《3350》,《暦日0》,廿一／,かのとのみ,やふる,,　,ちう日
《3360》,《暦日2》,廿二／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《3370》,《暦日0》,廿三／,みつのとのひつし,なる,,　
《3380》,《暦日2》,廿四／,きのえさる,おさん,水,十方くれニ入,●
《3390》,《暦日0》,廿五／,きのとのとり,ひらく,,　,十し
《3400》,《暦日2》,廿六／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3410》,《暦日0》,廿七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3420》,《暦日2》,廿八／,つちのえね,のそく,火,　,きしく くゑ日  たねまきよし
《3430》,《暦日0》,廿九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3440》,《月序》,十一月,大,建,庚子,氐宿　星　日よう
《3450》,《暦日2》,一／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3460》,《暦日0》,二／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3470》,《暦日2》,三／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3480》,《暦日0》,四／,みつのとのみ,やふる,,天一天上,ちう日
《3490》,《暦日1》,五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3500》,《節中》,大雪十一月せつうの七刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3510》,《暦日1》,六／,きのとのひつし,あやふ,金,　,大みやう 五む日  ものたちよし
《3520》,《暦日2》,七／,ひのえさる,なる,火,　
《3530》,《暦日0》,八／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《3540》,《暦日2》,九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3550》,《暦日0》,十／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3560》,《暦日2》,十一／,かのえね,たつ,土,　, 井ほりよし
《3570》,《暦日0》,十二／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3580》,《暦日2》,十三／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《3590》,《暦日0》,十四／,みつのとのう,たいら,,　,●
《3600》,《暦日2》,十五／,きのえたつ,さたん,火,　,大みやう
《3610》,《暦日0》,十六／,きのとのみ,とる,,　,十し
《3620》,《暦日2》,十七／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3630》,《暦日0》,十八／,ひのとのひつし,あやふ,,　,神よし ふく日  いちたちよし
《3640》,《暦日2》,十九／,つちのえさる,なる,土,　, 入学よし
《3650》,《暦日0》,廿／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《3660》,《節中》,冬至十一月中むまの三刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3670》,《暦日2》,廿一／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《3680》,《暦日0》,廿二／,かのとのい,とつ,,　,神よし 大みやう ちう日
《3690》,《暦日2》,廿三／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3700》,《暦日0》,廿四／,みつのとのうし,のそく,,ま日,ふく日 わうまう  木こり  つめとりよし
《3710》,《暦日2》,廿五／,きのえとら,みつ,水,　,きこ  つめとりよし
《3720》,《暦日0》,廿六／,きのとのう,たいら,,　,●
《3730》,《暦日2》,廿七／,ひのえたつ,さたん,土,ま日,きしく 大みやう  けんふく かといてよし
《3740》,《暦日0》,廿八／,ひのとのみ,とる,,　,十し
《3750》,《暦日2》,廿九／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3760》,《暦日0》,卅／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3770》,《月序》,十二月,大,建,辛丑,房宿　翼　火よう
《3780》,《暦日2》,一／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《3790》,《暦日0》,二／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3800》,《暦日2》,三／,みつのえいぬ,ひらく,水,ま日
《3810》,《暦日0》,四／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3820》,《暦日1》,五／,きのえね,とつ,金,　,天しや よろつよし
《3830》,《節中》,小寒十二月せつとりの初刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3840》,《暦日1》,六／,きのとのうし,たつ,金,　,十し
《3850》,《暦日2》,七／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《3860》,《暦日0》,八／,ひのとのう,みつ,,　,神よし
《3870》,《暦日2》,九／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《3880》,《暦日0》,十／,つちのとのみ,さたん,,　,ちう日 ふく日
《3890》,《暦日2》,十一／,かのえむま,とる,土,　,神よし  すゝはらひよし
《3900》,《暦日0》,十二／,かのとのひつし,やふる,,　,大みやう  かといてよし
《3910》,《暦日2》,十三／,みつのえさる,あやふ,金,　,神よし 大みやう
《3920》,《暦日0》,十四／,みつのとのとり,なる,,　,●
《3930》,《暦日2》,十五／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《3940》,《暦日0》,十六／,きのとのい,ひらく,,　,ちう日  いちたちよし
《3950》,《暦日2》,十七／,ひのえね,とつ,水,とよういの一刻ニ入,きこ ちいみ
《3960》,《暦日0》,十八／,ひのとのうし,たつ,,　,十し
《3970》,《暦日2》,十九／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3980》,《暦日0》,廿／,つちのとのう,みつ,,　,神よし 大みやう ふく日  正月ことはしめよし
《3990》,《節中》,大寒十二月中いの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4000》,《暦日2》,廿一／,かのえたつ,たいら,金,　,大くわ 地火  よめとりよし
《4010》,《暦日0》,廿二／,かのとのみ,さたん,,　,ちう日  すゝはらひよし
《4020》,《暦日2》,廿三／,みつのえむま,とる,木,　,神よし 大みやう  正月ことはしめよし
《4030》,《暦日0》,廿四／,みつのとのひつし,やふる,,　, たねまきよし
《4040》,《暦日2》,廿五／,きのえさる,あやふ,水,十方くれニ入,神よし きしく 大みやう
《4050》,《暦日0》,廿六／,きのとのとり,なる,,　,●
《4060》,《暦日2》,廿七／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4070》,《暦日0》,廿八／,ひのとのい,ひらく,,　,大みやう ちう日
《4080》,《暦日2》,廿九／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4090》,《暦日0》,卅／,つちのとのうし,たつ,,　,十し
《4100》,《暦末》,享保廿年出,立表測景定節氣者
