《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0710》,《暦日0》,十七／,かのとのみ,みつ,,　,十し
《0720》,《暦日2》,十八／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《0730》,《暦日0》,十九／,みつのとのひつし,さたん,,　,ちいみ
《0740》,《暦日2》,廿／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0750》,《暦日0》,廿一／,きのとのとり,やふる,,　,ふく日
《0760》,《暦日2》,廿二／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0770》,《暦日0》,廿三／,ひのとのい,なる,,　,大みやう ちう日
《0780》,《暦日2》,廿四／,つちのえね,おさん,火,　,めつもん  けんふく たねかしよし
《0790》,《暦日0》,廿五／,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
《0800》,《暦日1》,廿六／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0810》,《節中》,清明三月せつとりの七刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0820》,《暦日1》,廿七／,かのとのう,とつ,木,　,神よし  わたまし ものたちよし
《0830》,《暦日2》,廿八／,みつのえたつ,たつ,水,　,大みやう 五む日
《0840》,《暦日0》,廿九／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《0850》,《暦日1》,卅／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《0860》,《月序》,三月,大,建,壬辰,鬼宿　壁　水よう
《0870》,《暦日1》,一／,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
《0880》,《暦日2》,二／,ひのえさる,さたん,火,　,くゑ日
《0890》,《暦日0》,三／,ひのとのとり,とる,,　,神よし  いちたちよし
《0900》,《暦日2》,四／,つちのえいぬ,やふる,木,　,ふく日
《0910》,《暦日0》,五／,つちのとのい,あやふ,,　,●
《0920》,《暦日2》,六／,かのえね,なる,土,　,神よし きこ
《0930》,《暦日0》,七／,かのとのうし,おさん,,　,十し
《0940》,《暦日2》,八／,みつのえとら,ひらく,金,とよう夜ねの初刻ニ入,大みやう ちいみ  つめとりよし
《0950》,《暦日0》,九／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《0960》,《暦日2》,十／,きのえたつ,たつ,火,　,きしく 大みやう くゑ日
《0970》,《暦日0》,十一／,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
《0980》,《暦日1》,十二／,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
《0990》,《節中》,穀雨三月中ねの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1000》,《暦日1》,十三／,ひのとのひつし,たいら,水,　,神よし めつもん 地火
《1010》,《暦日2》,十四／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1020》,《暦日0》,十五／,つちのとのとり,とる,,　,神よし 大みやう ふく日
《1030》,《暦日2》,十六／,かのえいぬ,やふる,金,　,大みやう わうまう
《1040》,《暦日0》,十七／,かのとのい,あやふ,,　,●
《1050》,《暦日2》,十八／,みつのえね,なる,木,八せんのはしめ,神よし きこ
《1060》,《暦日0》,十九／,みつのとのうし,おさん,,ま日,十し
《1070》,《暦日2》,廿／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1080》,《暦日0》,廿一／,きのとのう,とつ,,　,神よし  ものたちよし
《1090》,《暦日2》,廿二／,ひのえたつ,たつ,土,八十八や/ま日,大みやう  わたましよし
《1100》,《暦日0》,廿三／,ひのとのみ,のそく,,　,さい下しき ちう日  いちたちよし
《1110》,《暦日2》,廿四／,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
《1120》,《暦日0》,廿五／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1130》,《暦日2》,廿六／,かのえさる,さたん,木,　,大みやう くゑ日
《1140》,《暦日0》,廿七／,かのとのとり,さたん,,　,十し
《1150》,《節中》,立夏四月せつうの一刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1160》,《暦日2》,廿八／,みつのえいぬ,とる,水,ま日,ふく日
《1170》,《暦日0》,廿九／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1180》,《暦日1》,卅／,きのえね,あやふ,金,　
《1190》,《月序》,四月,小,建,癸巳,柳宿　婁　金よう
《1200》,《暦日1》,一／,きのとのうし,なる,金,　,きこ  かまぬり  つめとりよし
《1210》,《暦日2》,二／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1220》,《暦日0》,三／,ひのとのう,ひらく,,　,神よし  わたましよし
《1230》,《暦日2》,四／,つちのえたつ,とつ,木,　,五む日 くゑ日 わうまう
《1240》,《暦日0》,五／,つちのとのみ,たつ,,　,●
《1250》,《暦日2》,六／,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
《1260》,《暦日0》,七／,かのとのひつし,みつ,,　,大みやう くゑ日
《1270》,《暦日2》,八／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1280》,《暦日0》,九／,みつのとのとり,さたん,,　,十し
《1290》,《暦日2》,十／,きのえいぬ,とる,火,　, やたて くらたてよし
《1300》,《暦日0》,十一／,きのとのい,やふる,,　,ちう日
《1310》,《暦日1》,十二／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1320》,《節中》,小満四月中みの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1330》,《暦日1》,十三／,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
《1340》,《暦日2》,十四／,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
《1350》,《暦日0》,十五／,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
《1360》,《暦日2》,十六／,かのえたつ,とつ,金,　, けんふくよし
《1370》,《暦日0》,十七／,かのとのみ,たつ,,　,●
《1380》,《暦日2》,十八／,みつのえむま,のそく,木,　,神よし 大みやう ふく日
《1390》,《暦日0》,十九／,みつのとのひつし,みつ,,　,くゑ日
《1400》,《暦日2》,廿／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1410》,《暦日0》,廿一／,きのとのとり,さたん,,　,十し
《1420》,《暦日2》,廿二／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1430》,《暦日0》,廿三／,ひのとのい,やふる,,　,大みやう ちう日
《1440》,《暦日2》,廿四／,つちのえね,あやふ,火,　, けんふくよし
《1450》,《暦日0》,廿五／,つちのとのうし,なる,,　,きこ  つめとりよし
《1460》,《暦日2》,廿六／,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
《1470》,《暦日0》,廿七／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1480》,《節中》,芒種五月せつさるの三刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1490》,《暦日2》,廿八／,みつのえたつ,ひらく,水,入梅,大みやう 五む日
《1500》,《暦日0》,廿九／,みつのとのみ,とつ,,天一天上,十し
《1510》,《月序》,五月,大,建,甲午,星宿　胃　土よう
《1520》,《暦日2》,一／,きのえむま,たつ,金,　,天しや よろつよし
《1530》,《暦日0》,二／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1540》,《暦日2》,三／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1550》,《暦日0》,四／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1560》,《暦日2》,五／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1570》,《暦日0》,六／,つちのとのい,とる,,　,神よし ちう日
《1580》,《暦日2》,七／,かのえね,やふる,土,　,●
《1590》,《暦日0》,八／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1600》,《暦日2》,九／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1610》,《暦日0》,十／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1620》,《暦日2》,十一／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1630》,《暦日0》,十二／,きのとのみ,とつ,,　,十し
《1640》,《暦日1》,十三／,ひのえむま,たつ,水,　,大みやう くゑ日 わうまう 下しきうの時
《1650》,《節中》,夏至五月中いの初刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1660》,《暦日1》,十四／,ひのとのひつし,のそく,水,　,神よし ふく日
《1670》,《暦日2》,十五／,つちのえさる,みつ,土,　,神よし  入学よし
《1680》,《暦日0》,十六／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1690》,《暦日2》,十七／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1700》,《暦日0》,十八／,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
《1710》,《暦日2》,十九／,みつのえね,やふる,木,八せんのはしめ,●
《1720》,《暦日0》,廿／,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
《1730》,《暦日2》,廿一／,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
《1740》,《暦日0》,廿二／,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1750》,《暦日2》,廿三／,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
《1760》,《暦日0》,廿四／,ひのとのみ,とつ,,はんけしやう,十し
