《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2890》,《節中》,秋分八月中今暁とらの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2900》,《暦日1》,六／,みつのとのみ,なる,水,天一天上,十し
《2910》,《暦日2》,七／,きのえむま,おさん,金,　,めつもん
《2920》,《暦日0》,八／,きのとのひつし,ひらく,,　,●
《2930》,《暦日2》,九／,ひのえさる,とつ,火,　,神よし
《2940》,《暦日0》,十／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2950》,《暦日2》,十一／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2960》,《暦日0》,十二／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2970》,《暦日2》,十三／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2980》,《暦日0》,十四／,かのとのうし,さたん,,　,母倉 五む日 ふく日  つめとりよし
《2990》,《食記》,月そく八分
《3000》,《暦日2》,十五／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《3010》,《暦日0》,十六／,みつのとのう,やふる,,　, くらたて 田かりよし
《3020》,《暦日2》,十七／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《3030》,《暦日0》,十八／,きのとのみ,なる,,　,十し
《3040》,《暦日2》,十九／,ひのえむま,おさん,水,　,さい下しき 大みやう めつもん
《3050》,《暦日0》,廿／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3060》,《節中》,寒露九月せつみの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《3070》,《暦日2》,廿一／,つちのえさる,ひらく,土,　,天しや よろつよし
《3080》,《暦日0》,廿二／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3090》,《暦日2》,廿三／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3100》,《暦日0》,廿四／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3110》,《暦日2》,廿五／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3120》,《暦日0》,廿六／,みつのとのうし,たいら,,ま日,十し
《3130》,《暦日2》,廿七／,きのえとら,さたん,水,　,●
《3140》,《暦日0》,廿八／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3150》,《暦日1》,廿九／,ひのえたつ,やふる,土,ま日,きしく 大みやう 母倉 月とく  かとたてよし
《3160》,《月序》,九月,小,建,壬戌,星宿　柳　土よう
《3170》,《暦日1》,一／,ひのとのみ,あやふ,土,　,母倉 ちいみ ちう日 下しきひつしの時
《3180》,《暦日2》,二／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3190》,《暦日0》,三／,つちのとのひつし,おさん,,とようひつしの五刻ニ入,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3200》,《暦日2》,四／,かのえさる,ひらく,木,　,大みやう
《3210》,《暦日0》,五／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3220》,《暦日1》,六／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3230》,《節中》,霜降九月中さるの一刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3240》,《暦日1》,七／,みつのとのい,のそく,水,八せんのおはり,ちう日  むきまきよし
《3250》,《暦日2》,八／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3260》,《暦日0》,九／,きのとのうし,たいら,,　,十し
《3270》,《暦日2》,十／,ひのえとら,さたん,火,　,●
《3280》,《暦日0》,十一／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3290》,《暦日2》,十二／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《3300》,《暦日0》,十三／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3310》,《暦日2》,十四／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3320》,《暦日0》,十五／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3330》,《暦日2》,十六／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3340》,《暦日0》,十七／,みつのとのとり,とつ,,　,大みやう わうまう
《3350》,《暦日2》,十八／,きのえいぬ,たつ,火,　,くゑ日
《3360》,《暦日0》,十九／,きのとのい,のそく,,　,ちう日  田かりよし
《3370》,《暦日2》,廿／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《3380》,《暦日0》,廿一／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3390》,《節中》,立冬十月せついぬの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3400》,《暦日2》,廿二／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3410》,《暦日0》,廿三／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3420》,《暦日2》,廿四／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3430》,《暦日0》,廿五／,かのとのみ,やふる,,　,天おん ちう日
《3440》,《暦日2》,廿六／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3450》,《暦日0》,廿七／,みつのとのひつし,なる,,　,天おん
《3460》,《暦日2》,廿八／,きのえさる,おさん,水,十方くれニ入,●
《3470》,《暦日0》,廿九／,きのとのとり,ひらく,,　,十し
《3480》,《月序》,十月,大,建,癸亥,張宿　星　日よう
《3490》,《暦日2》,一／,ひのえいぬ,とつ,土,　,五む日 ふく日 わうまう
《3500》,《暦日0》,二／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3510》,《暦日2》,三／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3520》,《暦日0》,四／,つちのとのうし,みつ,,　,くゑ日 きこ
《3530》,《暦日2》,五／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3540》,《暦日0》,六／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3550》,《暦日2》,七／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3560》,《暦日0》,八／,みつのとのみ,やふる,,天一天上,ちう日
《3570》,《節中》,小雪十月中今暁うしの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3580》,《暦日2》,九／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3590》,《暦日0》,十／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3600》,《暦日2》,十一／,ひのえさる,おさん,火,　,●
《3610》,《暦日0》,十二／,ひのとのとり,ひらく,,　,十し
《3620》,《暦日2》,十三／,つちのえいぬ,とつ,木,　,くゑ日
《3630》,《暦日0》,十四／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3640》,《暦日2》,十五／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3650》,《暦日0》,十六／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3660》,《暦日2》,十七／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3670》,《暦日0》,十八／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3680》,《暦日2》,十九／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3690》,《暦日0》,廿／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3700》,《暦日2》,廿一／,ひのえむま,あやふ,水,　,さい下しき 神よし 大みやう ふく日
《3710》,《暦日0》,廿二／,ひのとのひつし,なる,,　, 木こりよし
《3720》,《暦日1》,廿三／,つちのえさる,なる,土,　,母倉  入学よし
《3730》,《節中》,大雪十一月せつたつの初刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3740》,《暦日1》,廿四／,つちのとのとり,おさん,土,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3750》,《暦日2》,廿五／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3760》,《暦日0》,廿六／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3770》,《暦日2》,廿七／,みつのえね,たつ,木,八せんのはしめ,きしく くゑ日
《3780》,《暦日0》,廿八／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3790》,《暦日2》,廿九／,きのえとら,みつ,水,　,きこ  つめとりよし
《3800》,《暦日0》,卅／,きのとのう,たいら,,　,●
《3810》,《月序》,十一月,小,建,甲子,翼宿　翼　火よう
《3820》,《暦日2》,一／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3830》,《暦日0》,二／,ひのとのみ,とる,,　,十し
《3840》,《暦日2》,三／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3850》,《暦日0》,四／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3860》,《暦日2》,五／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3870》,《暦日0》,六／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3880》,《暦日2》,七／,みつのえいぬ,ひらく,水,ま日,月とく
《3890》,《暦日0》,八／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3900》,《節中》,冬至十一月中むまの五刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3910》,《暦日2》,九／,きのえね,たつ,金,　,天しや よろつよし
《3920》,《暦日0》,十／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3930》,《暦日2》,十一／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3940》,《暦日0》,十二／,ひのとのう,たいら,,　,●
《3950》,《暦日2》,十三／,つちのえたつ,さたん,木,　,天おん 五む日
《3960》,《暦日0》,十四／,つちのとのみ,とる,,　,十し
《3970》,《暦日2》,十五／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3980》,《暦日0》,十六／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3990》,《暦日2》,十七／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《4000》,《暦日0》,十八／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《4010》,《暦日2》,十九／,きのえいぬ,ひらく,火,　
《4020》,《暦日0》,廿／,きのとのい,とつ,,　,ちう日
《4030》,《暦日2》,廿一／,ひのえね,たつ,水,　, 木こりよし
《4040》,《暦日0》,廿二／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《4050》,《暦日1》,廿三／,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
《4060》,《節中》,小寒十二月せつとりの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4070》,《暦日1》,廿四／,つちのとのう,みつ,土,　,神よし 大みやう 天おん ふく日
《4080》,《暦日2》,廿五／,かのえたつ,たいら,金,　,きしく 天おん 月とく 大くわ 地火  よめとりよし
《4090》,《暦日0》,廿六／,かのとのみ,さたん,,　,天おん 母倉 ちう日
《4100》,《暦日2》,廿七／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉
《4110》,《暦日0》,廿八／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4120》,《暦日1》,廿九／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4130》,《月序》,十二月,大,建,乙丑,軫宿　軫　水よう
《4140》,《暦日1》,一／,きのとのとり,なる,水,　,●
《4150》,《暦日2》,二／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4160》,《暦日0》,三／,ひのとのい,ひらく,,　,大みやう ちう日
《4170》,《暦日2》,四／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4180》,《暦日0》,五／,つちのとのうし,たつ,,　,十し
《4190》,《暦日2》,六／,かのえとら,のそく,木,とよういの三刻ニ入,月とく  井ほり  つめとりよし
《4200》,《暦日0》,七／,かのとのう,みつ,,　,神よし  よめとりよし
《4210》,《暦日2》,八／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4220》,《暦日0》,九／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4230》,《節中》,大寒十二月中いの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4240》,《暦日2》,十／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4250》,《暦日0》,十一／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4260》,《暦日2》,十二／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4270》,《暦日0》,十三／,ひのとのとり,なる,,　,●
《4280》,《暦日2》,十四／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4290》,《暦日0》,十五／,つちのとのい,ひらく,,　,ちう日 ふく日
《4300》,《暦日2》,十六／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4310》,《暦日0》,十七／,かのとのうし,たつ,,　,十し
《4320》,《暦日2》,十八／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4330》,《暦日0》,十九／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4340》,《暦日2》,廿／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4350》,《暦日0》,廿一／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4360》,《暦日2》,廿二／,ひのえむま,とる,水,　,さい下しき 神よし 大みやう 母倉  かといてよし
《4370》,《暦日0》,廿三／,ひのとのひつし,やふる,,　,くゑ日 わうまう
《4380》,《暦日2》,廿四／,つちのえさる,あやふ,土,せつふん,神よし きしく ふく日  みそさけつくりよし
《4390》,《暦日0》,廿五／,つちのとのとり,あやふ,,　,十し
《4400》,《節中》,立春正月せつ今暁とらの四刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4410》,《暦日2》,廿六／,かのえいぬ,なる,金,　,●
《4420》,《暦日0》,廿七／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《4430》,《暦日2》,廿八／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《4440》,《暦日0》,廿九／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《4450》,《暦日1》,卅／,きのえとら,たつ,水,　,くゑ日 ふく日
《4460》,《暦末》,安永元年出,立表測景定節氣者
