《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《節中》,啓蟄二月せつたつの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0700》,《暦日1》,十六／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《0710》,《暦日2》,十七／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0720》,《暦日0》,十八／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0730》,《暦日2》,十九／,つちのえとら,とつ,土,　,天しや よろつよし
《0740》,《暦日0》,廿／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0750》,《暦日2》,廿一／,かのえたつ,のそく,金,　,●
《0760》,《暦日0》,廿二／,かのとのみ,みつ,,　,十し
《0770》,《暦日2》,廿三／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0780》,《暦日0》,廿四／,みつのとのひつし,さたん,,　,天おん ちいみ
《0790》,《暦日2》,廿五／,きのえさる,とる,水,ひかんニなる/十方くれニ入,神よし 大みやう 月とく  入学よし
《0800》,《暦日0》,廿六／,きのとのとり,やふる,,　,ふく日
《0810》,《暦日2》,廿七／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0820》,《暦日0》,廿八／,ひのとのい,なる,,　,大みやう 母倉 ちう日 わうまう
《0830》,《暦日2》,廿九／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《0840》,《暦日0》,卅／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0850》,《節中》,春分二月中ひつしの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0860》,《月序》,三月,大,建,丙辰,畢宿　室　火よう
《0870》,《暦日1》,一／,かのえとら,とつ,木,　,きこ  つめとりよし
《0880》,《食記》,日そく三分半
《0890》,《暦日1》,二／,かのとのう,たつ,木,　,ふく日 天火 らうしやく
《0900》,《暦日2》,三／,みつのえたつ,のそく,水,　,●
《0910》,《暦日0》,四／,みつのとのみ,みつ,,天一天上,十し
《0920》,《暦日2》,五／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0930》,《暦日0》,六／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0940》,《暦日2》,七／,ひのえさる,とる,火,　,神よし
《0950》,《暦日0》,八／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0960》,《暦日2》,九／,つちのえいぬ,あやふ,木,　, かといてよし
《0970》,《暦日0》,十／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0980》,《暦日2》,十一／,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
《0990》,《暦日0》,十二／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1000》,《暦日2》,十三／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1010》,《暦日0》,十四／,みつのとのう,たつ,,　,天火 らうしやく
《1020》,《暦日1》,十五／,きのえたつ,たつ,火,　,大みやう くゑ日
《1030》,《節中》,清明三月せついぬの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1040》,《暦日1》,十六／,きのとのみ,のそく,火,　,大みやう 母倉 ちう日
《1050》,《食記》,月帯そく
《1060》,《暦日2》,十七／,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 母倉 天火 らうしやく
《1070》,《暦日0》,十八／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1080》,《暦日2》,十九／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1090》,《暦日0》,廿／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1100》,《暦日2》,廿一／,かのえいぬ,やふる,金,　,大みやう 天おん
《1110》,《暦日0》,廿二／,かのとのい,あやふ,,　,●
《1120》,《暦日2》,廿三／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1130》,《暦日0》,廿四／,みつのとのうし,おさん,,ま日,十し
《1140》,《暦日2》,廿五／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1150》,《暦日0》,廿六／,きのとのう,とつ,,　,神よし  ものたちよし
《1160》,《暦日2》,廿七／,ひのえたつ,たつ,土,ま日/とよう今夜ねの二刻ニ入,大みやう  わたましよし
《1170》,《暦日0》,廿八／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1180》,《暦日2》,廿九／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1190》,《暦日0》,卅／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1200》,《月序》,閏三月,小,隨節用之,奎　木よう
《1210》,《暦日1》,一／,かのえさる,さたん,木,　,大みやう くゑ日
《1220》,《節中》,穀雨三月中今暁ねの六刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1230》,《暦日1》,二／,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
《1240》,《暦日2》,三／,みつのえいぬ,やふる,水,ま日,月とく
《1250》,《暦日0》,四／,みつのとのい,あやふ,,八せんのおはり,●
《1260》,《暦日2》,五／,きのえね,なる,金,　,くゑ日 きこ わうまう
《1270》,《暦日0》,六／,きのとのうし,おさん,,　,十し
《1280》,《暦日2》,七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1290》,《暦日0》,八／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1300》,《暦日2》,九／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1310》,《暦日0》,十／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1320》,《暦日2》,十一／,かのえむま,みつ,土,八十八や,神よし 母倉 天火 らうしやく  みそすつくりよし
《1330》,《暦日0》,十二／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1340》,《暦日2》,十三／,みつのえさる,さたん,金,　,大みやう くゑ日
《1350》,《暦日0》,十四／,みつのとのとり,とる,,　,神よし 大みやう
《1360》,《暦日2》,十五／,きのえいぬ,やふる,火,　, くさかりよし
《1370》,《暦日0》,十六／,きのとのい,やふる,,　,月とく ちう日
《1380》,《節中》,立夏四月せつうの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1390》,《暦日2》,十七／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1400》,《暦日0》,十八／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1410》,《暦日2》,十九／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1420》,《暦日0》,廿／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1430》,《暦日2》,廿一／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1440》,《暦日0》,廿二／,かのとのみ,たつ,,　,●
《1450》,《暦日2》,廿三／,みつのえむま,のそく,木,　,大みやう 天おん ふく日 わうまう
《1460》,《暦日0》,廿四／,みつのとのひつし,みつ,,　,くゑ日
《1470》,《暦日2》,廿五／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1480》,《暦日0》,廿六／,きのとのとり,さたん,,　,十し
《1490》,《暦日2》,廿七／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1500》,《暦日0》,廿八／,ひのとのい,やふる,,　,大みやう ちう日
《1510》,《暦日1》,廿九／,つちのえね,あやふ,火,　, けんふくよし
《1520》,《月序》,四月,大,建,丁巳,觜宿　婁　金よう
