«1774-0000»,【 カンマ区切りテキスト形式です。】
«1774-0650»,«節中»,春分二月中いぬの三刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1774-0660»,«暦日1»,十二〳,きのとのひつし,さたん,金,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1774-0670»,«暦日2»,十三〳,ひのえさる,とる,火,　,神よし
«1774-0680»,«暦日0»,十四〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1774-0690»,«暦日2»,十五〳,つちのえいぬ,あやふ,木,社日, かといてよし
«1774-0700»,«暦日0»,十六〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1774-0710»,«暦日2»,十七〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1774-0720»,«暦日0»,十八〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1774-0730»,«暦日2»,十九〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1774-0740»,«暦日0»,廿〳,みつのとのう,たつ,,　,天火 らうしやく
«1774-0750»,«暦日2»,廿一〳,きのえたつ,のそく,火,　,●
«1774-0760»,«暦日0»,廿二〳,きのとのみ,みつ,,　,十し
«1774-0770»,«暦日2»,廿三〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1774-0780»,«暦日0»,廿四〳,ひのとのひつし,さたん,,　,さい下しき 神よし ちいみ
«1774-0790»,«暦日2»,廿五〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1774-0800»,«暦日0»,廿六〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1774-0810»,«暦日1»,廿七〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1774-0820»,«節中»,清明三月せつ今暁うしの初刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1774-0830»,«暦日1»,廿八〳,かのとのい,あやふ,金,　,●
«1774-0840»,«暦日2»,廿九〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1774-0850»,«暦日0»,卅〳,みつのとのうし,おさん,,ま日,十し
«1774-0860»,«月序»,三月,大,建,戊辰,氐宿　心　月よう
«1774-0870»,«暦日2»,一〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1774-0880»,«暦日0»,二〳,きのとのう,とつ,,　,神よし  ものたちよし
«1774-0890»,«暦日2»,三〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1774-0900»,«暦日0»,四〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1774-0910»,«暦日2»,五〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1774-0920»,«暦日0»,六〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1774-0930»,«暦日2»,七〳,かのえさる,さたん,木,　,大みやう くゑ日
«1774-0940»,«暦日0»,八〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1774-0950»,«暦日2»,九〳,みつのえいぬ,やふる,水,ま日|とよううの一刻ニ入,月とく
«1774-0960»,«暦日0»,十〳,みつのとのい,あやふ,,八せんのおはり,●
«1774-0970»,«暦日2»,十一〳,きのえね,なる,金,　,くゑ日 きこ
«1774-0980»,«暦日0»,十二〳,きのとのうし,おさん,,　,十し
«1774-0990»,«節中»,穀雨三月中うの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1774-1000»,«暦日2»,十三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1774-1010»,«暦日0»,十四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1774-1020»,«暦日2»,十五〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1774-1030»,«暦日0»,十六〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1774-1040»,«暦日2»,十七〳,かのえむま,みつ,土,　,母倉 天火 らうしやく わうまう  みそすつくりよし
«1774-1050»,«暦日0»,十八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1774-1060»,«暦日2»,十九〳,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
«1774-1070»,«暦日0»,廿〳,みつのとのとり,とる,,　,神よし 大みやう
«1774-1080»,«暦日2»,廿一〳,きのえいぬ,やふる,火,　, くさかりよし
«1774-1090»,«暦日0»,廿二〳,きのとのい,あやふ,,　,●
«1774-1100»,«暦日2»,廿三〳,ひのえね,なる,水,八十八や,きこ
«1774-1110»,«暦日0»,廿四〳,ひのとのうし,おさん,,　,十し
«1774-1120»,«暦日2»,廿五〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1774-1130»,«暦日0»,廿六〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1774-1140»,«暦日1»,廿七〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1774-1150»,«節中»,立夏四月せつむまの二刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1774-1160»,«暦日1»,廿八〳,かのとのみ,たつ,金,　,●
«1774-1170»,«暦日2»,廿九〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1774-1180»,«暦日0»,卅〳,みつのとのひつし,みつ,,　,くゑ日
«1774-1190»,«月序»,四月,小,建,己巳,房宿　箕　水よう
«1774-1200»,«暦日2»,一〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1774-1210»,«暦日0»,二〳,きのとのとり,さたん,,　,十し
«1774-1220»,«暦日2»,三〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1774-1230»,«暦日0»,四〳,ひのとのい,やふる,,　,大みやう ちう日 わうまう
«1774-1240»,«暦日2»,五〳,つちのえね,あやふ,火,　, けんふくよし
«1774-1250»,«暦日0»,六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1774-1260»,«暦日2»,七〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1774-1270»,«暦日0»,八〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1774-1280»,«暦日2»,九〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1774-1290»,«暦日0»,十〳,みつのとのみ,たつ,,天一天上,●
«1774-1300»,«暦日2»,十一〳,きのえむま,のそく,金,　,天しや よろつよし
«1774-1310»,«暦日0»,十二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1774-1320»,«節中»,小満四月中さるの七刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1774-1330»,«暦日2»,十三〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1774-1340»,«暦日0»,十四〳,ひのとのとり,さたん,,　,十し
«1774-1350»,«暦日2»,十五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1774-1360»,«暦日0»,十六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1774-1370»,«暦日2»,十七〳,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
«1774-1380»,«暦日0»,十八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1774-1390»,«暦日2»,十九〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1774-1400»,«暦日0»,廿〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1774-1410»,«暦日2»,廿一〳,きのえたつ,とつ,火,　,大みやう
«1774-1420»,«暦日0»,廿二〳,きのとのみ,たつ,,　,●
«1774-1430»,«暦日2»,廿三〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1774-1440»,«暦日0»,廿四〳,ひのとのひつし,みつ,,　,さい下しき くゑ日
«1774-1450»,«暦日2»,廿五〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1774-1460»,«暦日0»,廿六〳,つちのとのとり,さたん,,　,十し
«1774-1470»,«暦日1»,廿七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1774-1480»,«節中»,芒種五月せついの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1774-1490»,«暦日1»,廿八〳,かのとのい,とる,金,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1774-1500»,«暦日1»,廿九〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1774-1510»,«月序»,五月,大,建,庚午,心宿　斗　木よう
«1774-1520»,«暦日1»,一〳,みつのとのうし,あやふ,木,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1774-1530»,«暦日2»,二〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1774-1540»,«暦日0»,三〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1774-1550»,«暦日2»,四〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1774-1560»,«暦日0»,五〳,ひのとのみ,とつ,,　,十し
«1774-1570»,«暦日2»,六〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1774-1580»,«暦日0»,七〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1774-1590»,«暦日2»,八〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1774-1600»,«暦日0»,九〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1774-1610»,«暦日2»,十〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1774-1620»,«暦日0»,十一〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1774-1630»,«暦日2»,十二〳,きのえね,やふる,金,　,●
«1774-1640»,«暦日0»,十三〳,きのとのうし,あやふ,,　,天おん わうまう  つめとりよし
«1774-1650»,«暦日1»,十四〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1774-1660»,«節中»,夏至五月中今暁とらの一刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1774-1670»,«暦日1»,十五〳,ひのとのう,おさん,火,　,天おん 母倉 ちいみ 大くわ ふく日
«1774-1680»,«暦日2»,十六〳,つちのえたつ,ひらく,木,　,きしく 天おん 五む日  かまぬり 田うへよし
«1774-1690»,«暦日0»,十七〳,つちのとのみ,とつ,,　,十し
«1774-1700»,«暦日2»,十八〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1774-1710»,«暦日0»,十九〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1774-1720»,«暦日2»,廿〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1774-1730»,«暦日0»,廿一〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1774-1740»,«暦日2»,廿二〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1774-1750»,«暦日0»,廿三〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1774-1760»,«暦日2»,廿四〳,ひのえね,やふる,水,はんけしやう,●
«1774-1770»,«暦日0»,廿五〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1774-1780»,«暦日2»,廿六〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1774-1790»,«暦日0»,廿七〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1774-1800»,«暦日2»,廿八〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
