«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-0670»,«暦日0»,十六〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1688-0680»,«暦日2»,十七〳,かのえさる,とる,木,　,神よし 大みやう
«1688-0690»,«暦日0»,十八〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日 わうまう
«1688-0700»,«暦日2»,十九〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1688-0710»,«暦日0»,廿〳,みつのとのい,なる,,春分二月中夜ねの初刻|八せんのおはり,ちう日  たねかしよし
«1688-0720»,«暦日2»,廿一〳,きのえね,おさん,金,　,めつもん
«1688-0730»,«暦日0»,廿二〳,きのとのうし,ひらく,,ひかんニなる,ふく日  ものたち  つめとりよし
«1688-0740»,«暦日2»,廿三〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1688-0750»,«暦日0»,廿四〳,ひのとのう,たつ,,　,天火 らうしやく
«1688-0760»,«暦日2»,廿五〳,つちのえたつ,のそく,木,　,●
«1688-0770»,«暦日0»,廿六〳,つちのとのみ,みつ,,　,十し
«1688-0780»,«暦日2»,廿七〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1688-0790»,«暦日0»,廿八〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1688-0800»,«暦日2»,廿九〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1688-0810»,«暦日0»,卅〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1688-0820»,«月序»,三月,小,建,丙辰,箕宿　角　木よう
«1688-0830»,«暦日2»,一〳,きのえいぬ,あやふ,火,　, かといてよし
«1688-0840»,«暦日0»,二〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1688-0850»,«暦日2»,三〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1688-0860»,«暦日0»,四〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1688-0870»,«暦日2»,五〳,つちのえとら,とつ,土,　,天しや よろつよし
«1688-0880»,«暦日0»,六〳,つちのとのう,とつ,,三月せつとらの六刻ニ入,神よし 大みやう ふく日
«1688-0890»,«暦日2»,七〳,かのえたつ,たつ,金,　,くゑ日
«1688-0900»,«暦日0»,八〳,かのとのみ,のそく,,　,ちう日
«1688-0910»,«暦日2»,九〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1688-0920»,«暦日0»,十〳,みつのとのひつし,たいら,,　,めつもん 地火
«1688-0930»,«暦日2»,十一〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1688-0940»,«暦日0»,十二〳,きのとのとり,とる,,　,神よし  くさかりよし
«1688-0950»,«暦日2»,十三〳,ひのえいぬ,やふる,土,　,五む日
«1688-0960»,«暦日0»,十四〳,ひのとのい,あやふ,,　,●
«1688-0970»,«暦日1»,十五〳,つちのえね,なる,火,　,きこ ふく日
«1688-0980»,«食記»,月そく六分,　
«1688-0990»,«暦日1»,十六〳,つちのとのうし,おさん,火,　,十し
«1688-1000»,«暦日2»,十七〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1688-1010»,«暦日0»,十八〳,かのとのう,とつ,,とようたつの六刻ニ入,神よし  わたまし ものたちよし
«1688-1020»,«暦日2»,十九〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1688-1030»,«暦日0»,廿〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1688-1040»,«暦日2»,廿一〳,きのえむま,みつ,金,三月中みの二刻,神よし 天火 らうしやく  ふねのりよし
«1688-1050»,«暦日0»,廿二〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1688-1060»,«暦日2»,廿三〳,ひのえさる,さたん,火,　,きしく くゑ日
«1688-1070»,«暦日0»,廿四〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1688-1080»,«暦日2»,廿五〳,つちのえいぬ,やふる,木,　,ふく日
«1688-1090»,«暦日0»,廿六〳,つちのとのい,あやふ,,　,●
«1688-1100»,«暦日2»,廿七〳,かのえね,なる,土,　,神よし きこ
«1688-1110»,«暦日0»,廿八〳,かのとのうし,おさん,,　,十し
«1688-1120»,«暦日1»,廿九〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1688-1130»,«月序»,四月,小,建,丁巳,斗宿　亢　金よう
«1688-1140»,«暦日1»,一〳,みつのとのう,とつ,金,　
«1688-1150»,«食記»,日そく五分,　
«1688-1160»,«暦日2»,二〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1688-1170»,«暦日0»,三〳,きのとのみ,のそく,,八十八や,神よし 大みやう ちう日  ふねのりよし
«1688-1180»,«暦日2»,四〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1688-1190»,«暦日0»,五〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1688-1200»,«暦日2»,六〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1688-1210»,«暦日0»,七〳,つちのとのとり,さたん,,立夏四月せつひつしの八刻ニ入,十し
«1688-1220»,«暦日2»,八〳,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
«1688-1230»,«暦日0»,九〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1688-1240»,«暦日2»,十〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1688-1250»,«暦日0»,十一〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1688-1260»,«暦日2»,十二〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1688-1270»,«暦日0»,十三〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1688-1280»,«暦日2»,十四〳,ひのえたつ,とつ,土,ま日,大みやう ふく日 わうまう
«1688-1290»,«暦日0»,十五〳,ひのとのみ,たつ,,　,●
«1688-1300»,«暦日2»,十六〳,つちのえむま,のそく,火,ま日,くゑ日
«1688-1310»,«暦日0»,十七〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1688-1320»,«暦日2»,十八〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1688-1330»,«暦日0»,十九〳,かのとのとり,さたん,,　,十し
«1688-1340»,«暦日2»,廿〳,みつのえいぬ,とる,水,ま日,ふく日
