《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0730》,《暦日0》,廿二／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0740》,《暦日2》,廿三／,きのえね,おさん,金,　,めつもん
《0750》,《暦日0》,廿四／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《0760》,《暦日2》,廿五／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0770》,《暦日0》,廿六／,ひのとのう,たつ,,　,天火 らうしやく
《0780》,《暦日2》,廿七／,つちのえたつ,のそく,木,　,●
《0790》,《暦日0》,廿八／,つちのとのみ,のそく,,三月せつうの五刻ニ入,神よし ちう日 ふく日  かといてよし
《0800》,《暦日2》,廿九／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《0810》,《暦日0》,卅／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0820》,《月序》,三月,大,建,戊辰,箕宿　箕　水よう
《0830》,《暦日2》,一／,みつのえさる,さたん,金,　,大みやう くゑ日
《0840》,《暦日0》,二／,みつのとのとり,とる,,　,神よし 大みやう
《0850》,《暦日2》,三／,きのえいぬ,やふる,火,　, くさかりよし
《0860》,《暦日0》,四／,きのとのい,あやふ,,　,●
《0870》,《暦日2》,五／,ひのえね,なる,水,　,きこ
《0880》,《暦日0》,六／,ひのとのうし,おさん,,　,十し
《0890》,《暦日2》,七／,つちのえとら,ひらく,土,　,天しや よろつよし
《0900》,《暦日0》,八／,つちのとのう,とつ,,　,神よし 大みやう ふく日
《0910》,《暦日2》,九／,かのえたつ,たつ,金,　,くゑ日
《0920》,《暦日0》,十／,かのとのみ,のそく,,とようみの六刻ニ入,ちう日
《0930》,《暦日2》,十一／,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
《0940》,《暦日0》,十二／,みつのとのひつし,たいら,,　,めつもん 地火
《0950》,《暦日2》,十三／,きのえさる,さたん,水,三月中むまの二刻/十方くれニ入,大みやう くゑ日
《0960》,《暦日0》,十四／,きのとのとり,とる,,　,神よし  くさかりよし
《0970》,《暦日2》,十五／,ひのえいぬ,やふる,土,　,五む日
《0980》,《暦日0》,十六／,ひのとのい,あやふ,,　,●
《0990》,《暦日2》,十七／,つちのえね,なる,火,　,きしく きこ ふく日
《1000》,《暦日0》,十八／,つちのとのうし,おさん,,　,十し
《1010》,《暦日2》,十九／,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
《1020》,《暦日0》,廿／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1030》,《暦日2》,廿一／,みつのえたつ,たつ,水,　,大みやう 五む日
《1040》,《暦日0》,廿二／,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
《1050》,《暦日2》,廿三／,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
《1060》,《暦日0》,廿四／,きのとのひつし,たいら,,八十八や,大みやう 五む日 めつもん 地火  ものたちよし
《1070》,《暦日2》,廿五／,ひのえさる,さたん,火,　,くゑ日
《1080》,《暦日0》,廿六／,ひのとのとり,とる,,　,神よし  いちたちよし
《1090》,《暦日2》,廿七／,つちのえいぬ,やふる,木,　,ふく日
《1100》,《暦日0》,廿八／,つちのとのい,やふる,,立夏四月せつさるの七刻ニ入,くゑ日 ちう日
《1110》,《暦日2》,廿九／,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
《1120》,《暦日0》,卅／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1130》,《月序》,四月,小,建,己巳,斗宿　牛　金よう
《1140》,《暦日2》,一／,みつのえとら,おさん,金,　,大みやう ふく日 めつもん  つめとりよし
《1150》,《暦日0》,二／,みつのとのう,ひらく,,　,神よし  かといて さひらきよし
《1160》,《暦日2》,三／,きのえたつ,とつ,火,　,大みやう
《1170》,《暦日0》,四／,きのとのみ,たつ,,　,●
《1180》,《暦日2》,五／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日 わうまう
《1190》,《暦日0》,六／,ひのとのひつし,みつ,,　,くゑ日
《1200》,《暦日2》,七／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1210》,《暦日0》,八／,つちのとのとり,さたん,,　,十し
《1220》,《暦日2》,九／,かのえいぬ,とる,金,　,大みやう  やたて くさかりよし
《1230》,《暦日0》,十／,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
《1240》,《暦日2》,十一／,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
《1250》,《暦日0》,十二／,みつのとのうし,なる,,ま日,きこ  つめとりよし
《1260》,《暦日2》,十三／,きのえとら,おさん,水,四月中いの四刻,めつもん  つめとりよし
《1270》,《暦日0》,十四／,きのとのう,ひらく,,　,神よし  さひらきよし
《1280》,《暦日2》,十五／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1290》,《暦日0》,十六／,ひのとのみ,たつ,,　,●
《1300》,《暦日2》,十七／,つちのえむま,のそく,火,ま日,くゑ日
《1310》,《暦日0》,十八／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1320》,《暦日2》,十九／,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
《1330》,《暦日0》,廿／,かのとのとり,さたん,,　,十し
《1340》,《暦日2》,廿一／,みつのえいぬ,とる,水,ま日,ふく日
《1350》,《暦日0》,廿二／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1360》,《暦日2》,廿三／,きのえね,あやふ,金,　
《1370》,《暦日0》,廿四／,きのとのうし,なる,,　,きこ  かまぬり  つめとりよし
《1380》,《暦日2》,廿五／,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
《1390》,《暦日0》,廿六／,ひのとのう,ひらく,,　,神よし  わたましよし
《1400》,《暦日2》,廿七／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1410》,《暦日0》,廿八／,つちのとのみ,たつ,,　,●
《1420》,《暦日1》,廿九／,かのえむま,たつ,土,五月せつとらの初刻ニ入,下しきうの時  むきかりよし
《1430》,《月序》,五月,小,建,庚午,牛宿　女　土よう
《1440》,《暦日1》,一／,かのとのひつし,のそく,土,　,大みやう  ふねのり 井ほりよし
《1450》,《暦日2》,二／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1460》,《暦日0》,三／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1470》,《暦日2》,四／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1480》,《暦日0》,五／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1490》,《暦日2》,六／,ひのえね,やふる,水,　,●
《1500》,《暦日0》,七／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1510》,《暦日2》,八／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1520》,《暦日0》,九／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1530》,《暦日2》,十／,かのえたつ,ひらく,金,　, けんふく かといてよし
《1540》,《暦日0》,十一／,かのとのみ,とつ,,　,十し
《1550》,《暦日2》,十二／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1560》,《暦日0》,十三／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1570》,《暦日2》,十四／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1580》,《暦日0》,十五／,きのとのとり,たいら,,夏至五月中たつの六刻,めつもん 地火 わうまう
《1590》,《暦日2》,十六／,ひのえいぬ,さたん,土,　,五む日  むきかりよし
《1600》,《暦日0》,十七／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1610》,《暦日2》,十八／,つちのえね,やふる,火,　,●
《1620》,《暦日0》,十九／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1630》,《暦日2》,廿／,かのえとら,なる,木,　,さい下しき きこ  井ほり  つめとりよし
《1640》,《暦日0》,廿一／,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
《1650》,《暦日2》,廿二／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1660》,《暦日0》,廿三／,みつのとのみ,とつ,,天一天上,十し
《1670》,《暦日2》,廿四／,きのえむま,たつ,金,　,天しや よろつよし
《1680》,《暦日0》,廿五／,きのとのひつし,のそく,,はんけしやう,大みやう 五む日  むきかりよし
《1690》,《暦日2》,廿六／,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
《1700》,《暦日0》,廿七／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1710》,《暦日2》,廿八／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1720》,《暦日0》,廿九／,つちのとのい,とる,,　,神よし ちう日
《1730》,《月序》,六月,大,建,辛未,女宿　虛　日よう
