《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《3180》,《暦日0》,廿二／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《3190》,《暦日2》,廿三／,かのえさる,おさん,木,　,●
《3200》,《暦日0》,廿四／,かのとのとり,ひらく,,　,十し
《3210》,《暦日2》,廿五／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3220》,《暦日0》,廿六／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3230》,《暦日2》,廿七／,きのえね,のそく,金,　,天しや よろつよし
《3240》,《暦日0》,廿八／,きのとのうし,みつ,,　,くゑ日 きこ
《3250》,《暦日1》,廿九／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《3260》,《月序》,十一月,大,建,丙子,奎宿　昴　日よう
《3270》,《暦日1》,一／,ひのとのう,さたん,火,　,神よし 天火 らうしやく
《3280》,《暦日2》,二／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《3290》,《暦日0》,三／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3300》,《暦日2》,四／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3310》,《暦日0》,五／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3320》,《暦日2》,六／,みつのえさる,なる,金,十一月せつとりの四刻ニ入,きしく 大みやう  いちたちよし
《3330》,《暦日0》,七／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3340》,《暦日2》,八／,きのえいぬ,ひらく,火,　
《3350》,《暦日0》,九／,きのとのい,とつ,,　,ちう日
《3360》,《暦日2》,十／,ひのえね,たつ,水,　, 木こりよし
《3370》,《暦日0》,十一／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3380》,《暦日2》,十二／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3390》,《暦日0》,十三／,つちのとのう,たいら,,　,●
《3400》,《暦日2》,十四／,かのえたつ,さたん,金,　, たねまきよし
《3410》,《暦日0》,十五／,かのとのみ,とる,,　,十し
《3420》,《暦日2》,十六／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3430》,《暦日0》,十七／,みつのとのひつし,あやふ,,　,ふく日
《3440》,《暦日2》,十八／,きのえさる,なる,水,十方くれニ入,大みやう
《3450》,《暦日0》,十九／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《3460》,《暦日2》,廿／,ひのえいぬ,ひらく,土,　,五む日
《3470》,《暦日0》,廿一／,ひのとのい,とつ,,冬至十一月中夜ねの一刻,大みやう ちう日 ふく日
《3480》,《暦日2》,廿二／,つちのえね,たつ,火,　,くゑ日
《3490》,《暦日0》,廿三／,つちのとのうし,のそく,,　, つめとりよし
《3500》,《暦日2》,廿四／,かのえとら,みつ,木,　,さい下しき きこ  みそさけつくり  つめとりよし
《3510》,《暦日0》,廿五／,かのとのう,たいら,,　,●
《3520》,《暦日2》,廿六／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《3530》,《暦日0》,廿七／,みつのとのみ,とる,,天一天上,十し
《3540》,《暦日2》,廿八／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3550》,《暦日0》,廿九／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3560》,《暦日1》,卅／,ひのえさる,なる,火,　
《3570》,《月序》,十二月,大,建,丁丑,婁宿　觜　火よう
《3580》,《暦日1》,一／,ひのとのとり,おさん,火,　,神よし 大くわ ふく日
《3590》,《暦日2》,二／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3600》,《暦日0》,三／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3610》,《暦日2》,四／,かのえね,たつ,土,　,きしく  井ほりよし
《3620》,《暦日0》,五／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3630》,《暦日2》,六／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《3640》,《暦日0》,七／,みつのとのう,みつ,,小かん十二月せつとらの六刻ニ入,神よし  わたまし すゝはらひよし
《3650》,《暦日2》,八／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3660》,《暦日0》,九／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《3670》,《暦日2》,十／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《3680》,《暦日0》,十一／,ひのとのひつし,やふる,,　,くゑ日
《3690》,《暦日2》,十二／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《3700》,《暦日0》,十三／,つちのとのとり,なる,,　,●
《3710》,《暦日2》,十四／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《3720》,《暦日0》,十五／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《3730》,《暦日2》,十六／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《3740》,《暦日0》,十七／,みつのとのうし,たつ,,ま日,十し
《3750》,《暦日2》,十八／,きのえとら,のそく,水,　, 木こり  つめとりよし
《3760》,《暦日0》,十九／,きのとのう,みつ,,とようたつの七刻ニ入,神よし  ものたち 正月ことはしめよし
《3770》,《暦日2》,廿／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《3780》,《暦日0》,廿一／,ひのとのみ,さたん,,　,ちう日
《3790》,《暦日2》,廿二／,つちのえむま,とる,火,大かん十二月中みの三刻/ま日,神よし ふく日  ふねのりよし
《3800》,《暦日0》,廿三／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《3810》,《暦日2》,廿四／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《3820》,《暦日0》,廿五／,かのとのとり,なる,,　,●
《3830》,《暦日2》,廿六／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《3840》,《暦日0》,廿七／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《3850》,《暦日2》,廿八／,きのえね,とつ,金,　,天しや よろつよし
《3860》,《暦日0》,廿九／,きのとのうし,たつ,,　,十し
《3870》,《暦日1》,卅／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《3880》,《暦末》,宝永五年出,立表測景定節氣者
