《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0690》,《暦日0》,十五／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0700》,《暦日1》,十六／,かのえさる,とる,木,　,大みやう
《0710》,《節中》,春分二月中暮六時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0720》,《食記》,月帯食
《0730》,《暦日1》,十七／,かのとのとり,やふる,木,　,大みやう くゑ日 ふく日
《0740》,《暦日2》,十八／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0750》,《暦日0》,十九／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0760》,《暦日2》,廿／,きのえね,おさん,金,　,きしく 天おん 母倉 月とく めつもん
《0770》,《暦日0》,廿一／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0780》,《暦日2》,廿二／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0790》,《暦日0》,廿三／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0800》,《暦日2》,廿四／,つちのえたつ,のそく,木,　,●
《0810》,《暦日0》,廿五／,つちのとのみ,みつ,,　,十し
《0820》,《暦日2》,廿六／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0830》,《暦日0》,廿七／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0840》,《暦日2》,廿八／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0850》,《暦日0》,廿九／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0860》,《暦日1》,卅／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0870》,《月序》,三月,小,建,丙辰,鬼宿　尾　火よう
《0880》,《暦日1》,一／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《0890》,《暦日1》,二／,ひのえね,なる,水,　,きこ
《0900》,《節中》,清明三月せつ今暁九時四分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0910》,《暦日1》,三／,ひのとのうし,おさん,水,　,十し
《0920》,《暦日2》,四／,つちのえとら,ひらく,土,　,天しや よろつよし
《0930》,《暦日0》,五／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0940》,《暦日2》,六／,かのえたつ,たつ,金,　,くゑ日
《0950》,《暦日0》,七／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0960》,《暦日2》,八／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0970》,《暦日0》,九／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0980》,《暦日2》,十／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0990》,《暦日0》,十一／,きのとのとり,とる,,　,神よし  くさかりよし
《1000》,《暦日2》,十二／,ひのえいぬ,やふる,土,　,五む日
《1010》,《暦日0》,十三／,ひのとのい,あやふ,,　,●
《1020》,《暦日2》,十四／,つちのえね,なる,火,とよう今暁七時五分ニ入,母倉 きこ ふく日
《1030》,《暦日0》,十五／,つちのとのうし,おさん,,　,十し
《1040》,《暦日2》,十六／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1050》,《暦日0》,十七／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1060》,《節中》,穀雨三月中朝五時五分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1070》,《暦日2》,十八／,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
《1080》,《暦日0》,十九／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1090》,《暦日2》,廿／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1100》,《暦日0》,廿一／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1110》,《暦日2》,廿二／,ひのえさる,さたん,火,　,くゑ日 わうまう
《1120》,《暦日0》,廿三／,ひのとのとり,とる,,　,さい下しき 神よし 月とく  いちたちよし
《1130》,《暦日2》,廿四／,つちのえいぬ,やふる,木,　,ふく日
《1140》,《暦日0》,廿五／,つちのとのい,あやふ,,　,●
《1150》,《暦日2》,廿六／,かのえね,なる,土,　,神よし きこ
《1160》,《暦日0》,廿七／,かのとのうし,おさん,,　,十し
《1170》,《暦日2》,廿八／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1180》,《暦日0》,廿九／,みつのとのう,とつ,,　八十八や,神よし  けんふく かといてよし
《1190》,《月序》,四月,小,建,丁巳,柳宿　箕　水よう
《1200》,《暦日2》,一／,きのえたつ,たつ,火,　,大みやう くゑ日
《1210》,《暦日0》,二／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1220》,《暦日1》,三／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1230》,《節中》,立夏四月せつ夕七時九分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1240》,《暦日1》,四／,ひのとのひつし,みつ,水,　,くゑ日
《1250》,《暦日2》,五／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1260》,《暦日0》,六／,つちのとのとり,さたん,,　,十し
《1270》,《暦日2》,七／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1280》,《暦日0》,八／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1290》,《暦日2》,九／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1300》,《暦日0》,十／,みつのとのうし,なる,,ま日,天おん きこ わうまう  つめとりよし
《1310》,《暦日2》,十一／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1320》,《暦日0》,十二／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1330》,《暦日2》,十三／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1340》,《暦日0》,十四／,ひのとのみ,たつ,,　,●
《1350》,《暦日2》,十五／,つちのえむま,のそく,火,ま日,くゑ日
《1360》,《暦日0》,十六／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1370》,《暦日2》,十七／,かのえさる,たいら,木,　,神よし きしく 大みやう 月とく ちいみ 大くわ 地火
《1380》,《暦日0》,十八／,かのとのとり,さたん,,　,十し
《1390》,《暦日1》,十九／,みつのえいぬ,とる,水,ま日,ふく日
《1400》,《節中》,小満四月中朝五時七分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1410》,《暦日1》,廿／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1420》,《暦日2》,廿一／,きのえね,あやふ,金,　,天おん
《1430》,《暦日0》,廿二／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1440》,《暦日2》,廿三／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1450》,《暦日0》,廿四／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1460》,《暦日2》,廿五／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1470》,《暦日0》,廿六／,つちのとのみ,たつ,,　,●
《1480》,《暦日2》,廿七／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1490》,《暦日0》,廿八／,かのとのひつし,みつ,,　,大みやう くゑ日
《1500》,《暦日1》,廿九／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1510》,《月序》,五月,大,建,戊午,星宿　斗　木よう
《1520》,《暦日1》,一／,みつのとのとり,さたん,金,　,十し
《1530》,《暦日2》,二／,きのえいぬ,とる,火,　, やたて くらたてよし
《1540》,《暦日0》,三／,きのとのい,やふる,,　,月とく ちう日
《1550》,《暦日2》,四／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1560》,《暦日0》,五／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1570》,《暦日1》,六／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1580》,《節中》,芒種五月せつ今暁九時一分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1590》,《暦日1》,七／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1600》,《暦日2》,八／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1610》,《暦日0》,九／,かのとのみ,とつ,,　,十し
《1620》,《暦日2》,十／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1630》,《暦日0》,十一／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1640》,《暦日2》,十二／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1650》,《暦日0》,十三／,きのとのとり,たいら,,　,神よし めつもん 地火
《1660》,《暦日2》,十四／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1670》,《暦日0》,十五／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1680》,《暦日2》,十六／,つちのえね,やふる,火,　,●
《1690》,《暦日0》,十七／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1700》,《暦日2》,十八／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1710》,《暦日0》,十九／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1720》,《暦日2》,廿／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1730》,《暦日0》,廿一／,みつのとのみ,とつ,,天一天上,十し
《1740》,《節中》,夏至五月中夕七時日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1750》,《暦日2》,廿二／,きのえむま,たつ,金,　,天しや よろつよし
《1760》,《暦日0》,廿三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1770》,《暦日2》,廿四／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1780》,《暦日0》,廿五／,ひのとのとり,たいら,,　,さい下しき 神よし ふく日 めつもん 地火
《1790》,《暦日2》,廿六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1800》,《暦日0》,廿七／,つちのとのい,とる,,　,神よし ちう日
《1810》,《暦日2》,廿八／,かのえね,やふる,土,　,●
《1820》,《暦日0》,廿九／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1830》,《暦日1》,卅／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1840》,《月序》,六月,小,建,己未,張宿　女　土よう
《1850》,《暦日1》,一／,みつのとのう,おさん,金,　,母倉 ちいみ 大くわ ふく日
《1860》,《暦日2》,二／,きのえたつ,ひらく,火,はんけしやう,大みやう  むきかり 田うへよし
《1870》,《暦日0》,三／,きのとのみ,とつ,,　,十し
《1880》,《暦日2》,四／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1890》,《暦日0》,五／,ひのとのひつし,のそく,,　,神よし ふく日
《1900》,《暦日2》,六／,つちのえさる,みつ,土,　,神よし  入学よし
《1910》,《暦日0》,七／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1920》,《節中》,小暑六月せつ朝四時五分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1930》,《暦日2》,八／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1940》,《暦日0》,九／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1950》,《暦日2》,十／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1960》,《暦日0》,十一／,みつのとのうし,やふる,,ま日,十し
《1970》,《暦日2》,十二／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1980》,《暦日0》,十三／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1990》,《暦日2》,十四／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《2000》,《暦日0》,十五／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2010》,《暦日2》,十六／,つちのえむま,とつ,火,ま日,●
《2020》,《暦日0》,十七／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2030》,《暦日2》,十八／,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
《2040》,《暦日0》,十九／,かのとのとり,みつ,,とよう昼八時三分ニ入,神よし 大みやう ちいみ  ものたち 井ほりよし
《2050》,《暦日2》,廿／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2060》,《暦日0》,廿一／,みつのとのい,さたん,,八せんのおはり,ちう日
《2070》,《暦日2》,廿二／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2080》,《暦日0》,廿三／,きのとのうし,やふる,,　,十し
《2090》,《節中》,大暑六月中今暁七時八分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2100》,《暦日2》,廿四／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2110》,《暦日0》,廿五／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《2120》,《暦日2》,廿六／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《2130》,《暦日0》,廿七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2140》,《暦日2》,廿八／,かのえむま,とつ,土,中伏,●
《2150》,《暦日0》,廿九／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2160》,《月序》,七月,大,建,庚申,翼宿　虛　日よう
《2170》,《暦日2》,一／,みつのえさる,のそく,金,　,大みやう わうまう  くさかりよし
《2180》,《暦日0》,二／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2190》,《暦日2》,三／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2200》,《暦日0》,四／,きのとのい,さたん,,　,ちう日
《2210》,《暦日2》,五／,ひのえね,とる,水,　,きこ 下しきたつの時
《2220》,《暦日0》,六／,ひのとのうし,やふる,,　,十し
《2230》,《暦日2》,七／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2240》,《暦日0》,八／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2250》,《暦日1》,九／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《2260》,《節中》,立秋七月せつ暮六時六分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2270》,《暦日1》,十／,かのとのみ,おさん,金,　,天おん 大くわ ちう日
《2280》,《暦日2》,十一／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2290》,《暦日0》,十二／,みつのとのひつし,とつ,,　,天おん 母倉
《2300》,《暦日2》,十三／,きのえさる,たつ,水,十方くれニ入,神よし きしく 大みやう ふく日 下しきみの時
《2310》,《暦日0》,十四／,きのとのとり,のそく,,　,十し
《2320》,《暦日2》,十五／,ひのえいぬ,みつ,土,　,母倉 五む日
《2330》,《暦日0》,十六／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2340》,《暦日2》,十七／,つちのえね,さたん,火,　,わうまう  けんふく くさかりよし
《2350》,《暦日0》,十八／,つちのとのうし,とる,,　,●
《2360》,《暦日2》,十九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2370》,《暦日0》,廿／,かのとのう,あやふ,,　,神よし
《2380》,《暦日2》,廿一／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2390》,《暦日0》,廿二／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2400》,《暦日2》,廿三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2410》,《暦日0》,廿四／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2420》,《暦日1》,廿五／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2430》,《節中》,処暑七月中朝四時四分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2440》,《暦日1》,廿六／,ひのとのとり,のそく,火,　,十し
《2450》,《暦日2》,廿七／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2460》,《暦日0》,廿八／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2470》,《暦日2》,廿九／,かのえね,さたん,土,　,神よし ふく日
《2480》,《暦日0》,卅／,かのとのうし,とる,,　,●
《2490》,《月序》,八月,小,建,辛酉,軫宿　室　火よう
《2500》,《暦日2》,一／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2510》,《暦日0》,二／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2520》,《暦日2》,三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2530》,《暦日0》,四／,きのとのみ,おさん,,二百十日,神よし 大みやう 大くわ ちう日  けんふくよし
《2540》,《暦日2》,五／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2550》,《暦日0》,六／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2560》,《暦日2》,七／,つちのえさる,たつ,土,　,天しや よろつよし
《2570》,《暦日0》,八／,つちのとのとり,のそく,,　,十し
《2580》,《暦日2》,九／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2590》,《暦日0》,十／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2600》,《節中》,白露八月せつ夜四時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2610》,《暦日2》,十一／,みつのえね,たいら,木,八せんのはしめ,神よし きしく 天おん 大くわ 地火
《2620》,《暦日0》,十二／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2630》,《暦日2》,十三／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2640》,《暦日0》,十四／,きのとのう,やふる,,二百廿日,くゑ日 ふく日
《2650》,《暦日2》,十五／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2660》,《暦日0》,十六／,ひのとのみ,なる,,　,十し
《2670》,《暦日2》,十七／,つちのえむま,おさん,火,ま日,めつもん
《2680》,《暦日0》,十八／,つちのとのひつし,ひらく,,　,●
《2690》,《暦日2》,十九／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2700》,《暦日0》,廿／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,廿一／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2720》,《暦日0》,廿二／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2730》,《暦日2》,廿三／,きのえね,たいら,金,ひかんニなる,天おん 大くわ 地火  わたましよし
《2740》,《暦日0》,廿四／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2750》,《暦日2》,廿五／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2760》,《暦日0》,廿六／,ひのとのう,やふる,,　,天おん  田かりよし
《2770》,《節中》,秋分八月中朝五時日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2780》,《暦日2》,廿七／,つちのえたつ,あやふ,木,社日,天おん 母倉 五む日 わうまう  みそすつくりよし
《2790》,《暦日0》,廿八／,つちのとのみ,なる,,　,十し
《2800》,《暦日1》,廿九／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2810》,《月序》,九月,大,建,壬戌,角宿　壁　水よう
《2820》,《暦日1》,一／,かのとのひつし,ひらく,土,　,●
《2830》,《暦日2》,二／,みつのえさる,とつ,金,　,神よし 大みやう
