《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2950》,《暦日0》,十二／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《2960》,《暦日2》,十三／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《2970》,《暦日0》,十四／,みつのとのうし,たいら,,ま日,十し
《2980》,《暦日2》,十五／,きのえとら,さたん,水,　,●
《2990》,《暦日0》,十六／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3000》,《暦日2》,十七／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《3010》,《暦日0》,十八／,ひのとのみ,あやふ,,とよういぬの六刻ニ入,母倉 ちいみ ちう日 下しきひつしの時
《3020》,《暦日2》,十九／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3030》,《暦日0》,廿／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3040》,《暦日1》,廿一／,かのえさる,ひらく,木,　,大みやう
《3050》,《節中》,霜降九月中いの二刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3060》,《暦日1》,廿二／,かのとのとり,とつ,木,　,神よし 大みやう 月とく  いちたちよし
《3070》,《暦日2》,廿三／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3080》,《暦日0》,廿四／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3090》,《暦日2》,廿五／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3100》,《暦日0》,廿六／,きのとのうし,たいら,,　,十し
《3110》,《暦日2》,廿七／,ひのえとら,さたん,火,　,●
《3120》,《暦日0》,廿八／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3130》,《暦日1》,廿九／,つちのえたつ,やふる,木,　,きしく 天おん 五む日 ふく日
《3140》,《月序》,十月,小,建,辛亥,壁宿　柳　土よう
《3150》,《暦日1》,一／,つちのとのみ,あやふ,木,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3160》,《暦日2》,二／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3170》,《暦日0》,三／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ わうまう  たねまき 田かりよし
《3180》,《暦日2》,四／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3190》,《暦日0》,五／,みつのとのとり,とつ,,　,神よし 大みやう
《3200》,《暦日2》,六／,きのえいぬ,たつ,火,　,くゑ日
《3210》,《暦日0》,七／,きのとのい,のそく,,　,ちう日  田かりよし
《3220》,《暦日1》,八／,ひのえね,のそく,水,　,ふく日
《3230》,《節中》,立冬十月せつ今暁うしの八刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3240》,《暦日1》,九／,ひのとのうし,みつ,水,　,大みやう くゑ日 きこ
《3250》,《暦日2》,十／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3260》,《暦日0》,十一／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3270》,《暦日2》,十二／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3280》,《暦日0》,十三／,かのとのみ,やふる,,　,天おん ちう日
《3290》,《暦日2》,十四／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3300》,《暦日0》,十五／,みつのとのひつし,なる,,　,天おん
《3310》,《暦日1》,十六／,きのえさる,おさん,水,十方くれニ入,●
《3320》,《食記》,月帯食二分半
《3330》,《暦日1》,十七／,きのとのとり,ひらく,水,　,十し
《3340》,《暦日2》,十八／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3350》,《暦日0》,十九／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3360》,《暦日2》,廿／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3370》,《暦日0》,廿一／,つちのとのうし,みつ,,　,くゑ日 きこ
《3380》,《暦日2》,廿二／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3390》,《暦日0》,廿三／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3400》,《節中》,小雪十月中たつの四刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3410》,《暦日2》,廿四／,みつのえたつ,とる,水,　,さい下しき 大みやう 五む日 ふく日
《3420》,《暦日0》,廿五／,みつのとのみ,やふる,,天一天上,ちう日
《3430》,《暦日2》,廿六／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3440》,《暦日0》,廿七／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3450》,《暦日2》,廿八／,ひのえさる,おさん,火,　,●
《3460》,《暦日0》,廿九／,ひのとのとり,ひらく,,　,十し
《3470》,《月序》,十一月,大,建,壬子,奎宿　星　日よう
《3480》,《暦日2》,一／,つちのえいぬ,とつ,木,　,くゑ日
《3490》,《暦日0》,二／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3500》,《暦日2》,三／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3510》,《暦日0》,四／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3520》,《暦日2》,五／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3530》,《暦日0》,六／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3540》,《暦日2》,七／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3550》,《暦日0》,八／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3560》,《暦日1》,九／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3570》,《節中》,大雪十一月せつひつしの一刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3580》,《暦日1》,十／,ひのとのひつし,あやふ,水,　,神よし 月とく ふく日  いちたちよし
《3590》,《暦日2》,十一／,つちのえさる,なる,土,　,母倉  入学よし
《3600》,《暦日0》,十二／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3610》,《暦日2》,十三／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3620》,《暦日0》,十四／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3630》,《暦日2》,十五／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3640》,《暦日0》,十六／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3650》,《暦日2》,十七／,きのえとら,みつ,水,　,きこ  つめとりよし
《3660》,《暦日0》,十八／,きのとのう,たいら,,　,●
《3670》,《暦日2》,十九／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3680》,《暦日0》,廿／,ひのとのみ,とる,,　,十し
《3690》,《暦日2》,廿一／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3700》,《暦日0》,廿二／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3710》,《暦日2》,廿三／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3720》,《暦日0》,廿四／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3730》,《節中》,冬至十一月中とりの六刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3740》,《暦日2》,廿五／,みつのえいぬ,ひらく,水,ま日,月とく
《3750》,《暦日0》,廿六／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3760》,《暦日2》,廿七／,きのえね,たつ,金,　,天しや よろつよし
《3770》,《暦日0》,廿八／,きのとのうし,のそく,,　,天おん わうまう  やたて  つめとりよし
《3780》,《暦日2》,廿九／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3790》,《暦日0》,卅／,ひのとのう,たいら,,　,●
《3800》,《月序》,十二月,大,建,癸丑,婁宿　翼　火よう
《3810》,《暦日2》,一／,つちのえたつ,さたん,木,　,天おん 五む日
《3820》,《暦日0》,二／,つちのとのみ,とる,,　,十し
《3830》,《暦日2》,三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3840》,《暦日0》,四／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3850》,《暦日2》,五／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3860》,《暦日0》,六／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3870》,《暦日2》,七／,きのえいぬ,ひらく,火,　
《3880》,《暦日0》,八／,きのとのい,とつ,,　,ちう日
《3890》,《暦日1》,九／,ひのえね,とつ,水,　,きこ ちいみ
《3900》,《節中》,小寒十二月せつ今夜ねの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3910》,《暦日1》,十／,ひのとのうし,たつ,水,　,十し
《3920》,《暦日2》,十一／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3930》,《暦日0》,十二／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《3940》,《暦日2》,十三／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《3950》,《暦日0》,十四／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《3960》,《暦日2》,十五／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《3970》,《暦日0》,十六／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《3980》,《暦日2》,十七／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《3990》,《暦日0》,十八／,きのとのとり,なる,,　,●
《4000》,《暦日2》,十九／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4010》,《暦日0》,廿／,ひのとのい,ひらく,,　,大みやう ちう日
《4020》,《暦日2》,廿一／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4030》,《暦日0》,廿二／,つちのとのうし,たつ,,とよう今暁とらの四刻ニ入,十し
《4040》,《暦日2》,廿三／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4050》,《暦日0》,廿四／,かのとのう,みつ,,　,神よし  よめとりよし
《4060》,《暦日1》,廿五／,みつのえたつ,たいら,水,　,さい下しき きしく 大みやう 五む日 大くわ 地火
《4070》,《節中》,大寒十二月中うの初刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4080》,《暦日1》,廿六／,みつのとのみ,さたん,水,天一天上,母倉 ちう日
《4090》,《暦日2》,廿七／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4100》,《暦日0》,廿八／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4110》,《暦日2》,廿九／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4120》,《暦日0》,卅／,ひのとのとり,なる,,　,●
《4130》,《暦末》,文化三年出,立表測景定節氣者
