《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/145 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1775g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1775h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0690》,《暦日0》,十三／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0700》,《暦日2》,十四／,みつのえたつ,のそく,水,　,●
《0710》,《暦日0》,十五／,みつのとのみ,みつ,,天一天上,十し
《0720》,《暦日2》,十六／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0730》,《暦日0》,十七／,きのとのひつし,さたん,,ひかんニなる,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0740》,《暦日2》,十八／,ひのえさる,とる,火,　,神よし
《0750》,《暦日0》,十九／,ひのとのとり,やふる,,　,わうまう  あさまき たねかしよし
《0760》,《暦日2》,廿／,つちのえいぬ,あやふ,木,社日, かといてよし
《0770》,《暦日0》,廿一／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0780》,《暦日1》,廿二／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0790》,《節中》,春分二月中今暁うしの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0800》,《暦日1》,廿三／,かのとのうし,ひらく,土,　,五む日 ふく日  ものたち  つめとりよし
《0810》,《暦日2》,廿四／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0820》,《暦日0》,廿五／,みつのとのう,たつ,,　,天火 らうしやく
《0830》,《暦日2》,廿六／,きのえたつ,のそく,火,　,●
《0840》,《暦日0》,廿七／,きのとのみ,みつ,,　,十し
《0850》,《暦日2》,廿八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0860》,《暦日0》,廿九／,ひのとのひつし,さたん,,　,神よし ちいみ
《0870》,《月序》,三月,大,建,庚辰,奎宿　鬼　金よう
《0880》,《暦日2》,一／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《0890》,《暦日0》,二／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0900》,《暦日2》,三／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0910》,《暦日0》,四／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0920》,《暦日2》,五／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0930》,《暦日0》,六／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0940》,《暦日2》,七／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0950》,《暦日0》,八／,きのとのう,とつ,,　,神よし  ものたちよし
