«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-0470»,«暦日0»,廿五〳,きのとのう,のそく,,　,神よし  ものたちよし
«1830-0480»,«暦日2»,廿六〳,ひのえたつ,みつ,土,ま日,きしく 大みやう 月とく
«1830-0490»,«暦日0»,廿七〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1830-0500»,«節中»,雨水正月中今夜ねの二刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1830-0510»,«暦日2»,廿八〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1830-0520»,«暦日0»,廿九〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1830-0530»,«月序»,二月,小,建,己卯,亢宿　翼　火よう
«1830-0540»,«暦日2»,一〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1830-0550»,«暦日0»,二〳,かのとのとり,あやふ,,　,十し
«1830-0560»,«暦日2»,三〳,みつのえいぬ,なる,水,ま日,●
«1830-0570»,«暦日0»,四〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1830-0580»,«暦日2»,五〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1830-0590»,«暦日0»,六〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
