«1738-0000»,【 カンマ区切りテキスト形式です。】
«1738-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1738-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1738-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1738-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1738-0050»,【 外部リンク　】
«1738-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/175 ～ 180】
«1738-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1738h　(翻刻編集終了データを表成型して表示します)】
«1738-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1738ht (翻刻編集中データを表成型して表示します)】
«1738-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1738-0100»,«版元»,出版地○○,出版元□□□,　
«1738-0650»,«暦日0»,十一〳,みつのとのみ,みつ,,天一天上,十し
«1738-0660»,«暦日2»,十二〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1738-0670»,«暦日0»,十三〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1738-0680»,«暦日2»,十四〳,ひのえさる,とる,火,　,神よし
«1738-0690»,«暦日0»,十五〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1738-0700»,«暦日2»,十六〳,つちのえいぬ,あやふ,木,　, かといてよし
«1738-0710»,«暦日0»,十七〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1738-0720»,«暦日2»,十八〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1738-0730»,«暦日0»,十九〳,かのとのうし,おさん,,　,十し
«1738-0740»,«節中»,清明三月せつうの五刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1738-0750»,«暦日2»,廿〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1738-0760»,«暦日0»,廿一〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1738-0770»,«暦日2»,廿二〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1738-0780»,«暦日0»,廿三〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1738-0790»,«暦日2»,廿四〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1738-0800»,«暦日0»,廿五〳,ひのとのひつし,たいら,,　,さい下しき 神よし めつもん 地火
«1738-0810»,«暦日2»,廿六〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1738-0820»,«暦日0»,廿七〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1738-0830»,«暦日2»,廿八〳,かのえいぬ,やふる,金,　,大みやう
«1738-0840»,«暦日0»,廿九〳,かのとのい,あやふ,,　,●
«1738-0850»,«暦日1»,卅〳,みつのえね,なる,木,八せんのはしめ,神よし きしく きこ
«1738-0860»,«月序»,三月,大,建,丙辰,畢宿　柳　土よう
«1738-0870»,«暦日1»,一〳,みつのとのうし,おさん,木,ま日|とようみの六刻ニ入,十し
«1738-0880»,«暦日2»,二〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1738-0890»,«暦日0»,三〳,きのとのう,とつ,,　,神よし  ものたちよし
«1738-0900»,«暦日1»,四〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1738-0910»,«節中»,穀雨三月中むまの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1738-0920»,«暦日1»,五〳,ひのとのみ,のそく,土,　,ちう日  いちたちよし
«1738-0930»,«暦日2»,六〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1738-0940»,«暦日0»,七〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1738-0950»,«暦日2»,八〳,かのえさる,さたん,木,　,大みやう くゑ日
«1738-0960»,«暦日0»,九〳,かのとのとり,とる,,　,大みやう わうまう  井ほりよし
«1738-0970»,«暦日2»,十〳,みつのえいぬ,やふる,水,ま日
«1738-0980»,«暦日0»,十一〳,みつのとのい,あやふ,,八せんのおはり,●
«1738-0990»,«暦日2»,十二〳,きのえね,なる,金,　,くゑ日 きこ
«1738-1000»,«暦日0»,十三〳,きのとのうし,おさん,,　,十し
«1738-1010»,«暦日2»,十四〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1738-1020»,«暦日0»,十五〳,ひのとのう,とつ,,八十八や,くゑ日  たねまきよし
«1738-1030»,«暦日2»,十六〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1738-1040»,«暦日0»,十七〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1738-1050»,«暦日2»,十八〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1738-1060»,«暦日0»,十九〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1738-1070»,«節中»,立夏四月せつさるの七刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1738-1080»,«暦日2»,廿〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1738-1090»,«暦日0»,廿一〳,みつのとのとり,さたん,,　,十し
«1738-1100»,«暦日2»,廿二〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1738-1110»,«暦日0»,廿三〳,きのとのい,やふる,,　,ちう日
«1738-1120»,«暦日2»,廿四〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1738-1130»,«暦日0»,廿五〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1738-1140»,«暦日2»,廿六〳,つちのえとら,おさん,土,　,めつもん わうまう  たねまき  つめとりよし
«1738-1150»,«暦日0»,廿七〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1738-1160»,«暦日2»,廿八〳,かのえたつ,とつ,金,　,きしく  けんふくよし
«1738-1170»,«暦日0»,廿九〳,かのとのみ,たつ,,　,●
«1738-1180»,«暦日1»,卅〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1738-1190»,«月序»,四月,小,建,丁巳,觜宿　張　月よう
«1738-1200»,«暦日1»,一〳,みつのとのひつし,みつ,木,　,くゑ日
«1738-1210»,«暦日2»,二〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1738-1220»,«暦日0»,三〳,きのとのとり,さたん,,　,十し
«1738-1230»,«暦日1»,四〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1738-1240»,«節中»,小満四月中いの四刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1738-1250»,«暦日1»,五〳,ひのとのい,やふる,土,　,大みやう ちう日
«1738-1260»,«暦日2»,六〳,つちのえね,あやふ,火,　, けんふくよし
«1738-1270»,«暦日0»,七〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1738-1280»,«暦日2»,八〳,かのえとら,おさん,木,　,めつもん  さひらき  つめとりよし
«1738-1290»,«暦日0»,九〳,かのとのう,ひらく,,　,神よし  やたて ものたちよし
«1738-1300»,«暦日2»,十〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1738-1310»,«暦日0»,十一〳,みつのとのみ,たつ,,天一天上,●
«1738-1320»,«暦日2»,十二〳,きのえむま,のそく,金,　,天しや よろつよし
«1738-1330»,«暦日0»,十三〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1738-1340»,«暦日2»,十四〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1738-1350»,«暦日0»,十五〳,ひのとのとり,さたん,,　,十し
«1738-1360»,«暦日2»,十六〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1738-1370»,«暦日0»,十七〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1738-1380»,«暦日2»,十八〳,かのえね,あやふ,土,　,神よし  わたまし たねまきよし
«1738-1390»,«暦日0»,十九〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1738-1400»,«暦日1»,廿〳,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
«1738-1410»,«節中»,芒種五月せつとらの一刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1738-1420»,«暦日1»,廿一〳,みつのとのう,おさん,金,　,ちいみ 大くわ ふく日
«1738-1430»,«暦日2»,廿二〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1738-1440»,«暦日0»,廿三〳,きのとのみ,とつ,,　,十し
«1738-1450»,«暦日2»,廿四〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1738-1460»,«暦日0»,廿五〳,ひのとのひつし,のそく,,　,さい下しき 神よし ふく日
«1738-1470»,«暦日2»,廿六〳,つちのえさる,みつ,土,　,神よし きしく  入学よし
«1738-1480»,«暦日0»,廿七〳,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
«1738-1490»,«暦日2»,廿八〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1738-1500»,«暦日0»,廿九〳,かのとのい,とる,,　,神よし 大みやう ちう日  入学よし
«1738-1510»,«月序»,五月,大,建,戊午,參宿　翼　火よう
«1738-1520»,«暦日2»,一〳,みつのえね,やふる,木,入梅|八せんのはしめ,●
«1738-1530»,«暦日0»,二〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1738-1540»,«暦日2»,三〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1738-1550»,«暦日0»,四〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1738-1560»,«暦日2»,五〳,ひのえたつ,ひらく,土,ま日,大みやう  けんふく いちたちよし
«1738-1570»,«暦日0»,六〳,ひのとのみ,とつ,,　,十し
«1738-1580»,«節中»,夏至五月中たつの六刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1738-1590»,«暦日2»,七〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1738-1600»,«暦日0»,八〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1738-1610»,«暦日2»,九〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
