《1837-0000》,# カンマ区切りテキスト形式です。
《1837-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1837-0020》,# ・表の区画内での改行は“/”で表記します。
《1837-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1837-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1837-0050》,# 外部リンク
《1837-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142
《1837-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1837g　(GitHub上データを表成型)
《1837-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1837h　(翻刻編集データを表成型 - 未実装)
《1837-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1837-0100》,《版元》,出版地○○,出版元□□□,　
《1837-0650》,《暦日2》,十／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1837-0660》,《暦日0》,十一／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1837-0670》,《暦日2》,十二／,かのえさる,とる,木,ひかんニなる,神よし 大みやう
《1837-0680》,《暦日0》,十三／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1837-0690》,《暦日2》,十四／,みつのえいぬ,あやふ,水,ま日,わうまう  あさまきよし
《1837-0700》,《暦日0》,十五／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1837-0710》,《暦日2》,十六／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1837-0720》,《暦日0》,十七／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1837-0730》,《節中》,春分二月中今暁うしの七刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1837-0740》,《暦日2》,十八／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1837-0750》,《暦日0》,十九／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1837-0760》,《暦日2》,廿／,つちのえたつ,のそく,木,社日,●
《1837-0770》,《暦日0》,廿一／,つちのとのみ,みつ,,　,十し
《1837-0780》,《暦日2》,廿二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1837-0790》,《暦日0》,廿三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1837-0800》,《暦日2》,廿四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1837-0810》,《暦日0》,廿五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1837-0820》,《暦日2》,廿六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1837-0830》,《暦日0》,廿七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1837-0840》,《暦日2》,廿八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1837-0850》,《暦日0》,廿九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1837-0860》,《月序》,三月,大,建,甲辰,氐宿　參　水よう
《1837-0870》,《暦日2》,一／,つちのえとら,とつ,土,　,天しや よろつよし
《1837-0880》,《暦日0》,二／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1837-0890》,《暦日1》,三／,かのえたつ,たつ,金,　,きしく くゑ日
《1837-0900》,《節中》,清明三月せつたつの四刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1837-0910》,《暦日1》,四／,かのとのみ,のそく,金,　,天おん 母倉 ちう日
《1837-0920》,《暦日2》,五／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1837-0930》,《暦日0》,六／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1837-0940》,《暦日2》,七／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1837-0950》,《暦日0》,八／,きのとのとり,とる,,　,神よし  くさかりよし
《1837-0960》,《暦日2》,九／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《1837-0970》,《暦日0》,十／,ひのとのい,あやふ,,　,●
《1837-0980》,《暦日2》,十一／,つちのえね,なる,火,　,母倉 きこ ふく日
《1837-0990》,《暦日0》,十二／,つちのとのうし,おさん,,　,十し
《1837-1000》,《暦日2》,十三／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1837-1010》,《暦日0》,十四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1837-1020》,《暦日2》,十五／,みつのえたつ,たつ,水,とようむまの五刻ニ入,大みやう 月とく 五む日
《1837-1030》,《暦日0》,十六／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1837-1040》,《暦日1》,十七／,きのえむま,みつ,金,　,母倉 天火 らうしやく
《1837-1050》,《食記》,月帯食
《1837-1060》,《暦日1》,十八／,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
《1837-1070》,《節中》,穀雨三月中ひつしの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1837-1080》,《暦日2》,十九／,ひのえさる,さたん,火,　,くゑ日
《1837-1090》,《暦日0》,廿／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1837-1100》,《暦日2》,廿一／,つちのえいぬ,やふる,木,　,ふく日
《1837-1110》,《暦日0》,廿二／,つちのとのい,あやふ,,　,●
《1837-1120》,《暦日2》,廿三／,かのえね,なる,土,　,きこ わうまう
《1837-1130》,《暦日0》,廿四／,かのとのうし,おさん,,　,十し
《1837-1140》,《暦日2》,廿五／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1837-1150》,《暦日0》,廿六／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1837-1160》,《暦日2》,廿七／,きのえたつ,たつ,火,　,大みやう くゑ日
《1837-1170》,《暦日0》,廿八／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1837-1180》,《暦日2》,廿九／,ひのえむま,みつ,水,八十八や,神よし 大みやう 母倉 天火 らうしやく
《1837-1190》,《暦日0》,卅／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1837-1200》,《月序》,四月,小,建,乙巳,房宿　鬼　金よう
《1837-1210》,《暦日2》,一／,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
《1837-1220》,《暦日0》,二／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1837-1230》,《暦日1》,三／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1837-1240》,《節中》,立夏四月せつとりの六刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1837-1250》,《暦日1》,四／,かのとのい,やふる,金,　,神よし 大みやう 天おん ちう日  さひらきよし
《1837-1260》,《暦日2》,五／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1837-1270》,《暦日0》,六／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1837-1280》,《暦日2》,七／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1837-1290》,《暦日0》,八／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1837-1300》,《暦日2》,九／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1837-1310》,《暦日0》,十／,ひのとのみ,たつ,,　,●
《1837-1320》,《暦日2》,十一／,つちのえむま,のそく,火,ま日,くゑ日
《1837-1330》,《暦日0》,十二／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1837-1340》,《暦日2》,十三／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1837-1350》,《暦日0》,十四／,かのとのとり,さたん,,　,十し
《1837-1360》,《暦日2》,十五／,みつのえいぬ,とる,水,ま日,ふく日
《1837-1370》,《暦日0》,十六／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1837-1380》,《暦日2》,十七／,きのえね,あやふ,金,　,天おん
《1837-1390》,《暦日0》,十八／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1837-1400》,《節中》,小満四月中今夜ねの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1837-1410》,《暦日2》,十九／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1837-1420》,《暦日0》,廿／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1837-1430》,《暦日2》,廿一／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1837-1440》,《暦日0》,廿二／,つちのとのみ,たつ,,　,●
《1837-1450》,《暦日2》,廿三／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1837-1460》,《暦日0》,廿四／,かのとのひつし,みつ,,　,大みやう くゑ日
《1837-1470》,《暦日2》,廿五／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1837-1480》,《暦日0》,廿六／,みつのとのとり,さたん,,　,十し
《1837-1490》,《暦日2》,廿七／,きのえいぬ,とる,火,　, やたて くらたてよし
《1837-1500》,《暦日0》,廿八／,きのとのい,やふる,,　,月とく ちう日
《1837-1510》,《暦日1》,廿九／,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
《1837-1520》,《月序》,五月,大,建,丙午,心宿　柳　土よう
《1837-1530》,《暦日1》,一／,ひのとのうし,なる,水,　,大みやう きこ  ものたち  つめとりよし
《1837-1540》,《暦日2》,二／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1837-1550》,《暦日0》,三／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1837-1560》,《暦日2》,四／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1837-1570》,《暦日0》,五／,かのとのみ,とつ,,　,十し
《1837-1580》,《節中》,芒種五月せつ今暁とらの八刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1837-1590》,《暦日2》,六／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1837-1600》,《暦日0》,七／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1837-1610》,《暦日2》,八／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1837-1620》,《暦日0》,九／,きのとのとり,たいら,,　,神よし めつもん 地火
《1837-1630》,《暦日2》,十／,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
《1837-1640》,《暦日0》,十一／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1837-1650》,《暦日2》,十二／,つちのえね,やふる,火,　,●
《1837-1660》,《暦日0》,十三／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1837-1670》,《暦日2》,十四／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1837-1680》,《暦日0》,十五／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1837-1690》,《暦日2》,十六／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1837-1700》,《暦日0》,十七／,みつのとのみ,とつ,,天一天上,十し
《1837-1710》,《暦日2》,十八／,きのえむま,たつ,金,　,天しや よろつよし
《1837-1720》,《暦日0》,十九／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1837-1730》,《暦日1》,廿／,ひのえさる,みつ,火,　,月とく わうまう  入学 いちたちよし
《1837-1740》,《節中》,夏至五月中みの五刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1837-1750》,《暦日1》,廿一／,ひのとのとり,たいら,火,　,神よし ふく日 めつもん 地火
