《1837-0000》,# カンマ区切りテキスト形式です。
《1837-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1837-0020》,# ・表の区画内での改行は“/”で表記します。
《1837-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1837-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1837-0050》,# 外部リンク
《1837-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142
《1837-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1837g　(GitHub上データを表成型)
《1837-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1837h　(翻刻編集データを表成型 - 未実装)
《1837-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1837-0100》,《版元》,出版地○○,出版元□□□,　
《1837-2460》,《暦日2》,廿七／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1837-2470》,《暦日0》,廿八／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1837-2480》,《暦日2》,廿九／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1837-2490》,《暦日0》,卅／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1837-2500》,《月序》,八月,大,建,己酉,斗宿　角　木よう
《1837-2510》,《暦日2》,一／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1837-2520》,《暦日0》,二／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1837-2530》,《暦日2》,三／,つちのえさる,たつ,土,二百十日,天しや よろつよし
《1837-2540》,《暦日0》,四／,つちのとのとり,のそく,,　,十し
《1837-2550》,《暦日2》,五／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1837-2560》,《暦日0》,六／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1837-2570》,《暦日1》,七／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1837-2580》,《節中》,白露八月せつむまの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1837-2590》,《暦日1》,八／,みつのとのうし,さたん,木,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1837-2600》,《暦日2》,九／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1837-2610》,《暦日0》,十／,きのとのう,やふる,,　,くゑ日 ふく日
《1837-2620》,《暦日2》,十一／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1837-2630》,《暦日0》,十二／,ひのとのみ,なる,,　,十し
《1837-2640》,《暦日2》,十三／,つちのえむま,おさん,火,二百廿日/ま日,めつもん
《1837-2650》,《暦日0》,十四／,つちのとのひつし,ひらく,,　,●
《1837-2660》,《暦日2》,十五／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《1837-2670》,《暦日0》,十六／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1837-2680》,《暦日2》,十七／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1837-2690》,《暦日0》,十八／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1837-2700》,《暦日2》,十九／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《1837-2710》,《暦日0》,廿／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1837-2720》,《暦日2》,廿一／,ひのえとら,とる,火,ひかんニなる,天おん きこ  つめとりよし
《1837-2730》,《暦日0》,廿二／,ひのとのう,やふる,,　,天おん  田かりよし
《1837-2740》,《節中》,秋分八月中とりの二刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1837-2750》,《暦日2》,廿三／,つちのえたつ,あやふ,木,社日,きしく 天おん 母倉 五む日  みそすつくりよし
《1837-2760》,《暦日0》,廿四／,つちのとのみ,なる,,　,十し
《1837-2770》,《暦日2》,廿五／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1837-2780》,《暦日0》,廿六／,かのとのひつし,ひらく,,　,●
《1837-2790》,《暦日2》,廿七／,みつのえさる,とつ,金,　,神よし 大みやう
《1837-2800》,《暦日0》,廿八／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1837-2810》,《暦日2》,廿九／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1837-2820》,《暦日0》,卅／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1837-2830》,《月序》,九月,小,建,庚戌,牛宿　氐　土よう
《1837-2840》,《暦日2》,一／,ひのえね,たいら,水,　,大くわ 地火
《1837-2850》,《暦日0》,二／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《1837-2860》,《暦日2》,三／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1837-2870》,《暦日0》,四／,つちのとのう,やふる,,　,大みやう 天おん
《1837-2880》,《暦日2》,五／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《1837-2890》,《暦日0》,六／,かのとのみ,なる,,　,十し
《1837-2900》,《暦日1》,七／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《1837-2910》,《節中》,寒露九月せついの八刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1837-2920》,《暦日1》,八／,みつのとのひつし,おさん,木,　,天おん 大くわ  むきまき 田かりよし
《1837-2930》,《暦日2》,九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1837-2940》,《暦日0》,十／,きのとのとり,とつ,,　,神よし  田かりよし
《1837-2950》,《暦日2》,十一／,ひのえいぬ,たつ,土,　,さい下しき 母倉 月とく 五む日  竹木こりよし
《1837-2960》,《暦日0》,十二／,ひのとのい,のそく,,　,大みやう ちう日
《1837-2970》,《暦日2》,十三／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1837-2980》,《暦日0》,十四／,つちのとのうし,たいら,,　,十し
《1837-2990》,《暦日1》,十五／,かのえとら,さたん,木,　,●
《1837-3000》,《食記》,月帯食
《1837-3010》,《暦日1》,十六／,かのとのう,とる,木,　,くゑ日
《1837-3020》,《暦日2》,十七／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《1837-3030》,《暦日0》,十八／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1837-3040》,《暦日2》,十九／,きのえむま,なる,金,　,くゑ日
《1837-3050》,《暦日0》,廿／,きのとのひつし,おさん,,とよう今暁とらの初刻ニ入,大みやう 五む日 くゑ日 大くわ
《1837-3060》,《暦日2》,廿一／,ひのえさる,ひらく,火,　,きしく くゑ日
《1837-3070》,《暦日0》,廿二／,ひのとのとり,とつ,,　,くゑ日
《1837-3080》,《暦日1》,廿三／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1837-3090》,《節中》,霜降九月中今暁とらの四刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1837-3100》,《暦日1》,廿四／,つちのとのい,のそく,木,　,神よし ちう日 ふく日  むきまきよし
《1837-3110》,《暦日2》,廿五／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1837-3120》,《暦日0》,廿六／,かのとのうし,たいら,,　,十し
《1837-3130》,《暦日2》,廿七／,みつのえとら,さたん,金,　,●
《1837-3140》,《暦日0》,廿八／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1837-3150》,《暦日1》,廿九／,きのえたつ,やふる,火,　,大みやう
《1837-3160》,《月序》,十月,大,建,辛亥,女宿　房　日よう
《1837-3170》,《暦日1》,一／,きのとのみ,あやふ,火,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1837-3180》,《暦日2》,二／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1837-3190》,《暦日0》,三／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1837-3200》,《暦日2》,四／,つちのえさる,ひらく,土,　,天しや よろつよし
《1837-3210》,《暦日0》,五／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《1837-3220》,《暦日2》,六／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1837-3230》,《暦日0》,七／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1837-3240》,《暦日2》,八／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1837-3250》,《暦日0》,九／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1837-3260》,《節中》,立冬十月せつみの一刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1837-3270》,《暦日2》,十／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《1837-3280》,《暦日0》,十一／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1837-3290》,《暦日2》,十二／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1837-3300》,《暦日0》,十三／,ひのとのみ,やふる,,　,くゑ日 ちう日
《1837-3310》,《暦日2》,十四／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1837-3320》,《暦日0》,十五／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《1837-3330》,《暦日2》,十六／,かのえさる,おさん,木,　,●
《1837-3340》,《暦日0》,十七／,かのとのとり,ひらく,,　,十し
《1837-3350》,《暦日2》,十八／,みつのえいぬ,とつ,水,ま日,ふく日 わうまう  むきまきよし
《1837-3360》,《暦日0》,十九／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1837-3370》,《暦日2》,廿／,きのえね,のそく,金,　,天しや よろつよし
《1837-3380》,《暦日0》,廿一／,きのとのうし,みつ,,　,くゑ日 きこ
《1837-3390》,《暦日2》,廿二／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1837-3400》,《暦日0》,廿三／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《1837-3410》,《暦日1》,廿四／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1837-3420》,《節中》,小雪十月中ひつしの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1837-3430》,《暦日1》,廿五／,つちのとのみ,やふる,木,　,くゑ日 ちう日
《1837-3440》,《暦日2》,廿六／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1837-3450》,《暦日0》,廿七／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1837-3460》,《暦日2》,廿八／,みつのえさる,おさん,金,　,●
《1837-3470》,《暦日0》,廿九／,みつのとのとり,ひらく,,　,十し
《1837-3480》,《暦日1》,卅／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1837-3490》,《月序》,十一月,小,建,壬子,虛宿　尾　火よう
《1837-3500》,《暦日1》,一／,きのとのい,たつ,火,　,ちいみ ちう日 下しきさるの時  入学よし
《1837-3510》,《暦日2》,二／,ひのえね,のそく,水,　,ふく日
《1837-3520》,《暦日0》,三／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1837-3530》,《暦日2》,四／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《1837-3540》,《暦日0》,五／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1837-3550》,《暦日2》,六／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《1837-3560》,《暦日0》,七／,かのとのみ,やふる,,　,天おん ちう日
《1837-3570》,《暦日2》,八／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1837-3580》,《暦日0》,九／,みつのとのひつし,あやふ,,　,天おん ふく日
《1837-3590》,《節中》,大雪十一月せついぬの三刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1837-3600》,《暦日2》,十／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《1837-3610》,《暦日0》,十一／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《1837-3620》,《暦日2》,十二／,ひのえいぬ,ひらく,土,　,さい下しき 五む日
《1837-3630》,《暦日0》,十三／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《1837-3640》,《暦日2》,十四／,つちのえね,たつ,火,　,くゑ日
《1837-3650》,《暦日0》,十五／,つちのとのうし,のそく,,　, つめとりよし
《1837-3660》,《暦日2》,十六／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1837-3670》,《暦日0》,十七／,かのとのう,たいら,,　,●
《1837-3680》,《暦日2》,十八／,みつのえたつ,さたん,水,　,きしく 大みやう 月とく 五む日  木こりよし
《1837-3690》,《暦日0》,十九／,みつのとのみ,とる,,天一天上,十し
《1837-3700》,《暦日2》,廿／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1837-3710》,《暦日0》,廿一／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1837-3720》,《暦日2》,廿二／,ひのえさる,なる,火,　,母倉
《1837-3730》,《暦日0》,廿三／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《1837-3740》,《暦日2》,廿四／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1837-3750》,《暦日0》,廿五／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1837-3760》,《節中》,冬至十一月中今暁うしの初刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《1837-3770》,《暦日2》,廿六／,かのえね,たつ,土,　, 井ほりよし
《1837-3780》,《暦日0》,廿七／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1837-3790》,《暦日2》,廿八／,みつのえとら,みつ,金,　,大みやう 月とく きこ わうまう  つめとりよし
《1837-3800》,《暦日0》,廿九／,みつのとのう,たいら,,　,●
《1837-3810》,《月序》,十二月,大,建,癸丑,危宿　箕　水よう
《1837-3820》,《暦日2》,一／,きのえたつ,さたん,火,　,大みやう
《1837-3830》,《暦日0》,二／,きのとのみ,とる,,　,十し
《1837-3840》,《暦日2》,三／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1837-3850》,《暦日0》,四／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1837-3860》,《暦日2》,五／,つちのえさる,なる,土,　,母倉  入学よし
《1837-3870》,《暦日0》,六／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《1837-3880》,《暦日2》,七／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《1837-3890》,《暦日0》,八／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《1837-3900》,《暦日2》,九／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1837-3910》,《暦日0》,十／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1837-3920》,《暦日1》,十一／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1837-3930》,《節中》,小寒十二月せつうの五刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1837-3940》,《暦日1》,十二／,きのとのう,みつ,水,　,神よし 月とく  ものたち 正月ことはしめよし
《1837-3950》,《暦日2》,十三／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《1837-3960》,《暦日0》,十四／,ひのとのみ,さたん,,　,母倉 ちう日
《1837-3970》,《暦日2》,十五／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《1837-3980》,《暦日0》,十六／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1837-3990》,《暦日2》,十七／,かのえさる,あやふ,木,　,神よし きしく 大みやう 月とく  みそさけつくりよし
《1837-4000》,《暦日0》,十八／,かのとのとり,なる,,　,●
《1837-4010》,《暦日2》,十九／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1837-4020》,《暦日0》,廿／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1837-4030》,《暦日2》,廿一／,きのえね,とつ,金,　,天しや よろつよし
《1837-4040》,《暦日0》,廿二／,きのとのうし,たつ,,　,十し
《1837-4050》,《暦日2》,廿三／,ひのえとら,のそく,火,とようみの六刻ニ入,天おん  けんふく  つめとりよし
《1837-4060》,《暦日0》,廿四／,ひのとのう,みつ,,　,神よし 天おん
《1837-4070》,《暦日2》,廿五／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1837-4080》,《暦日0》,廿六／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1837-4090》,《節中》,大寒十二月中むまの二刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1837-4100》,《暦日2》,廿七／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1837-4110》,《暦日0》,廿八／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1837-4120》,《暦日2》,廿九／,みつのえさる,あやふ,金,　,神よし 大みやう
《1837-4130》,《暦日0》,卅／,みつのとのとり,なる,,　,●
《1837-4140》,《暦末》,天保七年出,立表測景定節氣者
