«1814-0000»,【 カンマ区切りテキスト形式です。】
«1814-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1814-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1814-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1814-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1814-0050»,【 外部リンク　】
«1814-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/40 ～ 44】
«1814-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1814h　(翻刻編集終了データを表成型して表示します)】
«1814-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1814ht (翻刻編集中データを表成型して表示します)】
«1814-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1814-0100»,«版元»,出版地○○,出版元□□□,　
«1814-0400»,«節中»,啓蟄二月せつたつの三刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1814-0410»,«暦日2»,十八〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1814-0420»,«暦日0»,十九〳,かのとのい,なる,,　,さい下しき 神よし 大みやう 天おん 母倉 ちう日 ふく日
«1814-0430»,«暦日2»,廿〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
«1814-0440»,«暦日0»,廿一〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1814-0450»,«暦日2»,廿二〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1814-0460»,«暦日0»,廿三〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1814-0470»,«暦日2»,廿四〳,ひのえたつ,のそく,土,ま日,●
«1814-0480»,«暦日0»,廿五〳,ひのとのみ,みつ,,　,十し
«1814-0490»,«暦日2»,廿六〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1814-0500»,«暦日0»,廿七〳,つちのとのひつし,さたん,,ひかんニなる,神よし 大みやう 月とく ちいみ  たねかしよし
«1814-0510»,«暦日2»,廿八〳,かのえさる,とる,木,　,神よし 大みやう
«1814-0520»,«暦日0»,廿九〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1814-0530»,«暦日1»,卅〳,みつのえいぬ,あやふ,水,ま日,わうまう  あさまきよし
«1814-0540»,«月序»,二月,小,建,丁卯,尾宿　尾　火よう
«1814-0550»,«暦日1»,一〳,みつのとのい,なる,水,八せんのおはり,母倉 ちう日  たねかしよし
«1814-0560»,«暦日1»,二〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1814-0570»,«節中»,春分二月中むまの八刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1814-0580»,«暦日1»,三〳,きのとのうし,ひらく,金,　,天おん ふく日  ものたち  つめとりよし
«1814-0590»,«暦日2»,四〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1814-0600»,«暦日0»,五〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1814-0610»,«暦日2»,六〳,つちのえたつ,のそく,木,社日,●
«1814-0620»,«暦日0»,七〳,つちのとのみ,みつ,,　,十し
«1814-0630»,«暦日2»,八〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1814-0640»,«暦日0»,九〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1814-0650»,«暦日2»,十〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1814-0660»,«暦日0»,十一〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1814-0670»,«暦日2»,十二〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1814-0680»,«暦日0»,十三〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1814-0690»,«暦日2»,十四〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1814-0700»,«暦日0»,十五〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1814-0710»,«暦日2»,十六〳,つちのえとら,とつ,土,　,天しや よろつよし
«1814-0720»,«暦日0»,十七〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1814-0730»,«節中»,清明三月せつとりの五刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1814-0740»,«暦日2»,十八〳,かのえたつ,たつ,金,　,きしく くゑ日
«1814-0750»,«暦日0»,十九〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1814-0760»,«暦日2»,廿〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1814-0770»,«暦日0»,廿一〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1814-0780»,«暦日2»,廿二〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1814-0790»,«暦日0»,廿三〳,きのとのとり,とる,,　,神よし  くさかりよし
«1814-0800»,«暦日2»,廿四〳,ひのえいぬ,やふる,土,　,五む日
«1814-0810»,«暦日0»,廿五〳,ひのとのい,あやふ,,　,●
«1814-0820»,«暦日2»,廿六〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1814-0830»,«暦日0»,廿七〳,つちのとのうし,おさん,,　,十し
«1814-0840»,«暦日2»,廿八〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1814-0850»,«暦日0»,廿九〳,かのとのう,とつ,,とよういの六刻ニ入,神よし  わたまし ものたちよし
«1814-0860»,«月序»,三月,大,建,戊辰,箕宿　箕　水よう
«1814-0870»,«暦日2»,一〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1814-0880»,«暦日0»,二〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1814-0890»,«暦日1»,三〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1814-0900»,«節中»,穀雨三月中今夜ねの二刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1814-0910»,«暦日1»,四〳,きのとのひつし,たいら,金,　,大みやう 五む日 めつもん 地火  ものたちよし
«1814-0920»,«暦日2»,五〳,ひのえさる,さたん,火,　,くゑ日
«1814-0930»,«暦日0»,六〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1814-0940»,«暦日2»,七〳,つちのえいぬ,やふる,木,　,ふく日
«1814-0950»,«暦日0»,八〳,つちのとのい,あやふ,,　,●
«1814-0960»,«暦日2»,九〳,かのえね,なる,土,　,神よし きこ
«1814-0970»,«暦日0»,十〳,かのとのうし,おさん,,　,十し
«1814-0980»,«暦日2»,十一〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1814-0990»,«暦日0»,十二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1814-1000»,«暦日2»,十三〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1814-1010»,«暦日0»,十四〳,きのとのみ,のそく,,八十八や,神よし 大みやう 母倉 ちう日  ふねのりよし
«1814-1020»,«暦日2»,十五〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1814-1030»,«暦日0»,十六〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1814-1040»,«暦日2»,十七〳,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
«1814-1050»,«暦日0»,十八〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1814-1060»,«暦日1»,十九〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1814-1070»,«節中»,立夏四月せつ今暁とらの七刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1814-1080»,«暦日1»,廿〳,かのとのい,やふる,金,　,さい下しき 神よし 大みやう 天おん ちう日  さひらきよし
