«1768-0000»,【 カンマ区切りテキスト形式です。】
«1768-0410»,«暦日1»,十九〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1768-0420»,«節中»,啓蟄二月せつ今暁ねの五刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1768-0430»,«暦日1»,廿〳,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
«1768-0440»,«暦日2»,廿一〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1768-0450»,«暦日0»,廿二〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1768-0460»,«暦日2»,廿三〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
«1768-0470»,«暦日0»,廿四〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1768-0480»,«暦日2»,廿五〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1768-0490»,«暦日0»,廿六〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1768-0500»,«暦日2»,廿七〳,ひのえたつ,のそく,土,ま日,●
«1768-0510»,«暦日0»,廿八〳,ひのとのみ,みつ,,　,十し
«1768-0520»,«暦日2»,廿九〳,つちのえむま,たいら,火,ま日|社日|ひかんニなる,神よし 大くわ 地火
«1768-0530»,«暦日0»,卅〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1768-0540»,«月序»,二月,小,建,乙卯,壁宿　氐　土よう
«1768-0550»,«暦日2»,一〳,かのえさる,とる,木,　,神よし 大みやう
«1768-0560»,«暦日0»,二〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日 わうまう
«1768-0570»,«暦日2»,三〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1768-0580»,«暦日0»,四〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1768-0590»,«節中»,春分二月中うの二刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1768-0600»,«暦日2»,五〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1768-0610»,«暦日0»,六〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1768-0620»,«暦日2»,七〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1768-0630»,«暦日0»,八〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1768-0640»,«暦日2»,九〳,つちのえたつ,のそく,木,　,●
«1768-0650»,«暦日0»,十〳,つちのとのみ,みつ,,　,十し
«1768-0660»,«暦日2»,十一〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1768-0670»,«暦日0»,十二〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1768-0680»,«暦日2»,十三〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1768-0690»,«暦日0»,十四〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1768-0700»,«暦日2»,十五〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1768-0710»,«暦日0»,十六〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1768-0720»,«暦日2»,十七〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1768-0730»,«暦日0»,十八〳,ひのとのうし,ひらく,,　,さい下しき 大みやう  ものたち  つめとりよし
«1768-0740»,«暦日1»,十九〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1768-0750»,«節中»,清明三月せつみの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1768-0760»,«暦日1»,廿〳,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
«1768-0770»,«暦日2»,廿一〳,かのえたつ,たつ,金,　,きしく くゑ日
«1768-0780»,«暦日0»,廿二〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1768-0790»,«暦日2»,廿三〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1768-0800»,«暦日0»,廿四〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1768-0810»,«暦日2»,廿五〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1768-0820»,«暦日0»,廿六〳,きのとのとり,とる,,　,神よし  くさかりよし
«1768-0830»,«暦日2»,廿七〳,ひのえいぬ,やふる,土,　,五む日
«1768-0840»,«暦日0»,廿八〳,ひのとのい,あやふ,,　,●
«1768-0850»,«暦日1»,廿九〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1768-0860»,«月序»,三月,小,建,丙辰,奎宿　房　日よう
«1768-0870»,«暦日1»,一〳,つちのとのうし,おさん,火,　,十し
«1768-0880»,«暦日2»,二〳,かのえとら,ひらく,木,とようひつしの八刻ニ入,ちいみ  いちたち  つめとりよし
«1768-0890»,«暦日0»,三〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1768-0900»,«暦日2»,四〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1768-0910»,«暦日0»,五〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1768-0920»,«節中»,穀雨三月中さるの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1768-0930»,«暦日2»,六〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1768-0940»,«暦日0»,七〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1768-0950»,«暦日2»,八〳,ひのえさる,さたん,火,　,くゑ日
«1768-0960»,«暦日0»,九〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1768-0970»,«暦日2»,十〳,つちのえいぬ,やふる,木,　,ふく日 わうまう
«1768-0980»,«暦日0»,十一〳,つちのとのい,あやふ,,　,●
«1768-0990»,«暦日2»,十二〳,かのえね,なる,土,　,神よし きこ
«1768-1000»,«暦日0»,十三〳,かのとのうし,おさん,,　,十し
«1768-1010»,«暦日2»,十四〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1768-1020»,«暦日0»,十五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1768-1030»,«暦日2»,十六〳,きのえたつ,たつ,火,八十八や,大みやう くゑ日
«1768-1040»,«暦日0»,十七〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1768-1050»,«暦日2»,十八〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1768-1060»,«暦日0»,十九〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1768-1070»,«暦日1»,廿〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1768-1080»,«節中»,立夏四月せついの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1768-1090»,«暦日1»,廿一〳,つちのとのとり,さたん,土,　,十し
«1768-1100»,«暦日2»,廿二〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1768-1110»,«暦日0»,廿三〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1768-1120»,«暦日2»,廿四〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1768-1130»,«暦日0»,廿五〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1768-1140»,«暦日2»,廿六〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1768-1150»,«暦日0»,廿七〳,きのとのう,ひらく,,　,母倉 月とく わうまう  さひらきよし
«1768-1160»,«暦日2»,廿八〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1768-1170»,«暦日0»,廿九〳,ひのとのみ,たつ,,　,●
«1768-1180»,«月序»,四月,大,建,丁巳,婁宿　心　月よう
«1768-1190»,«暦日2»,一〳,つちのえむま,のそく,火,ま日,くゑ日
«1768-1200»,«暦日0»,二〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1768-1210»,«暦日2»,三〳,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
«1768-1220»,«暦日0»,四〳,かのとのとり,さたん,,　,十し
«1768-1230»,«暦日2»,五〳,みつのえいぬ,とる,水,ま日,ふく日
«1768-1240»,«暦日0»,六〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1768-1250»,«暦日1»,七〳,きのえね,あやふ,金,　,天おん
«1768-1260»,«節中»,小満四月中今暁うしの六刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1768-1270»,«暦日1»,八〳,きのとのうし,なる,金,　,天おん 月とく きこ  かまぬり  つめとりよし
«1768-1280»,«暦日2»,九〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1768-1290»,«暦日0»,十〳,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
«1768-1300»,«暦日2»,十一〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1768-1310»,«暦日0»,十二〳,つちのとのみ,たつ,,　,●
«1768-1320»,«暦日2»,十三〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1768-1330»,«暦日0»,十四〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1768-1340»,«暦日2»,十五〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1768-1350»,«暦日0»,十六〳,みつのとのとり,さたん,,　,十し
«1768-1360»,«暦日2»,十七〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1768-1370»,«暦日0»,十八〳,きのとのい,やふる,,　,月とく ちう日
«1768-1380»,«暦日2»,十九〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1768-1390»,«暦日0»,廿〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
«1768-1400»,«暦日2»,廿一〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1768-1410»,«暦日0»,廿二〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1768-1420»,«節中»,芒種五月せつたつの三刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1768-1430»,«暦日2»,廿三〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1768-1440»,«暦日0»,廿四〳,かのとのみ,とつ,,　,十し
«1768-1450»,«暦日2»,廿五〳,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
«1768-1460»,«暦日0»,廿六〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1768-1470»,«暦日2»,廿七〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1768-1480»,«暦日0»,廿八〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1768-1490»,«暦日2»,廿九〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1768-1500»,«暦日0»,卅〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1768-1510»,«月序»,五月,小,建,戊午,胃宿　箕　水よう
«1768-1520»,«暦日2»,一〳,つちのえね,やふる,火,　,●
«1768-1530»,«暦日0»,二〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1768-1540»,«暦日2»,三〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1768-1550»,«暦日0»,四〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1768-1560»,«暦日2»,五〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1768-1570»,«暦日0»,六〳,みつのとのみ,とつ,,天一天上,十し
«1768-1580»,«暦日1»,七〳,きのえむま,たつ,金,　,天しや よろつよし
«1768-1590»,«節中»,夏至五月中むまの八刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1768-1600»,«暦日1»,八〳,きのとのひつし,のそく,金,　,大みやう 五む日  むきかりよし
«1768-1610»,«暦日2»,九〳,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
«1768-1620»,«暦日0»,十〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1768-1630»,«暦日2»,十一〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1768-1640»,«暦日0»,十二〳,つちのとのい,とる,,　,神よし ちう日
«1768-1650»,«暦日2»,十三〳,かのえね,やふる,土,　,●
«1768-1660»,«暦日0»,十四〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1768-1670»,«暦日2»,十五〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1768-1680»,«暦日0»,十六〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
«1768-1690»,«暦日2»,十七〳,きのえたつ,ひらく,火,はんけしやう,きしく 大みやう  むきかり 田うへよし
«1768-1700»,«暦日0»,十八〳,きのとのみ,とつ,,　,十し
«1768-1710»,«暦日2»,十九〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1768-1720»,«暦日0»,廿〳,ひのとのひつし,のそく,,　,神よし ふく日
«1768-1730»,«暦日2»,廿一〳,つちのえさる,みつ,土,　,神よし  入学よし
«1768-1740»,«暦日0»,廿二〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1768-1750»,«節中»,小暑六月せつとりの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1768-1760»,«暦日2»,廿三〳,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
«1768-1770»,«暦日0»,廿四〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1768-1780»,«暦日2»,廿五〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1768-1790»,«暦日0»,廿六〳,みつのとのうし,やふる,,ま日,十し
«1768-1800»,«暦日2»,廿七〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1768-1810»,«暦日0»,廿八〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1768-1820»,«暦日1»,廿九〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1768-1830»,«月序»,六月,小,建,己未,昴宿　斗　木よう
«1768-1840»,«暦日1»,一〳,ひのとのみ,ひらく,土,　,くゑ日 ちう日
«1768-1850»,«暦日2»,二〳,つちのえむま,とつ,火,ま日,●
«1768-1860»,«暦日0»,三〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1768-1870»,«暦日2»,四〳,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
«1768-1880»,«暦日0»,五〳,かのとのとり,みつ,,とよういの六刻ニ入,神よし 大みやう ちいみ  ものたち 井ほりよし
«1768-1890»,«暦日2»,六〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1768-1900»,«暦日0»,七〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1768-1910»,«暦日1»,八〳,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
«1768-1920»,«節中»,大暑六月中今夜ねの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1768-1930»,«暦日1»,九〳,きのとのうし,やふる,金,　,十し
«1768-1940»,«暦日2»,十〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1768-1950»,«暦日0»,十一〳,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
«1768-1960»,«暦日2»,十二〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1768-1970»,«暦日0»,十三〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1768-1980»,«暦日2»,十四〳,かのえむま,とつ,土,中伏,●
«1768-1990»,«暦日0»,十五〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1768-2000»,«暦日2»,十六〳,みつのえさる,のそく,金,　,きしく 大みやう わうまう  くさかりよし
«1768-2010»,«暦日0»,十七〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1768-2020»,«暦日2»,十八〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1768-2030»,«暦日0»,十九〳,きのとのい,さたん,,　,ちう日
«1768-2040»,«暦日2»,廿〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1768-2050»,«暦日0»,廿一〳,ひのとのうし,やふる,,　,十し
«1768-2060»,«暦日2»,廿二〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1768-2070»,«暦日0»,廿三〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1768-2080»,«暦日1»,廿四〳,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
«1768-2090»,«節中»,立秋七月せつ今暁とらの七刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1768-2100»,«暦日1»,廿五〳,かのとのみ,おさん,金,　,天おん 大くわ ちう日
«1768-2110»,«暦日2»,廿六〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1768-2120»,«暦日0»,廿七〳,みつのとのひつし,とつ,,　,天おん 母倉
«1768-2130»,«暦日2»,廿八〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1768-2140»,«暦日0»,廿九〳,きのとのとり,のそく,,　,十し
«1768-2150»,«月序»,七月,大,建,庚申,畢宿　牛　金よう
«1768-2160»,«暦日2»,一〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1768-2170»,«暦日0»,二〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1768-2180»,«暦日2»,三〳,つちのえね,さたん,火,　,わうまう  けんふく くさかりよし
«1768-2190»,«暦日0»,四〳,つちのとのうし,とる,,　,●
«1768-2200»,«暦日2»,五〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1768-2210»,«暦日0»,六〳,かのとのう,あやふ,,　,神よし
«1768-2220»,«暦日2»,七〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1768-2230»,«暦日0»,八〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1768-2240»,«暦日2»,九〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1768-2250»,«暦日0»,十〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1768-2260»,«節中»,処暑七月中みの四刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1768-2270»,«暦日2»,十一〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1768-2280»,«暦日0»,十二〳,ひのとのとり,のそく,,　,十し
«1768-2290»,«暦日2»,十三〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1768-2300»,«暦日0»,十四〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1768-2310»,«暦日2»,十五〳,かのえね,さたん,土,　,神よし きしく ふく日
«1768-2320»,«暦日0»,十六〳,かのとのうし,とる,,　,●
«1768-2330»,«暦日2»,十七〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1768-2340»,«暦日0»,十八〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1768-2350»,«暦日2»,十九〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1768-2360»,«暦日0»,廿〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1768-2370»,«暦日2»,廿一〳,ひのえむま,ひらく,水,二百十日,神よし 大みやう 天火 らうしやく  かといてよし
«1768-2380»,«暦日0»,廿二〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1768-2390»,«暦日2»,廿三〳,つちのえさる,たつ,土,　,天しや よろつよし
«1768-2400»,«暦日0»,廿四〳,つちのとのとり,のそく,,　,十し
«1768-2410»,«暦日1»,廿五〳,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
«1768-2420»,«節中»,白露八月せつさるの一刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1768-2430»,«暦日1»,廿六〳,かのとのい,みつ,金,　,神よし 大みやう 天おん ちう日 ふく日
«1768-2440»,«暦日2»,廿七〳,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
«1768-2450»,«暦日0»,廿八〳,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
«1768-2460»,«暦日2»,廿九〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1768-2470»,«暦日0»,卅〳,きのとのう,やふる,,　,くゑ日 ふく日
«1768-2480»,«月序»,八月,大,建,辛酉,觜宿　虛　日よう
«1768-2490»,«暦日2»,一〳,ひのえたつ,あやふ,土,二百廿日|ま日,大みやう 母倉
«1768-2500»,«暦日0»,二〳,ひのとのみ,なる,,　,十し
«1768-2510»,«暦日2»,三〳,つちのえむま,おさん,火,ま日,めつもん
«1768-2520»,«暦日0»,四〳,つちのとのひつし,ひらく,,　,●
«1768-2530»,«暦日2»,五〳,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
«1768-2540»,«暦日0»,六〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1768-2550»,«暦日2»,七〳,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
«1768-2560»,«暦日0»,八〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1768-2570»,«暦日2»,九〳,きのえね,たいら,金,ひかんニなる,天おん 大くわ 地火  わたましよし
«1768-2580»,«暦日0»,十〳,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
«1768-2590»,«節中»,秋分八月中いぬの六刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1768-2600»,«暦日2»,十一〳,ひのえとら,とる,火,　,天おん きこ  つめとりよし
«1768-2610»,«暦日0»,十二〳,ひのとのう,やふる,,　,天おん わうまう  田かりよし
«1768-2620»,«暦日2»,十三〳,つちのえたつ,あやふ,木,社日,きしく 天おん 母倉 五む日  みそすつくりよし
«1768-2630»,«暦日0»,十四〳,つちのとのみ,なる,,　,十し
«1768-2640»,«暦日2»,十五〳,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
«1768-2650»,«暦日0»,十六〳,かのとのひつし,ひらく,,　,●
«1768-2660»,«暦日2»,十七〳,みつのえさる,とつ,金,　,神よし 大みやう
«1768-2670»,«暦日0»,十八〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1768-2680»,«暦日2»,十九〳,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
«1768-2690»,«暦日0»,廿〳,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
«1768-2700»,«暦日2»,廿一〳,ひのえね,たいら,水,　,大くわ 地火
«1768-2710»,«暦日0»,廿二〳,ひのとのうし,さたん,,　,さい下しき 神よし 大みやう 母倉  ものたち  つめとりよし
«1768-2720»,«暦日2»,廿三〳,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
«1768-2730»,«暦日0»,廿四〳,つちのとのう,やふる,,　,大みやう 天おん
«1768-2740»,«暦日2»,廿五〳,かのえたつ,あやふ,金,　,天おん 母倉 月とく
