«1867-0000»,【 カンマ区切りテキスト形式です。】
«1867-0640»,«暦日0»,十一〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1867-0650»,«暦日2»,十二〳,ひのえさる,とる,火,　,神よし
«1867-0660»,«暦日0»,十三〳,ひのとのとり,やふる,,ひかんニなる, あさまき たねかしよし
«1867-0670»,«暦日2»,十四〳,つちのえいぬ,あやふ,木,社日,わうまう  かといてよし
«1867-0680»,«暦日0»,十五〳,つちのとのい,なる,,　,母倉 月とく ちう日
«1867-0690»,«食記»,月帯そく,　
«1867-0700»,«暦日1»,十六〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1867-0710»,«節中»,春分二月中朝四時四分日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1867-0720»,«暦日1»,十七〳,かのとのうし,ひらく,土,　,五む日 ふく日  ものたち  つめとりよし
«1867-0730»,«暦日2»,十八〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1867-0740»,«暦日0»,十九〳,みつのとのう,たつ,,　,天火 らうしやく
«1867-0750»,«暦日2»,廿〳,きのえたつ,のそく,火,　,●
«1867-0760»,«暦日0»,廿一〳,きのとのみ,みつ,,　,十し
«1867-0770»,«暦日2»,廿二〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1867-0780»,«暦日0»,廿三〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1867-0790»,«暦日2»,廿四〳,つちのえさる,とる,土,　,神よし きしく  たねまきよし
«1867-0800»,«暦日0»,廿五〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1867-0810»,«暦日2»,廿六〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1867-0820»,«暦日0»,廿七〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1867-0830»,«暦日2»,廿八〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1867-0840»,«暦日0»,廿九〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1867-0850»,«暦日1»,卅〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1867-0860»,«月序»,三月,小,建,甲辰,翼宿　亢　金よう
«1867-0870»,«暦日1»,一〳,きのとのう,とつ,水,　,神よし  ものたちよし
«1867-0880»,«節中»,清明三月せつ昼八時四分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
«1867-0890»,«暦日2»,二〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1867-0900»,«暦日0»,三〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1867-0910»,«暦日2»,四〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1867-0920»,«暦日0»,五〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1867-0930»,«暦日2»,六〳,かのえさる,さたん,木,　,大みやう くゑ日
«1867-0940»,«暦日0»,七〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1867-0950»,«暦日2»,八〳,みつのえいぬ,やふる,水,ま日,月とく
«1867-0960»,«暦日0»,九〳,みつのとのい,あやふ,,八せんのおはり,●
«1867-0970»,«暦日2»,十〳,きのえね,なる,金,　,くゑ日 きこ
«1867-0980»,«暦日0»,十一〳,きのとのうし,おさん,,　,十し
«1867-0990»,«暦日2»,十二〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1867-1000»,«暦日0»,十三〳,ひのとのう,とつ,,とよう暮六時ニ入,くゑ日  たねまきよし
«1867-1010»,«暦日2»,十四〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1867-1020»,«暦日0»,十五〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1867-1030»,«暦日1»,十六〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1867-1040»,«節中»,穀雨三月中夜四時三分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1867-1050»,«暦日1»,十七〳,かのとのひつし,たいら,土,　,大みやう めつもん 地火
«1867-1060»,«暦日2»,十八〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1867-1070»,«暦日0»,十九〳,みつのとのとり,とる,,　,神よし 大みやう
«1867-1080»,«暦日2»,廿〳,きのえいぬ,やふる,火,　, くさかりよし
«1867-1090»,«暦日0»,廿一〳,きのとのい,あやふ,,　,●
«1867-1100»,«暦日2»,廿二〳,ひのえね,なる,水,　,きしく きこ
«1867-1110»,«暦日0»,廿三〳,ひのとのうし,おさん,,　,十し
«1867-1120»,«暦日2»,廿四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1867-1130»,«暦日0»,廿五〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1867-1140»,«暦日2»,廿六〳,かのえたつ,たつ,金,　,くゑ日
«1867-1150»,«暦日0»,廿七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1867-1160»,«暦日2»,廿八〳,みつのえむま,みつ,木,八十八や,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1867-1170»,«暦日0»,廿九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1867-1180»,«月序»,四月,大,建,乙巳,軫宿　氐　土よう
«1867-1190»,«暦日2»,一〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1867-1200»,«暦日0»,二〳,きのとのとり,とる,,　,神よし  くさかりよし
«1867-1210»,«暦日1»,三〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1867-1220»,«節中»,立夏四月せつ朝四時ニ入日の出より日入まて,昼五十六刻半|夜四十三刻半,六より六まて,昼六十二刻|夜三十八刻
«1867-1230»,«暦日1»,四〳,ひのとのい,やふる,土,　,大みやう ちう日
«1867-1240»,«暦日2»,五〳,つちのえね,あやふ,火,　, けんふくよし
«1867-1250»,«暦日0»,六〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1867-1260»,«暦日2»,七〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1867-1270»,«暦日0»,八〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1867-1280»,«暦日2»,九〳,みつのえたつ,とつ,水,　,さい下しき 大みやう 五む日 ふく日
«1867-1290»,«暦日0»,十〳,みつのとのみ,たつ,,天一天上,●
«1867-1300»,«暦日2»,十一〳,きのえむま,のそく,金,　,天しや よろつよし
«1867-1310»,«暦日0»,十二〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1867-1320»,«暦日2»,十三〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1867-1330»,«暦日0»,十四〳,ひのとのとり,さたん,,　,十し
«1867-1340»,«暦日2»,十五〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1867-1350»,«暦日0»,十六〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1867-1360»,«暦日2»,十七〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1867-1370»,«暦日0»,十八〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1867-1380»,«節中»,小満四月中夜四時二分日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1867-1390»,«暦日2»,十九〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
