«1806-0000»,【 カンマ区切りテキスト形式です。】
«1806-0640»,«暦日0»,九〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1806-0650»,«暦日2»,十〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1806-0660»,«暦日0»,十一〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1806-0670»,«暦日2»,十二〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1806-0680»,«暦日0»,十三〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1806-0690»,«暦日2»,十四〳,みつのえたつ,のそく,水,　,●
«1806-0700»,«暦日0»,十五〳,みつのとのみ,みつ,,天一天上,十し
«1806-0710»,«暦日2»,十六〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1806-0720»,«暦日0»,十七〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1806-0730»,«暦日2»,十八〳,ひのえさる,とる,火,　,神よし
«1806-0740»,«暦日0»,十九〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1806-0750»,«節中»,清明三月せついぬの三刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1806-0760»,«暦日2»,廿〳,つちのえいぬ,やふる,木,　,ふく日
«1806-0770»,«暦日0»,廿一〳,つちのとのい,あやふ,,　,●
«1806-0780»,«暦日2»,廿二〳,かのえね,なる,土,　,神よし きこ
«1806-0790»,«暦日0»,廿三〳,かのとのうし,おさん,,　,十し
«1806-0800»,«暦日2»,廿四〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1806-0810»,«暦日0»,廿五〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1806-0820»,«暦日2»,廿六〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1806-0830»,«暦日0»,廿七〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1806-0840»,«暦日2»,廿八〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1806-0850»,«暦日0»,廿九〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1806-0860»,«暦日1»,卅〳,つちのえさる,さたん,土,　,きしく くゑ日 ふく日
«1806-0870»,«月序»,三月,小,建,壬辰,鬼宿　柳　土よう
«1806-0880»,«暦日1»,一〳,つちのとのとり,とる,土,とよう今夜ねの三刻ニ入,神よし 大みやう 天おん ふく日
«1806-0890»,«暦日2»,二〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1806-0900»,«暦日0»,三〳,かのとのい,あやふ,,　,●
«1806-0910»,«暦日2»,四〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1806-0920»,«暦日0»,五〳,みつのとのうし,おさん,,ま日,十し
«1806-0930»,«節中»,穀雨三月中今暁ねの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1806-0940»,«暦日2»,六〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1806-0950»,«暦日0»,七〳,きのとのう,とつ,,　,神よし  ものたちよし
«1806-0960»,«暦日2»,八〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1806-0970»,«暦日0»,九〳,ひのとのみ,のそく,,　,母倉 月とく ちう日 わうまう  いちたちよし
«1806-0980»,«暦日2»,十〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1806-0990»,«暦日0»,十一〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1806-1000»,«暦日2»,十二〳,かのえさる,さたん,木,　,大みやう くゑ日
«1806-1010»,«暦日0»,十三〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1806-1020»,«暦日2»,十四〳,みつのえいぬ,やふる,水,ま日,月とく
«1806-1030»,«暦日0»,十五〳,みつのとのい,あやふ,,八十八や|八せんのおはり,●
«1806-1040»,«暦日2»,十六〳,きのえね,なる,金,　,くゑ日 きこ
«1806-1050»,«暦日0»,十七〳,きのとのうし,おさん,,　,十し
«1806-1060»,«暦日2»,十八〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1806-1070»,«暦日0»,十九〳,ひのとのう,とつ,,　,さい下しき くゑ日  たねまきよし
«1806-1080»,«暦日1»,廿〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1806-1090»,«節中»,立夏四月せつうの五刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1806-1100»,«暦日1»,廿一〳,つちのとのみ,たつ,木,　,●
«1806-1110»,«暦日2»,廿二〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1806-1120»,«暦日0»,廿三〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1806-1130»,«暦日2»,廿四〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1806-1140»,«暦日0»,廿五〳,みつのとのとり,さたん,,　,十し
«1806-1150»,«暦日2»,廿六〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1806-1160»,«暦日0»,廿七〳,きのとのい,やふる,,　,月とく ちう日 わうまう
«1806-1170»,«暦日2»,廿八〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1806-1180»,«暦日0»,廿九〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1806-1190»,«月序»,四月,大,建,癸巳,柳宿　星　日よう
«1806-1200»,«暦日2»,一〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1806-1210»,«暦日0»,二〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1806-1220»,«暦日2»,三〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1806-1230»,«暦日0»,四〳,かのとのみ,たつ,,　,●
«1806-1240»,«暦日2»,五〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1806-1250»,«暦日0»,六〳,みつのとのひつし,みつ,,　,くゑ日
«1806-1260»,«節中»,小満四月中むまの一刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1806-1270»,«暦日2»,七〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1806-1280»,«暦日0»,八〳,きのとのとり,さたん,,　,十し
«1806-1290»,«暦日2»,九〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1806-1300»,«暦日0»,十〳,ひのとのい,やふる,,　,大みやう ちう日
«1806-1310»,«暦日2»,十一〳,つちのえね,あやふ,火,　, けんふくよし
«1806-1320»,«暦日0»,十二〳,つちのとのうし,なる,,　,きこ  つめとりよし
