《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/138 ～ 144
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1732g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1732h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2790》,《暦日0》,廿九／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2800》,《暦日1》,卅／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2810》,《月序》,八月,大,建,己酉,斗宿　亢　金よう
《2820》,《暦日1》,一／,きのとのう,やふる,水,　,くゑ日 ふく日
《2830》,《暦日2》,二／,ひのえたつ,あやふ,土,ま日,大みやう
《2840》,《暦日0》,三／,ひのとのみ,なる,,　,十し
《2850》,《節中》,秋分八月中うの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2860》,《暦日2》,四／,つちのえむま,おさん,火,ま日/社日,めつもん
《2870》,《暦日0》,五／,つちのとのひつし,ひらく,,ひかんニなる,●
《2880》,《暦日2》,六／,かのえさる,とつ,木,　,神よし 大みやう  入学よし
《2890》,《暦日0》,七／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2900》,《暦日2》,八／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《2910》,《暦日0》,九／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2920》,《暦日2》,十／,きのえね,たいら,金,　,大くわ 地火  わたましよし
《2930》,《暦日0》,十一／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《2940》,《暦日2》,十二／,ひのえとら,とる,火,　,きこ  つめとりよし
《2950》,《暦日0》,十三／,ひのとのう,やふる,,　, 田かりよし
《2960》,《暦日2》,十四／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《2970》,《暦日0》,十五／,つちのとのみ,なる,,　,十し
《2980》,《暦日2》,十六／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《2990》,《暦日0》,十七／,かのとのひつし,ひらく,,　,●
《3000》,《暦日1》,十八／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3010》,《節中》,寒露九月せつみの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《3020》,《暦日1》,十九／,みつのとのとり,とつ,金,　,神よし 大みやう
《3030》,《暦日2》,廿／,きのえいぬ,たつ,火,　,くゑ日
《3040》,《暦日0》,廿一／,きのとのい,のそく,,　,ちう日  田かりよし
《3050》,《暦日2》,廿二／,ひのえね,みつ,水,　,きしく きこ 天火 らうしやく
《3060》,《暦日0》,廿三／,ひのとのうし,たいら,,　,十し
《3070》,《暦日2》,廿四／,つちのえとら,さたん,土,　,●
《3080》,《暦日0》,廿五／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3090》,《暦日2》,廿六／,かのえたつ,やふる,金,　
《3100》,《暦日0》,廿七／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3110》,《暦日2》,廿八／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《3120》,《暦日0》,廿九／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3130》,《暦日1》,卅／,きのえさる,ひらく,水,とようひつしの七刻ニ入/十方くれニ入,大みやう
《3140》,《月序》,九月,大,建,庚戌,牛宿　房　日よう
《3150》,《暦日1》,一／,きのとのとり,とつ,水,　,神よし  田かりよし
《3160》,《暦日2》,二／,ひのえいぬ,たつ,土,　,五む日  竹木こりよし
《3170》,《暦日0》,三／,ひのとのい,のそく,,　,大みやう ちう日
《3180》,《節中》,霜降九月中さるの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3190》,《暦日2》,四／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3200》,《暦日0》,五／,つちのとのうし,たいら,,　,十し
《3210》,《暦日2》,六／,かのえとら,さたん,木,　,●
《3220》,《暦日0》,七／,かのとのう,とる,,　,くゑ日
《3230》,《暦日2》,八／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3240》,《暦日0》,九／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3250》,《暦日2》,十／,きのえむま,なる,金,　,くゑ日
《3260》,《暦日0》,十一／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3270》,《暦日2》,十二／,ひのえさる,ひらく,火,　,くゑ日
《3280》,《暦日0》,十三／,ひのとのとり,とつ,,　,くゑ日
《3290》,《暦日2》,十四／,つちのえいぬ,たつ,木,　,くゑ日 ふく日 わうまう  田かりよし
《3300》,《暦日0》,十五／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3310》,《暦日2》,十六／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3320》,《暦日0》,十七／,かのとのうし,たいら,,　,十し
《3330》,《暦日1》,十八／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3340》,《節中》,立冬十月せついの初刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3350》,《暦日1》,十九／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3360》,《暦日2》,廿／,きのえたつ,とる,火,　,きしく 大みやう  やたて かとたてよし
《3370》,《暦日0》,廿一／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3380》,《暦日2》,廿二／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3390》,《暦日0》,廿三／,ひのとのひつし,なる,,　, 木こりよし
《3400》,《暦日2》,廿四／,つちのえさる,おさん,土,　,●
《3410》,《暦日0》,廿五／,つちのとのとり,ひらく,,　,十し
《3420》,《暦日2》,廿六／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3430》,《暦日0》,廿七／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3440》,《暦日2》,廿八／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3450》,《暦日0》,廿九／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3460》,《暦日1》,卅／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3470》,《月序》,十月,小,建,辛亥,女宿　尾　火よう
《3480》,《暦日1》,一／,きのとのう,さたん,水,　,神よし 天火 らうしやく  けんふく ものたちよし
《3490》,《暦日2》,二／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3500》,《暦日0》,三／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3510》,《暦日1》,四／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3520》,《節中》,小雪十月中うしの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3530》,《暦日1》,五／,つちのとのひつし,なる,火,　,大みやう  かまぬり いちたちよし
《3540》,《暦日2》,六／,かのえさる,おさん,木,　,●
《3550》,《暦日0》,七／,かのとのとり,ひらく,,　,十し
《3560》,《暦日2》,八／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3570》,《暦日0》,九／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3580》,《暦日2》,十／,きのえね,のそく,金,　,天しや よろつよし
《3590》,《暦日0》,十一／,きのとのうし,みつ,,　,くゑ日 きこ
《3600》,《暦日2》,十二／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《3610》,《暦日0》,十三／,ひのとのう,さたん,,　,神よし 天火 らうしやく
《3620》,《暦日1》,十四／,つちのえたつ,とる,木,　,五む日
《3630》,《食記》,月帯そく皆既
《3640》,《暦日1》,十五／,つちのとのみ,やふる,木,　,くゑ日 ちう日
《3650》,《暦日2》,十六／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3660》,《暦日0》,十七／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3670》,《暦日2》,十八／,みつのえさる,おさん,金,　,●
《3680》,《暦日0》,十九／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3690》,《節中》,大雪十一月せつたつの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3700》,《暦日2》,廿／,きのえいぬ,ひらく,火,　
《3710》,《暦日0》,廿一／,きのとのい,とつ,,　,ちう日
《3720》,《暦日2》,廿二／,ひのえね,たつ,水,　, 木こりよし
《3730》,《暦日0》,廿三／,ひのとのうし,のそく,,　,さい下しき 神よし 大みやう ふく日  ものたち  つめとりよし
《3740》,《暦日2》,廿四／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3750》,《暦日0》,廿五／,つちのとのう,たいら,,　,●
《3760》,《暦日2》,廿六／,かのえたつ,さたん,金,　, たねまきよし
《3770》,《暦日0》,廿七／,かのとのみ,とる,,　,十し
《3780》,《暦日2》,廿八／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3790》,《暦日0》,廿九／,みつのとのひつし,あやふ,,　,ふく日
《3800》,《月序》,十一月,大,建,壬子,虛宿　箕　水よう
《3810》,《暦日2》,一／,きのえさる,なる,水,十方くれニ入,大みやう
《3820》,《暦日0》,二／,きのとのとり,おさん,,　,神よし 大くわ  ものたちよし
《3830》,《暦日2》,三／,ひのえいぬ,ひらく,土,　,五む日
《3840》,《暦日0》,四／,ひのとのい,とつ,,　,大みやう ちう日 ふく日
《3850》,《暦日1》,五／,つちのえね,たつ,火,　,くゑ日
《3860》,《節中》,冬至十一月中むまの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3870》,《暦日1》,六／,つちのとのうし,のそく,火,　, つめとりよし
《3880》,《暦日2》,七／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3890》,《暦日0》,八／,かのとのう,たいら,,　,●
《3900》,《暦日2》,九／,みつのえたつ,さたん,水,　,大みやう 五む日 わうまう  木こりよし
《3910》,《暦日0》,十／,みつのとのみ,とる,,天一天上,十し
《3920》,《暦日2》,十一／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3930》,《暦日0》,十二／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3940》,《暦日2》,十三／,ひのえさる,なる,火,　
《3950》,《暦日0》,十四／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《3960》,《暦日2》,十五／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3970》,《暦日0》,十六／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3980》,《暦日2》,十七／,かのえね,たつ,土,　,きしく  井ほりよし
《3990》,《暦日0》,十八／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《4000》,《暦日2》,十九／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《4010》,《暦日0》,廿／,みつのとのう,みつ,,　,神よし  わたましよし
《4020》,《節中》,小寒十二月せつとりの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4030》,《暦日2》,廿一／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4040》,《暦日0》,廿二／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《4050》,《暦日2》,廿三／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《4060》,《暦日0》,廿四／,ひのとのひつし,やふる,,　,くゑ日
《4070》,《暦日2》,廿五／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4080》,《暦日0》,廿六／,つちのとのとり,なる,,　,●
《4090》,《暦日2》,廿七／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4100》,《暦日0》,廿八／,かのとのい,ひらく,,　,大みやう ちう日
《4110》,《暦日2》,廿九／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4120》,《暦日0》,卅／,みつのとのうし,たつ,,ま日,十し
《4130》,《月序》,十二月,小,建,癸丑,危宿　牛　金よう
《4140》,《暦日2》,一／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4150》,《暦日0》,二／,きのとのう,みつ,,とよういの四刻ニ入,神よし  ものたち 正月ことはしめよし
《4160》,《暦日2》,三／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4170》,《暦日0》,四／,ひのとのみ,さたん,,　,ちう日
《4180》,《暦日1》,五／,つちのえむま,とる,火,ま日,神よし ふく日  ふねのりよし
《4190》,《節中》,大寒十二月中夜ねの初刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4200》,《暦日1》,六／,つちのとのひつし,やふる,火,　,神よし 大みやう ふく日  かといてよし
《4210》,《暦日2》,七／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《4220》,《暦日0》,八／,かのとのとり,なる,,　,●
《4230》,《暦日2》,九／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4240》,《暦日0》,十／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4250》,《暦日2》,十一／,きのえね,とつ,金,　,天しや よろつよし
《4260》,《暦日0》,十二／,きのとのうし,たつ,,　,十し
《4270》,《暦日2》,十三／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《4280》,《暦日0》,十四／,ひのとのう,みつ,,　,神よし
《4290》,《暦日2》,十五／,つちのえたつ,たいら,木,　,きしく 五む日 大くわ ふく日 地火
《4300》,《暦日0》,十六／,つちのとのみ,さたん,,　,ちう日 ふく日
《4310》,《暦日2》,十七／,かのえむま,とる,土,　,神よし  すゝはらひよし
《4320》,《暦日0》,十八／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4330》,《暦日2》,十九／,みつのえさる,あやふ,金,　,大みやう わうまう
《4340》,《暦日0》,廿／,みつのとのとり,なる,,せつふん,●
《4350》,《暦日1》,廿一／,きのえいぬ,なる,火,　,●
《4360》,《節中》,立春正月せつとらの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4370》,《暦日1》,廿二／,きのとのい,おさん,火,　,大くわ ちう日
《4380》,《暦日2》,廿三／,ひのえね,ひらく,水,　,天火 らうしやく
《4390》,《暦日0》,廿四／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《4400》,《暦日2》,廿五／,つちのえとら,たつ,土,　,天しや よろつよし
《4410》,《暦日0》,廿六／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《4420》,《暦日2》,廿七／,かのえたつ,みつ,金,　,ふく日 わうまう
《4430》,《暦日0》,廿八／,かのとのみ,たいら,,　,ちう日 めつもん 地火
《4440》,《暦日1》,廿九／,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
《4450》,《暦末》,享保十六年出,立表測景定節氣者
