《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/138 ～ 144
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1732g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1732h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0720》,《暦日0》,十七／,きのとのみ,みつ,,　,十し
《0730》,《暦日2》,十八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0740》,《暦日0》,十九／,ひのとのひつし,さたん,,　,神よし ちいみ
《0750》,《暦日2》,廿／,つちのえさる,とる,土,　,神よし  たねまきよし
《0760》,《暦日0》,廿一／,つちのとのとり,やふる,,　,大みやう
《0770》,《暦日2》,廿二／,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
《0780》,《暦日0》,廿三／,かのとのい,なる,,　,神よし 大みやう ちう日 ふく日
《0790》,《暦日2》,廿四／,みつのえね,おさん,木,八せんのはしめ,めつもん わうまう  あさまきよし
《0800》,《暦日0》,廿五／,みつのとのうし,ひらく,,ま日, つめとりよし
《0810》,《暦日1》,廿六／,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
《0820》,《節中》,春分二月中ひつしの五刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0830》,《暦日1》,廿七／,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく
《0840》,《暦日2》,廿八／,ひのえたつ,のそく,土,ま日/ひかんニなる,●
《0850》,《暦日0》,廿九／,ひのとのみ,みつ,,　,十し
《0860》,《月序》,三月,大,建,甲辰,氐宿　參　水よう
《0870》,《暦日2》,一／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0880》,《暦日0》,二／,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
《0890》,《暦日2》,三／,かのえさる,とる,木,　,神よし きしく 大みやう
《0900》,《暦日0》,四／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0910》,《暦日2》,五／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0920》,《暦日0》,六／,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
《0930》,《暦日2》,七／,きのえね,おさん,金,　,めつもん
《0940》,《暦日0》,八／,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
《0950》,《暦日2》,九／,ひのえとら,とつ,火,　,きこ  つめとりよし
《0960》,《暦日0》,十／,ひのとのう,たつ,,　,天火 らうしやく
《0970》,《暦日2》,十一／,つちのえたつ,のそく,木,　,●
《0980》,《暦日0》,十二／,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
《0990》,《節中》,清明三月せついぬの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1000》,《暦日2》,十三／,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
《1010》,《暦日0》,十四／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1020》,《暦日2》,十五／,みつのえさる,さたん,金,　,大みやう くゑ日
《1030》,《暦日0》,十六／,みつのとのとり,とる,,　,神よし 大みやう
《1040》,《暦日2》,十七／,きのえいぬ,やふる,火,　, くさかりよし
《1050》,《暦日0》,十八／,きのとのい,あやふ,,　,●
