《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2910》,《暦日2》,十一／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2920》,《暦日0》,十二／,きのとのう,やふる,,　,くゑ日 ふく日
《2930》,《暦日1》,十三／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《2940》,《節中》,寒露九月せつとりの三刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2950》,《暦日1》,十四／,ひのとのみ,あやふ,土,　,さい下しき 母倉 ちいみ ちう日 下しきひつしの時
《2960》,《暦日2》,十五／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《2970》,《暦日0》,十六／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《2980》,《暦日2》,十七／,かのえさる,ひらく,木,　,大みやう
《2990》,《暦日0》,十八／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3000》,《暦日2》,十九／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3010》,《暦日0》,廿／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3020》,《暦日2》,廿一／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3030》,《暦日0》,廿二／,きのとのうし,たいら,,　,十し
《3040》,《暦日2》,廿三／,ひのえとら,さたん,火,　,●
《3050》,《暦日0》,廿四／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3060》,《暦日2》,廿五／,つちのえたつ,やふる,木,とよういの四刻ニ入,天おん 五む日 ふく日
《3070》,《暦日0》,廿六／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3080》,《暦日2》,廿七／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3090》,《暦日0》,廿八／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3100》,《節中》,霜降九月中いの八刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3110》,《暦日2》,廿九／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3120》,《暦日0》,卅／,みつのとのとり,とつ,,　,神よし 大みやう
《3130》,《月序》,十月,小,建,辛亥,尾宿　參　水よう
《3140》,《暦日2》,一／,きのえいぬ,たつ,火,　,くゑ日
《3150》,《暦日0》,二／,きのとのい,のそく,,　,ちう日  田かりよし
《3160》,《暦日2》,三／,ひのえね,みつ,水,　,きしく 月とく きこ 天火 らうしやく
《3170》,《暦日0》,四／,ひのとのうし,たいら,,　,十し
《3180》,《暦日2》,五／,つちのえとら,さたん,土,　,●
《3190》,《暦日0》,六／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3200》,《暦日2》,七／,かのえたつ,やふる,金,　,天おん
《3210》,《暦日0》,八／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3220》,《暦日2》,九／,みつのえむま,なる,木,　,大みやう 天おん 母倉 わうまう  けんふくよし
《3230》,《暦日0》,十／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3240》,《暦日2》,十一／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3250》,《暦日0》,十二／,きのとのとり,とつ,,　,神よし  田かりよし
《3260》,《暦日2》,十三／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3270》,《暦日0》,十四／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3280》,《節中》,立冬十月せつ今暁とらの五刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3290》,《暦日2》,十五／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3300》,《暦日0》,十六／,つちのとのうし,みつ,,　,くゑ日 きこ
《3310》,《暦日2》,十七／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3320》,《暦日0》,十八／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3330》,《暦日2》,十九／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3340》,《暦日0》,廿／,みつのとのみ,やふる,,天一天上,ちう日
《3350》,《暦日2》,廿一／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3360》,《暦日0》,廿二／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3370》,《暦日2》,廿三／,ひのえさる,おさん,火,　,●
《3380》,《暦日0》,廿四／,ひのとのとり,ひらく,,　,十し
《3390》,《暦日2》,廿五／,つちのえいぬ,とつ,木,　,くゑ日
《3400》,《暦日0》,廿六／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3410》,《暦日2》,廿七／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3420》,《暦日0》,廿八／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3430》,《暦日1》,廿九／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3440》,《節中》,小雪十月中みの二刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3450》,《月序》,十一月,大,建,壬子,箕宿　井　木よう
《3460》,《暦日1》,一／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3470》,《暦日2》,二／,きのえたつ,とる,火,　,きしく 大みやう 月とく  やたて かとたてよし
《3480》,《暦日0》,三／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3490》,《暦日2》,四／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3500》,《暦日0》,五／,ひのとのひつし,なる,,　, 木こりよし
《3510》,《暦日2》,六／,つちのえさる,おさん,土,　,●
《3520》,《暦日0》,七／,つちのとのとり,ひらく,,　,十し
《3530》,《暦日2》,八／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3540》,《暦日0》,九／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3550》,《暦日2》,十／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3560》,《暦日0》,十一／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3570》,《暦日2》,十二／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3580》,《暦日0》,十三／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3590》,《暦日2》,十四／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3600》,《暦日0》,十五／,ひのとのみ,とる,,　,十し
《3610》,《節中》,大雪十一月せつひつしの七刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3620》,《暦日2》,十六／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3630》,《暦日0》,十七／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3640》,《暦日2》,十八／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3650》,《暦日0》,十九／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3660》,《暦日2》,廿／,みつのえいぬ,ひらく,水,ま日,月とく
《3670》,《暦日0》,廿一／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3680》,《暦日2》,廿二／,きのえね,たつ,金,　,天しや よろつよし
《3690》,《暦日0》,廿三／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3700》,《暦日2》,廿四／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3710》,《暦日0》,廿五／,ひのとのう,たいら,,　,●
《3720》,《暦日2》,廿六／,つちのえたつ,さたん,木,　,天おん 五む日
《3730》,《暦日0》,廿七／,つちのとのみ,とる,,　,十し
《3740》,《暦日2》,廿八／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3750》,《暦日0》,廿九／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3760》,《暦日1》,卅／,みつのえさる,なる,金,　,きしく 大みやう 母倉 月とく  いちたちよし
《3770》,《節中》,冬至十一月中いぬの四刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3780》,《月序》,閏十一月,大,隨節用之,柳　土よう
《3790》,《暦日1》,一／,みつのとのとり,おさん,金,　,神よし 大みやう 母倉 大くわ ふく日
《3800》,《暦日2》,二／,きのえいぬ,ひらく,火,　
《3810》,《暦日0》,三／,きのとのい,とつ,,　,ちう日
《3820》,《暦日2》,四／,ひのえね,たつ,水,　,わうまう  木こりよし
《3830》,《暦日0》,五／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3840》,《暦日2》,六／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3850》,《暦日0》,七／,つちのとのう,たいら,,　,●
《3860》,《暦日2》,八／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3870》,《暦日0》,九／,かのとのみ,とる,,　,十し
《3880》,《暦日2》,十／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3890》,《暦日0》,十一／,みつのとのひつし,あやふ,,　,天おん ふく日
《3900》,《暦日2》,十二／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3910》,《暦日0》,十三／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3920》,《暦日2》,十四／,ひのえいぬ,ひらく,土,　,五む日
《3930》,《暦日0》,十五／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3940》,《暦日1》,十六／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《3950》,《節中》,小寒十二月せつ今暁うしの一刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3960》,《食記》,月帯食四分半
《3970》,《暦日1》,十七／,つちのとのうし,たつ,火,　,十し
《3980》,《暦日2》,十八／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《3990》,《暦日0》,十九／,かのとのう,みつ,,　,神よし  よめとりよし
《4000》,《暦日2》,廿／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4010》,《暦日0》,廿一／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4020》,《暦日2》,廿二／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4030》,《暦日0》,廿三／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4040》,《暦日2》,廿四／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4050》,《暦日0》,廿五／,ひのとのとり,なる,,　,●
《4060》,《暦日2》,廿六／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4070》,《暦日0》,廿七／,つちのとのい,ひらく,,　,ちう日 ふく日
《4080》,《暦日2》,廿八／,かのえね,とつ,土,とよううの二刻ニ入,神よし きしく 月とく きこ ちいみ
《4090》,《暦日0》,廿九／,かのとのうし,たつ,,　,十し
《4100》,《暦日1》,卅／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4110》,《月序》,十二月,大,建,癸丑,斗宿　張　月よう
《4120》,《暦日1》,一／,みつのとのう,みつ,金,　,神よし  わたまし すゝはらひよし
《4130》,《節中》,大寒十二月中うの六刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4140》,《暦日2》,二／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4150》,《暦日0》,三／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4160》,《暦日2》,四／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《4170》,《暦日0》,五／,ひのとのひつし,やふる,,　,くゑ日
《4180》,《暦日2》,六／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4190》,《暦日0》,七／,つちのとのとり,なる,,　,●
《4200》,《暦日2》,八／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《4210》,《暦日0》,九／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《4220》,《暦日2》,十／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4230》,《暦日0》,十一／,みつのとのうし,たつ,,ま日,十し
《4240》,《暦日2》,十二／,きのえとら,のそく,水,　, 木こり  つめとりよし
《4250》,《暦日0》,十三／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《4260》,《暦日2》,十四／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《4270》,《暦日0》,十五／,ひのとのみ,さたん,,せつふん,さい下しき 母倉 ちう日 わうまう
《4280》,《暦日1》,十六／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4290》,《節中》,立春正月せつむまの三刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《4300》,《暦日1》,十七／,つちのとのひつし,とる,火,　,神よし 大みやう  かといて たねまき すゝはらひよし
《4310》,《暦日2》,十八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《4320》,《暦日0》,十九／,かのとのとり,あやふ,,　,十し
《4330》,《暦日2》,廿／,みつのえいぬ,なる,水,ま日,●
《4340》,《暦日0》,廿一／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《4350》,《暦日2》,廿二／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく わうまう
《4360》,《暦日0》,廿三／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《4370》,《暦日2》,廿四／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《4380》,《暦日0》,廿五／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《4390》,《暦日2》,廿六／,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
《4400》,《暦日0》,廿七／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《4410》,《暦日2》,廿八／,かのえむま,さたん,土,　,神よし ふく日
《4420》,《暦日0》,廿九／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《4430》,《暦日1》,卅／,みつのえさる,やふる,金,　,神よし 大みやう
《4440》,《暦末》,天保二年出,立表測景定節氣者
