《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日2》,十四／,みつのえたつ,のそく,水,　,●
《0700》,《暦日0》,十五／,みつのとのみ,みつ,,天一天上/ひかんニなる,十し
《0710》,《暦日2》,十六／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0720》,《暦日0》,十七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0730》,《暦日2》,十八／,ひのえさる,とる,火,　,わうまう
《0740》,《暦日0》,十九／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0750》,《暦日1》,廿／,つちのえいぬ,あやふ,木,社日, かといてよし
《0760》,《節中》,春分二月中いの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0770》,《暦日1》,廿一／,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0780》,《暦日2》,廿二／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0790》,《暦日0》,廿三／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0800》,《暦日2》,廿四／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0810》,《暦日0》,廿五／,みつのとのう,たつ,,　,天火 らうしやく
《0820》,《暦日2》,廿六／,きのえたつ,のそく,火,　,●
《0830》,《暦日0》,廿七／,きのとのみ,みつ,,　,十し
《0840》,《暦日2》,廿八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0850》,《暦日0》,廿九／,ひのとのひつし,さたん,,　,神よし ちいみ
《0860》,《月序》,三月,大,建,甲辰,翼宿　虛　日よう
《0870》,《暦日2》,一／,つちのえさる,とる,土,　,神よし  たねまきよし
《0880》,《暦日0》,二／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0890》,《暦日2》,三／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0900》,《暦日0》,四／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0910》,《暦日2》,五／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0920》,《暦日0》,六／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0930》,《暦日1》,七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《0940》,《節中》,清明三月せつ今暁うしの八刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0950》,《暦日1》,八／,きのとのう,とつ,水,　,神よし  ものたちよし
《0960》,《暦日2》,九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《0970》,《暦日0》,十／,ひのとのみ,のそく,,　,さい下しき 母倉 月とく ちう日  いちたちよし
《0980》,《暦日2》,十一／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《0990》,《暦日0》,十二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1000》,《暦日2》,十三／,かのえさる,さたん,木,　,きしく 大みやう くゑ日
《1010》,《暦日0》,十四／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1020》,《暦日2》,十五／,みつのえいぬ,やふる,水,ま日,月とく
《1030》,《暦日0》,十六／,みつのとのい,あやふ,,八せんのおはり,●
《1040》,《暦日2》,十七／,きのえね,なる,金,　,くゑ日 きこ
《1050》,《暦日0》,十八／,きのとのうし,おさん,,　,十し
《1060》,《暦日2》,十九／,ひのえとら,ひらく,火,とようたつの初刻ニ入,くゑ日 ちいみ
《1070》,《暦日0》,廿／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1080》,《暦日2》,廿一／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1090》,《暦日0》,廿二／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
