«1769-0000»,【 カンマ区切りテキスト形式です。】
«1769-0410»,«暦日0»,十九〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1769-0420»,«暦日2»,廿〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1769-0430»,«暦日0»,廿一〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1769-0440»,«暦日2»,廿二〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1769-0450»,«暦日0»,廿三〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1769-0460»,«暦日2»,廿四〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1769-0470»,«暦日0»,廿五〳,つちのとのとり,あやふ,,　,十し
«1769-0480»,«暦日2»,廿六〳,かのえいぬ,なる,金,　,●
«1769-0490»,«暦日0»,廿七〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1769-0500»,«暦日2»,廿八〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1769-0510»,«暦日0»,廿九〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1769-0520»,«節中»,啓蟄二月せつうの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1769-0530»,«月序»,二月,大,建,丁卯,張宿　參　水よう
«1769-0540»,«暦日2»,一〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1769-0550»,«暦日0»,二〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1769-0560»,«暦日2»,三〳,ひのえたつ,のそく,土,ま日,●
«1769-0570»,«暦日0»,四〳,ひのとのみ,みつ,,　,十し
«1769-0580»,«暦日2»,五〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1769-0590»,«暦日0»,六〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1769-0600»,«暦日2»,七〳,かのえさる,とる,木,　,神よし 大みやう
«1769-0610»,«暦日0»,八〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1769-0620»,«暦日2»,九〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1769-0630»,«暦日0»,十〳,みつのとのい,なる,,八せんのおはり|ひかんニなる,母倉 ちう日  たねかしよし
«1769-0640»,«暦日2»,十一〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1769-0650»,«暦日0»,十二〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1769-0660»,«暦日2»,十三〳,ひのえとら,とつ,火,　,天おん きこ わうまう  つめとりよし
«1769-0670»,«暦日0»,十四〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1769-0680»,«暦日1»,十五〳,つちのえたつ,のそく,木,社日,●
«1769-0690»,«節中»,春分二月中むまの一刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1769-0700»,«暦日1»,十六〳,つちのとのみ,みつ,木,　,十し
«1769-0710»,«暦日2»,十七〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1769-0720»,«暦日0»,十八〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1769-0730»,«暦日2»,十九〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1769-0740»,«暦日0»,廿〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1769-0750»,«暦日2»,廿一〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1769-0760»,«暦日0»,廿二〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1769-0770»,«暦日2»,廿三〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1769-0780»,«暦日0»,廿四〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1769-0790»,«暦日2»,廿五〳,つちのえとら,とつ,土,　,天しや よろつよし
«1769-0800»,«暦日0»,廿六〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1769-0810»,«暦日2»,廿七〳,かのえたつ,のそく,金,　,●
«1769-0820»,«暦日0»,廿八〳,かのとのみ,みつ,,　,十し
«1769-0830»,«暦日2»,廿九〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1769-0840»,«暦日0»,卅〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1769-0850»,«節中»,清明三月せつさるの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1769-0860»,«月序»,三月,小,建,戊辰,翼宿　鬼　金よう
«1769-0870»,«暦日2»,一〳,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
«1769-0880»,«暦日0»,二〳,きのとのとり,とる,,　,神よし  くさかりよし
«1769-0890»,«暦日2»,三〳,ひのえいぬ,やふる,土,　,五む日
«1769-0900»,«暦日0»,四〳,ひのとのい,あやふ,,　,●
