《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《3150》,《暦日2》,十八／,つちのえたつ,とる,木,　,五む日  ふねのりよし
《3160》,《暦日0》,十九／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3170》,《暦日2》,廿／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3180》,《暦日0》,廿一／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3190》,《暦日2》,廿二／,みつのえさる,おさん,金,　,●
《3200》,《暦日0》,廿三／,みつのとのとり,ひらく,,十月中うの五刻,十し
《3210》,《暦日2》,廿四／,きのえいぬ,とつ,火,　, わたまし いちたちよし
《3220》,《暦日0》,廿五／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3230》,《暦日2》,廿六／,ひのえね,のそく,水,　,ふく日
《3240》,《暦日0》,廿七／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3250》,《暦日2》,廿八／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3260》,《暦日0》,廿九／,つちのとのう,さたん,,　,神よし 大みやう 天火 らうしやく
《3270》,《暦日1》,卅／,かのえたつ,とる,金,　, けんふく よめとりよし
《3280》,《月序》,十一月,小,建,壬子,鬼宿　觜　火よう
《3290》,《暦日1》,一／,かのとのみ,やふる,金,　,ちう日
《3300》,《暦日2》,二／,みつのえむま,あやふ,木,　,神よし 大みやう ふく日  かとたてよし
《3310》,《暦日0》,三／,みつのとのひつし,なる,,　
《3320》,《暦日2》,四／,きのえさる,おさん,水,十方くれニ入,●
《3330》,《暦日0》,五／,きのとのとり,ひらく,,　,十し
《3340》,《暦日2》,六／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3350》,《暦日0》,七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3360》,《暦日2》,八／,つちのえね,たつ,火,十一月せつむまの二刻ニ入,くゑ日
《3370》,《暦日0》,九／,つちのとのうし,のそく,,　, つめとりよし
《3380》,《暦日2》,十／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3390》,《暦日0》,十一／,かのとのう,たいら,,　,●
《3400》,《暦日2》,十二／,みつのえたつ,さたん,水,　,大みやう 五む日  木こりよし
《3410》,《暦日0》,十三／,みつのとのみ,とる,,天一天上,十し
《3420》,《暦日2》,十四／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3430》,《暦日0》,十五／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3440》,《暦日2》,十六／,ひのえさる,なる,火,　
《3450》,《暦日0》,十七／,ひのとのとり,おさん,,　,神よし 大くわ ふく日
《3460》,《暦日2》,十八／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3470》,《暦日0》,十九／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3480》,《暦日2》,廿／,かのえね,たつ,土,　, 井ほりよし
《3490》,《暦日0》,廿一／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3500》,《暦日2》,廿二／,みつのえとら,みつ,金,　,大みやう きこ  つめとりよし
《3510》,《暦日0》,廿三／,みつのとのう,たいら,,冬至十一月中さるの七刻,●
《3520》,《暦日2》,廿四／,きのえたつ,さたん,火,　,大みやう
《3530》,《暦日0》,廿五／,きのとのみ,とる,,　,十し
《3540》,《暦日2》,廿六／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3550》,《暦日0》,廿七／,ひのとのひつし,あやふ,,　,ふく日 わうまう  いちたちよし
《3560》,《暦日2》,廿八／,つちのえさる,なる,土,　, 入学よし
《3570》,《暦日0》,廿九／,つちのとのとり,おさん,,　,神よし 大みやう 大くわ  やたてよし
《3580》,《月序》,十二月,小,建,癸丑,柳宿　參　水よう
《3590》,《暦日2》,一／,かのえいぬ,ひらく,金,　,大みやう  たねまきよし
《3600》,《暦日0》,二／,かのとのい,とつ,,　,神よし 大みやう ちう日
《3610》,《暦日2》,三／,みつのえね,たつ,木,八せんのはしめ,きしく くゑ日
《3620》,《暦日0》,四／,みつのとのうし,のそく,,ま日,神よし ふく日  木こり  つめとりよし
《3630》,《暦日2》,五／,きのえとら,みつ,水,　,きこ  つめとりよし
《3640》,《暦日0》,六／,きのとのう,たいら,,　,●
《3650》,《暦日2》,七／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3660》,《暦日0》,八／,ひのとのみ,とる,,　,十し
《3670》,《暦日2》,九／,つちのえむま,とる,火,小かん十二月せついの四刻ニ入/ま日,神よし ふく日  ふねのりよし
《3680》,《暦日0》,十／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《3690》,《暦日2》,十一／,かのえさる,あやふ,木,　,神よし 大みやう  みそさけつくりよし
《3700》,《暦日0》,十二／,かのとのとり,なる,,　,●
《3710》,《暦日2》,十三／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《3720》,《暦日0》,十四／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《3730》,《暦日2》,十五／,きのえね,とつ,金,　,天しや よろつよし
《3740》,《暦日0》,十六／,きのとのうし,たつ,,　,十し
《3750》,《暦日2》,十七／,ひのえとら,のそく,火,　, けんふく  つめとりよし
《3760》,《暦日0》,十八／,ひのとのう,みつ,,　,神よし
《3770》,《暦日2》,十九／,つちのえたつ,たいら,木,　,五む日 大くわ ふく日 地火
《3780》,《暦日0》,廿／,つちのとのみ,さたん,,　,ちう日 ふく日
《3790》,《暦日2》,廿一／,かのえむま,とる,土,　,神よし  すゝはらひよし
《3800》,《暦日0》,廿二／,かのとのひつし,やふる,,とよううしの四刻ニ入,大みやう  かといてよし
《3810》,《暦日2》,廿三／,みつのえさる,あやふ,金,　,神よし 大みやう
《3820》,《暦日0》,廿四／,みつのとのとり,なる,,　,●
《3830》,《暦日2》,廿五／,きのえいぬ,おさん,火,大かん十二月中とらの一刻,めつもん  わたましよし
《3840》,《暦日0》,廿六／,きのとのい,ひらく,,　,ちう日  いちたちよし
《3850》,《暦日2》,廿七／,ひのえね,とつ,水,　,きこ ちいみ
《3860》,《暦日0》,廿八／,ひのとのうし,たつ,,　,十し
《3870》,《暦日1》,廿九／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3880》,《暦末》,正徳元年出,立表測景定節氣者
