«1693-0000»,【 カンマ区切りテキスト形式です。】
«1693-0670»,«暦日0»,十五〳,つちのとのうし,ひらく,,　, 井ほり  つめとりよし
«1693-0680»,«暦日2»,十六〳,かのえとら,とつ,木,春分二月中とらの五刻,きこ  つめとりよし
«1693-0690»,«暦日0»,十七〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1693-0700»,«暦日2»,十八〳,みつのえたつ,のそく,水,ひかんニなる,●
«1693-0710»,«暦日0»,十九〳,みつのとのみ,みつ,,天一天上,十し
«1693-0720»,«暦日2»,廿〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1693-0730»,«暦日0»,廿一〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1693-0740»,«暦日2»,廿二〳,ひのえさる,とる,火,　,神よし
«1693-0750»,«暦日0»,廿三〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1693-0760»,«暦日2»,廿四〳,つちのえいぬ,あやふ,木,　, かといてよし
«1693-0770»,«暦日0»,廿五〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1693-0780»,«暦日2»,廿六〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1693-0790»,«暦日0»,廿七〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1693-0800»,«暦日2»,廿八〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1693-0810»,«暦日0»,廿九〳,みつのとのう,たつ,,　,天火 らうしやく
«1693-0820»,«暦日1»,卅〳,きのえたつ,のそく,火,　,●
«1693-0830»,«月序»,三月,小,建,丙辰,虛宿　危　月よう
«1693-0840»,«暦日1»,一〳,きのとのみ,のそく,火,三月せつみの一刻ニ入,神よし 大みやう ちう日  ふねのりよし
«1693-0850»,«暦日2»,二〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1693-0860»,«暦日0»,三〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1693-0870»,«暦日2»,四〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1693-0880»,«暦日0»,五〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1693-0890»,«暦日2»,六〳,かのえいぬ,やふる,金,　,大みやう
«1693-0900»,«暦日0»,七〳,かのとのい,あやふ,,　,●
«1693-0910»,«暦日2»,八〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1693-0920»,«暦日0»,九〳,みつのとのうし,おさん,,ま日,十し
«1693-0930»,«暦日2»,十〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1693-0940»,«暦日0»,十一〳,きのとのう,とつ,,　,神よし  ものたちよし
«1693-0950»,«暦日2»,十二〳,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
«1693-0960»,«暦日0»,十三〳,ひのとのみ,のそく,,とようひつしの二刻ニ入,ちう日  いちたちよし
«1693-0970»,«暦日2»,十四〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1693-0980»,«暦日0»,十五〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1693-0990»,«暦日2»,十六〳,かのえさる,さたん,木,三月中ひつしの七刻,大みやう くゑ日
«1693-1000»,«暦日0»,十七〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1693-1010»,«暦日2»,十八〳,みつのえいぬ,やふる,水,ま日
«1693-1020»,«暦日0»,十九〳,みつのとのい,あやふ,,八せんのおはり,●
«1693-1030»,«暦日2»,廿〳,きのえね,なる,金,　,くゑ日 きこ
«1693-1040»,«暦日0»,廿一〳,きのとのうし,おさん,,　,十し
«1693-1050»,«暦日2»,廿二〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1693-1060»,«暦日0»,廿三〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1693-1070»,«暦日2»,廿四〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
«1693-1080»,«暦日0»,廿五〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1693-1090»,«暦日2»,廿六〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1693-1100»,«暦日0»,廿七〳,かのとのひつし,たいら,,八十八や,大みやう めつもん 地火
«1693-1110»,«暦日2»,廿八〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1693-1120»,«暦日0»,廿九〳,みつのとのとり,とる,,　,神よし 大みやう
«1693-1130»,«月序»,四月,大,建,丁巳,危宿　室　火よう
«1693-1140»,«暦日2»,一〳,きのえいぬ,やふる,火,　, くさかりよし
«1693-1150»,«暦日0»,二〳,きのとのい,やふる,,立夏四月せついぬの三刻ニ入,ちう日
«1693-1160»,«暦日2»,三〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
