《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2950》,《暦日0》,十／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《2960》,《暦日2》,十一／,きのえさる,ひらく,水,十方くれニ入,きしく 大みやう
《2970》,《暦日0》,十二／,きのとのとり,とつ,,　,神よし  田かりよし
《2980》,《暦日2》,十三／,ひのえいぬ,たつ,土,　,さい下しき 母倉 月とく 五む日  竹木こりよし
《2990》,《暦日0》,十四／,ひのとのい,のそく,,　,大みやう ちう日
《3000》,《暦日2》,十五／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3010》,《暦日0》,十六／,つちのとのうし,たいら,,　,十し
《3020》,《暦日2》,十七／,かのえとら,さたん,木,　,●
《3030》,《暦日0》,十八／,かのとのう,とる,,　,くゑ日 わうまう
《3040》,《暦日2》,十九／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3050》,《暦日0》,廿／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3060》,《暦日2》,廿一／,きのえむま,なる,金,　,くゑ日
《3070》,《暦日0》,廿二／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3080》,《節中》,立冬十月せつとりの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3090》,《暦日2》,廿三／,ひのえさる,おさん,火,　,●
《3100》,《暦日0》,廿四／,ひのとのとり,ひらく,,　,十し
《3110》,《暦日2》,廿五／,つちのえいぬ,とつ,木,　,くゑ日
《3120》,《暦日0》,廿六／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3130》,《暦日2》,廿七／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3140》,《暦日0》,廿八／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3150》,《暦日1》,廿九／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3160》,《月序》,十月,大,建,丁亥,壁宿　壁　水よう
《3170》,《暦日1》,一／,みつのとのう,さたん,金,　,神よし 天火 らうしやく
《3180》,《暦日2》,二／,きのえたつ,とる,火,　,大みやう 月とく わうまう  やたて かとたてよし
《3190》,《暦日0》,三／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3200》,《暦日2》,四／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3210》,《暦日0》,五／,ひのとのひつし,なる,,　, 木こりよし
《3220》,《暦日2》,六／,つちのえさる,おさん,土,　,●
《3230》,《暦日0》,七／,つちのとのとり,ひらく,,　,十し
《3240》,《暦日1》,八／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3250》,《節中》,小雪十月中今夜ねの四刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3260》,《暦日1》,九／,かのとのい,たつ,金,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3270》,《暦日2》,十／,みつのえね,のそく,木,八せんのはしめ,きしく くゑ日 ふく日
《3280》,《暦日0》,十一／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3290》,《暦日2》,十二／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3300》,《暦日0》,十三／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3310》,《暦日2》,十四／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3320》,《暦日0》,十五／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3330》,《暦日2》,十六／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3340》,《暦日0》,十七／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3350》,《暦日2》,十八／,かのえさる,おさん,木,　,●
《3360》,《暦日0》,十九／,かのとのとり,ひらく,,　,十し
《3370》,《暦日2》,廿／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3380》,《暦日0》,廿一／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3390》,《暦日2》,廿二／,きのえね,のそく,金,　,天しや よろつよし
《3400》,《暦日0》,廿三／,きのとのうし,みつ,,　,くゑ日 きこ
《3410》,《暦日1》,廿四／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3420》,《節中》,大雪十一月せつうの一刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3430》,《暦日1》,廿五／,ひのとのう,たいら,火,　,●
《3440》,《暦日2》,廿六／,つちのえたつ,さたん,木,　,天おん 五む日
《3450》,《暦日0》,廿七／,つちのとのみ,とる,,　,十し
《3460》,《暦日2》,廿八／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3470》,《暦日0》,廿九／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3480》,《暦日1》,卅／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3490》,《月序》,十一月,小,建,戊子,奎宿　婁　金よう
《3500》,《暦日1》,一／,みつのとのとり,おさん,金,　,神よし 大みやう 母倉 大くわ ふく日
《3510》,《暦日2》,二／,きのえいぬ,ひらく,火,　
《3520》,《暦日0》,三／,きのとのい,とつ,,　,ちう日
《3530》,《暦日2》,四／,ひのえね,たつ,水,　, 木こりよし
《3540》,《暦日0》,五／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3550》,《暦日2》,六／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3560》,《暦日0》,七／,つちのとのう,たいら,,　,●
《3570》,《暦日2》,八／,かのえたつ,さたん,金,　,きしく 天おん  たねまきよし
《3580》,《暦日0》,九／,かのとのみ,とる,,　,十し
《3590》,《節中》,冬至十一月中みの六刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3600》,《暦日2》,十／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3610》,《暦日0》,十一／,みつのとのひつし,あやふ,,　,天おん ふく日
《3620》,《暦日2》,十二／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3630》,《暦日0》,十三／,きのとのとり,おさん,,　,母倉 大くわ わうまう  ものたちよし
《3640》,《暦日2》,十四／,ひのえいぬ,ひらく,土,　,さい下しき 五む日
《3650》,《暦日0》,十五／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3660》,《暦日2》,十六／,つちのえね,たつ,火,　,くゑ日
《3670》,《暦日0》,十七／,つちのとのうし,のそく,,　, つめとりよし
《3680》,《暦日2》,十八／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3690》,《暦日0》,十九／,かのとのう,たいら,,　,●
《3700》,《暦日2》,廿／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3710》,《暦日0》,廿一／,みつのとのみ,とる,,天一天上,十し
《3720》,《暦日2》,廿二／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3730》,《暦日0》,廿三／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3740》,《暦日1》,廿四／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《3750》,《節中》,小寒十二月せつさるの三刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3760》,《暦日1》,廿五／,ひのとのとり,なる,火,　,●
《3770》,《暦日2》,廿六／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《3780》,《暦日0》,廿七／,つちのとのい,ひらく,,　,ちう日 ふく日
《3790》,《暦日2》,廿八／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《3800》,《暦日0》,廿九／,かのとのうし,たつ,,　,十し
《3810》,《月序》,十二月,小,建,己丑,婁宿　胃　土よう
《3820》,《暦日2》,一／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《3830》,《暦日0》,二／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《3840》,《暦日2》,三／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《3850》,《暦日0》,四／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《3860》,《暦日2》,五／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《3870》,《暦日0》,六／,ひのとのひつし,やふる,,　,くゑ日
《3880》,《暦日2》,七／,つちのえさる,あやふ,土,とよういぬの四刻ニ入,神よし きしく ふく日  みそさけつくりよし
《3890》,《暦日0》,八／,つちのとのとり,なる,,　,●
《3900》,《暦日2》,九／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《3910》,《暦日0》,十／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《3920》,《節中》,大寒十二月中いぬの八刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3930》,《暦日2》,十一／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《3940》,《暦日0》,十二／,みつのとのうし,たつ,,ま日,十し
《3950》,《暦日2》,十三／,きのえとら,のそく,水,　, 木こり  つめとりよし
《3960》,《暦日0》,十四／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《3970》,《暦日2》,十五／,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
《3980》,《暦日0》,十六／,ひのとのみ,さたん,,　,母倉 ちう日
《3990》,《暦日2》,十七／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《4000》,《暦日0》,十八／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《4010》,《暦日2》,十九／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4020》,《暦日0》,廿／,かのとのとり,なる,,　,●
《4030》,《暦日2》,廿一／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4040》,《暦日0》,廿二／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4050》,《暦日2》,廿三／,きのえね,とつ,金,　,天しや よろつよし
《4060》,《暦日0》,廿四／,きのとのうし,たつ,,　,十し
《4070》,《暦日2》,廿五／,ひのえとら,のそく,火,せつふん,天おん  けんふく  つめとりよし
《4080》,《暦日0》,廿六／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《4090》,《節中》,立春正月せつ今暁うしの五刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4100》,《暦日2》,廿七／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《4110》,《暦日0》,廿八／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《4120》,《暦日1》,廿九／,かのえむま,さたん,土,　,神よし ふく日
《4130》,《暦末》,明和元年出,立表測景定節氣者
