《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0700》,《暦日2》,十五／,かのえさる,とる,木,　,神よし 大みやう
《0710》,《暦日0》,十六／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0720》,《暦日1》,十七／,みつのえいぬ,やふる,水,ま日,月とく
《0730》,《節中》,清明三月せつとりの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0740》,《暦日1》,十八／,みつのとのい,あやふ,水,八せんのおはり,●
《0750》,《暦日2》,十九／,きのえね,なる,金,　,くゑ日 きこ
《0760》,《暦日0》,廿／,きのとのうし,おさん,,　,十し
《0770》,《暦日2》,廿一／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《0780》,《暦日0》,廿二／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《0790》,《暦日2》,廿三／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《0800》,《暦日0》,廿四／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0810》,《暦日2》,廿五／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0820》,《暦日0》,廿六／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0830》,《暦日2》,廿七／,みつのえさる,さたん,金,　,大みやう くゑ日
《0840》,《暦日0》,廿八／,みつのとのとり,とる,,　,神よし 大みやう
《0850》,《暦日2》,廿九／,きのえいぬ,やふる,火,とよういの二刻ニ入, くさかりよし
《0860》,《暦日0》,卅／,きのとのい,あやふ,,　,●
《0870》,《月序》,三月,大,建,庚辰,箕宿　氐　土よう
《0880》,《暦日2》,一／,ひのえね,なる,水,　,きこ
《0890》,《暦日0》,二／,ひのとのうし,おさん,,　,十し
《0900》,《節中》,穀雨三月中いの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《0910》,《暦日2》,三／,つちのえとら,ひらく,土,　,天しや よろつよし
《0920》,《暦日0》,四／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0930》,《暦日2》,五／,かのえたつ,たつ,金,　,くゑ日
《0940》,《暦日0》,六／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0950》,《暦日2》,七／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0960》,《暦日0》,八／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0970》,《暦日2》,九／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0980》,《暦日0》,十／,きのとのとり,とる,,　,神よし  くさかりよし
《0990》,《暦日2》,十一／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《1000》,《暦日0》,十二／,ひのとのい,あやふ,,　,●
《1010》,《暦日2》,十三／,つちのえね,なる,火,八十八や,母倉 きこ ふく日
《1020》,《暦日0》,十四／,つちのとのうし,おさん,,　,十し
《1030》,《暦日2》,十五／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1040》,《暦日0》,十六／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1050》,《暦日2》,十七／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1060》,《暦日0》,十八／,みつのとのみ,たつ,,天一天上,●
《1070》,《節中》,立夏四月せつ今暁とらの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1080》,《暦日2》,十九／,きのえむま,のそく,金,　,天しや よろつよし
《1090》,《暦日0》,廿／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1100》,《暦日2》,廿一／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1110》,《暦日0》,廿二／,ひのとのとり,さたん,,　,十し
《1120》,《暦日2》,廿三／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1130》,《暦日0》,廿四／,つちのとのい,やふる,,　,くゑ日 ちう日
《1140》,《暦日2》,廿五／,かのえね,あやふ,土,　,月とく わうまう  わたまし たねまきよし
《1150》,《暦日0》,廿六／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1160》,《暦日2》,廿七／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1170》,《暦日0》,廿八／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1180》,《暦日2》,廿九／,きのえたつ,とつ,火,　,大みやう
《1190》,《暦日0》,卅／,きのとのみ,たつ,,　,●
《1200》,《月序》,四月,小,建,辛巳,斗宿　心　月よう
《1210》,《暦日2》,一／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1220》,《暦日0》,二／,ひのとのひつし,みつ,,　,くゑ日
《1230》,《暦日1》,三／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1240》,《節中》,小満四月中みの初刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1250》,《暦日1》,四／,つちのとのとり,さたん,土,　,十し
《1260》,《暦日2》,五／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1270》,《暦日0》,六／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1280》,《暦日2》,七／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1290》,《暦日0》,八／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1300》,《暦日2》,九／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1310》,《暦日0》,十／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1320》,《暦日2》,十一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1330》,《暦日0》,十二／,ひのとのみ,たつ,,　,●
《1340》,《暦日2》,十三／,つちのえむま,のそく,火,ま日,くゑ日
《1350》,《暦日0》,十四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1360》,《暦日2》,十五／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1370》,《暦日0》,十六／,かのとのとり,さたん,,　,十し
《1380》,《暦日2》,十七／,みつのえいぬ,とる,水,ま日,ふく日
《1390》,《暦日0》,十八／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1400》,《節中》,芒種五月せつひつしの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1410》,《暦日2》,十九／,きのえね,やふる,金,　,●
《1420》,《暦日0》,廿／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1430》,《暦日2》,廿一／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1440》,《暦日0》,廿二／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1450》,《暦日2》,廿三／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1460》,《暦日0》,廿四／,つちのとのみ,とつ,,　,十し
《1470》,《暦日2》,廿五／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1480》,《暦日0》,廿六／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1490》,《暦日2》,廿七／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1500》,《暦日0》,廿八／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1510》,《暦日1》,廿九／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1520》,《月序》,五月,大,建,壬午,牛宿　尾　火よう
《1530》,《暦日1》,一／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1540》,《暦日2》,二／,ひのえね,やふる,水,　,●
《1550》,《暦日0》,三／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1560》,《暦日1》,四／,つちのえとら,なる,土,　,母倉 きこ わうまう  みそすつくり  つめとりよし
《1570》,《節中》,夏至五月中いぬの二刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1580》,《暦日1》,五／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1590》,《暦日2》,六／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1600》,《暦日0》,七／,かのとのみ,とつ,,　,十し
《1610》,《暦日2》,八／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1620》,《暦日0》,九／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1630》,《暦日2》,十／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1640》,《暦日0》,十一／,きのとのとり,たいら,,　,神よし めつもん 地火
《1650》,《暦日2》,十二／,ひのえいぬ,さたん,土,　,さい下しき 月とく 五む日  むきかりよし
《1660》,《暦日0》,十三／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1670》,《暦日2》,十四／,つちのえね,やふる,火,はんけしやう,●
《1680》,《暦日0》,十五／,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
《1690》,《暦日2》,十六／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1700》,《暦日0》,十七／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1710》,《暦日2》,十八／,みつのえたつ,ひらく,水,　,きしく 大みやう 五む日
《1720》,《暦日0》,十九／,みつのとのみ,とつ,,天一天上,十し
《1730》,《暦日1》,廿／,きのえむま,とつ,金,　,●
《1740》,《節中》,小暑六月せつ今暁ねの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1750》,《暦日1》,廿一／,きのとのひつし,たつ,金,　,大みやう 五む日
《1760》,《暦日2》,廿二／,ひのえさる,のそく,火,　,神よし
《1770》,《暦日0》,廿三／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1780》,《暦日2》,廿四／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1790》,《暦日0》,廿五／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1800》,《暦日2》,廿六／,かのえね,とる,土,初伏,きこ 下しきたつの時
《1810》,《暦日0》,廿七／,かのとのうし,やふる,,　,十し
