«1724-0000»,【 カンマ区切りテキスト形式です。】
«1724-0670»,«暦日2»,十五〳,かのえさる,とる,木,　,神よし きしく 大みやう
«1724-0680»,«暦日0»,十六〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1724-0690»,«暦日2»,十七〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1724-0700»,«暦日0»,十八〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1724-0710»,«暦日2»,十九〳,きのえね,おさん,金,　,めつもん
«1724-0720»,«暦日0»,廿〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1724-0730»,«暦日2»,廿一〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1724-0740»,«暦日0»,廿二〳,ひのとのう,たつ,,　,天火 らうしやく
«1724-0750»,«暦日2»,廿三〳,つちのえたつ,のそく,木,社日,●
«1724-0760»,«暦日0»,廿四〳,つちのとのみ,みつ,,　,十し
«1724-0770»,«暦日2»,廿五〳,かのえむま,たいら,土,　,大くわ 地火 わうまう
«1724-0780»,«暦日0»,廿六〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1724-0790»,«暦日2»,廿七〳,みつのえさる,とる,金,春分二月中さるの四刻,神よし 大みやう  入学よし
«1724-0800»,«暦日0»,廿八〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1724-0810»,«暦日1»,廿九〳,きのえいぬ,あやふ,火,ひかんニなる, かといてよし
«1724-0820»,«月序»,三月,小,建,戊辰,畢宿　女　土よう
«1724-0830»,«暦日1»,一〳,きのとのい,なる,火,　,ちう日 ふく日  みそすつくりよし
«1724-0840»,«暦日2»,二〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1724-0850»,«暦日0»,三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1724-0860»,«暦日2»,四〳,つちのえとら,とつ,土,　,天しや よろつよし
«1724-0870»,«暦日0»,五〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1724-0880»,«暦日2»,六〳,かのえたつ,のそく,金,　,●
«1724-0890»,«暦日0»,七〳,かのとのみ,みつ,,　,十し
«1724-0900»,«暦日2»,八〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1724-0910»,«暦日0»,九〳,みつのとのひつし,さたん,,　,ちいみ
«1724-0920»,«暦日2»,十〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1724-0930»,«暦日0»,十一〳,きのとのとり,やふる,,　,ふく日
«1724-0940»,«暦日2»,十二〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1724-0950»,«暦日0»,十三〳,ひのとのい,あやふ,,三月せついの一刻ニ入,●
«1724-0960»,«暦日2»,十四〳,つちのえね,なる,火,　,きしく きこ ふく日
«1724-0970»,«暦日0»,十五〳,つちのとのうし,おさん,,　,十し
«1724-0980»,«暦日2»,十六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1724-0990»,«暦日0»,十七〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1724-1000»,«暦日2»,十八〳,みつのえたつ,たつ,水,　,大みやう 五む日
«1724-1010»,«暦日0»,十九〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1724-1020»,«暦日2»,廿〳,きのえむま,みつ,金,　,神よし 天火 らうしやく  ふねのりよし
«1724-1030»,«暦日0»,廿一〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1724-1040»,«暦日2»,廿二〳,ひのえさる,さたん,火,　,くゑ日
«1724-1050»,«暦日0»,廿三〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1724-1060»,«暦日2»,廿四〳,つちのえいぬ,やふる,木,　,ふく日
«1724-1070»,«暦日0»,廿五〳,つちのとのい,あやふ,,　,●
«1724-1080»,«暦日2»,廿六〳,かのえね,なる,土,とよううしの一刻ニ入,神よし きこ
«1724-1090»,«暦日0»,廿七〳,かのとのうし,おさん,,　,十し
«1724-1100»,«暦日2»,廿八〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1724-1110»,«暦日0»,廿九〳,みつのとのう,とつ,,三月中うしの六刻,神よし  けんふく かといてよし
«1724-1120»,«月序»,四月,大,建,己巳,觜宿　虛　日よう
«1724-1130»,«暦日2»,一〳,きのえたつ,たつ,火,　,大みやう くゑ日
