«1817-0000»,【 カンマ区切りテキスト形式です。】
«1817-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1817-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1817-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1817-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1817-0050»,【 外部リンク　】
«1817-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56】
«1817-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1817h　(翻刻編集終了データを表成型して表示します)】
«1817-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1817ht (翻刻編集中データを表成型して表示します)】
«1817-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1817-0100»,«版元»,出版地○○,出版元□□□,　
«1817-0640»,«暦日0»,九〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1817-0650»,«暦日2»,十〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1817-0660»,«暦日0»,十一〳,きのとのとり,やふる,,　,ふく日
«1817-0670»,«暦日2»,十二〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1817-0680»,«暦日0»,十三〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1817-0690»,«暦日2»,十四〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1817-0700»,«暦日0»,十五〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1817-0710»,«暦日2»,十六〳,かのえとら,とつ,木,　,さい下しき きこ  つめとりよし
«1817-0720»,«暦日0»,十七〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1817-0730»,«暦日2»,十八〳,みつのえたつ,のそく,水,　,●
«1817-0740»,«暦日0»,十九〳,みつのとのみ,みつ,,天一天上,十し
«1817-0750»,«暦日2»,廿〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1817-0760»,«暦日0»,廿一〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1817-0770»,«節中»,清明三月せつむまの二刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1817-0780»,«暦日2»,廿二〳,ひのえさる,さたん,火,　,くゑ日
«1817-0790»,«暦日0»,廿三〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1817-0800»,«暦日2»,廿四〳,つちのえいぬ,やふる,木,　,ふく日
«1817-0810»,«暦日0»,廿五〳,つちのとのい,あやふ,,　,●
«1817-0820»,«暦日2»,廿六〳,かのえね,なる,土,　,神よし きこ
«1817-0830»,«暦日0»,廿七〳,かのとのうし,おさん,,　,十し
«1817-0840»,«暦日2»,廿八〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1817-0850»,«暦日0»,廿九〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1817-0860»,«月序»,三月,大,建,甲辰,奎宿　箕　水よう
«1817-0870»,«暦日2»,一〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1817-0880»,«暦日0»,二〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1817-0890»,«暦日2»,三〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1817-0900»,«暦日0»,四〳,ひのとのひつし,たいら,,とようさるの三刻ニ入,神よし 月とく めつもん 地火
«1817-0910»,«暦日2»,五〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1817-0920»,«暦日0»,六〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1817-0930»,«暦日1»,七〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1817-0940»,«節中»,穀雨三月中さるの八刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1817-0950»,«暦日1»,八〳,かのとのい,あやふ,金,　,●
«1817-0960»,«暦日2»,九〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1817-0970»,«暦日0»,十〳,みつのとのうし,おさん,,ま日,十し
«1817-0980»,«暦日2»,十一〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1817-0990»,«暦日0»,十二〳,きのとのう,とつ,,　,わうまう  ものたちよし
«1817-1000»,«暦日2»,十三〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
«1817-1010»,«暦日0»,十四〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1817-1020»,«暦日2»,十五〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1817-1030»,«暦日0»,十六〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1817-1040»,«暦日2»,十七〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1817-1050»,«暦日0»,十八〳,かのとのとり,とる,,八十八や,神よし 大みやう  井ほりよし
«1817-1060»,«暦日2»,十九〳,みつのえいぬ,やふる,水,ま日,月とく
«1817-1070»,«暦日0»,廿〳,みつのとのい,あやふ,,八せんのおはり,●
«1817-1080»,«暦日2»,廿一〳,きのえね,なる,金,　,くゑ日 きこ
«1817-1090»,«暦日0»,廿二〳,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
