《1766-0000》,# カンマ区切りテキスト形式です。
《1766-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1766-0020》,# ・表の区画内での改行は“/”で表記します。
《1766-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1766-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1766-0050》,# 外部リンク
《1766-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/101 ～ 105
《1766-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1766g　(GitHub上データを表成型)
《1766-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1766h　(翻刻編集データを表成型 - 未実装)
《1766-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1766-0100》,《版元》,出版地○○,出版元□□□,　
《1766-0660》,《暦日0》,十一／,かのとのい,なる,,　,さい下しき 神よし 大みやう 天おん 母倉 ちう日 ふく日
《1766-0670》,《暦日1》,十二／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1766-0680》,《節中》,春分二月中とりの四刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1766-0690》,《暦日1》,十三／,みつのとのうし,ひらく,木,ま日,天おん  つめとりよし
《1766-0700》,《暦日2》,十四／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1766-0710》,《暦日0》,十五／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1766-0720》,《暦日2》,十六／,ひのえたつ,のそく,土,ま日,●
《1766-0730》,《暦日0》,十七／,ひのとのみ,みつ,,　,十し
《1766-0740》,《暦日2》,十八／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《1766-0750》,《暦日0》,十九／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1766-0760》,《暦日2》,廿／,かのえさる,とる,木,　,神よし 大みやう
《1766-0770》,《暦日0》,廿一／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1766-0780》,《暦日2》,廿二／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1766-0790》,《暦日0》,廿三／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1766-0800》,《暦日2》,廿四／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1766-0810》,《暦日0》,廿五／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1766-0820》,《暦日2》,廿六／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1766-0830》,《暦日0》,廿七／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1766-0840》,《節中》,清明三月せつ今夜ねの初刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1766-0850》,《暦日2》,廿八／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1766-0860》,《暦日0》,廿九／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1766-0870》,《月序》,三月,大,建,壬辰,畢宿　參　水よう
《1766-0880》,《暦日2》,一／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1766-0890》,《暦日0》,二／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1766-0900》,《暦日2》,三／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1766-0910》,《暦日0》,四／,みつのとのとり,とる,,　,神よし 大みやう
《1766-0920》,《暦日2》,五／,きのえいぬ,やふる,火,　, くさかりよし
《1766-0930》,《暦日0》,六／,きのとのい,あやふ,,　,●
《1766-0940》,《暦日2》,七／,ひのえね,なる,水,　,きこ
《1766-0950》,《暦日0》,八／,ひのとのうし,おさん,,　,十し
《1766-0960》,《暦日2》,九／,つちのえとら,ひらく,土,　,天しや よろつよし
