《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2960》,《暦日2》,十四／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2970》,《暦日0》,十五／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2980》,《暦日2》,十六／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2990》,《暦日0》,十七／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《3000》,《暦日2》,十八／,つちのえね,たいら,火,　,きしく 大くわ 地火
《3010》,《暦日0》,十九／,つちのとのうし,たいら,,　,十し
《3020》,《節中》,寒露九月せつたつの六刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《3030》,《暦日2》,廿／,かのえとら,さたん,木,　,●
《3040》,《暦日0》,廿一／,かのとのう,とる,,　,くゑ日
《3050》,《暦日2》,廿二／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《3060》,《暦日0》,廿三／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《3070》,《暦日2》,廿四／,きのえむま,なる,金,　,くゑ日
《3080》,《暦日0》,廿五／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《3090》,《暦日2》,廿六／,ひのえさる,ひらく,火,　,くゑ日
《3100》,《暦日0》,廿七／,ひのとのとり,とつ,,　,くゑ日
《3110》,《暦日2》,廿八／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《3120》,《暦日0》,廿九／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《3130》,《月序》,九月,大,建,戊戌,牛宿　箕　水よう
《3140》,《暦日2》,一／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《3150》,《暦日0》,二／,かのとのうし,たいら,,とようむまの七刻ニ入,十し
《3160》,《暦日2》,三／,みつのえとら,さたん,金,　,●
《3170》,《暦日0》,四／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3180》,《暦日1》,五／,きのえたつ,やふる,火,　,大みやう
《3190》,《節中》,霜降九月中ひつしの三刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3200》,《暦日1》,六／,きのとのみ,あやふ,火,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3210》,《暦日2》,七／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3220》,《暦日0》,八／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3230》,《暦日2》,九／,つちのえさる,ひらく,土,　,天しや よろつよし
《3240》,《暦日0》,十／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3250》,《暦日2》,十一／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3260》,《暦日0》,十二／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3270》,《暦日2》,十三／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3280》,《暦日0》,十四／,みつのとのうし,たいら,,ま日,十し
《3290》,《暦日2》,十五／,きのえとら,さたん,水,　,●
《3300》,《暦日0》,十六／,きのとのう,とる,,　,わうまう  かまぬり ものたちよし
《3310》,《暦日2》,十七／,ひのえたつ,やふる,土,ま日,きしく 大みやう 母倉 月とく  かとたてよし
《3320》,《暦日0》,十八／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3330》,《暦日2》,十九／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3340》,《暦日0》,廿／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《3350》,《節中》,立冬十月せつとりの八刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3360》,《暦日2》,廿一／,かのえさる,おさん,木,　,●
《3370》,《暦日0》,廿二／,かのとのとり,ひらく,,　,十し
《3380》,《暦日2》,廿三／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3390》,《暦日0》,廿四／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3400》,《暦日2》,廿五／,きのえね,のそく,金,　,天しや よろつよし
《3410》,《暦日0》,廿六／,きのとのうし,みつ,,　,くゑ日 きこ
《3420》,《暦日2》,廿七／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3430》,《暦日0》,廿八／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3440》,《暦日2》,廿九／,つちのえたつ,とる,木,　,天おん 五む日 わうまう  ふねのりよし
《3450》,《暦日0》,卅／,つちのとのみ,やふる,,　,くゑ日 ちう日
《3460》,《月序》,十月,小,建,己亥,女宿　牛　金よう
《3470》,《暦日2》,一／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3480》,《暦日0》,二／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3490》,《暦日2》,三／,みつのえさる,おさん,金,　,●
《3500》,《暦日0》,四／,みつのとのとり,ひらく,,　,十し
《3510》,《暦日2》,五／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3520》,《暦日0》,六／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3530》,《節中》,小雪十月中今暁ねの五刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3540》,《暦日2》,七／,ひのえね,のそく,水,　,ふく日
《3550》,《暦日0》,八／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3560》,《暦日2》,九／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3570》,《暦日0》,十／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3580》,《暦日2》,十一／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3590》,《暦日0》,十二／,かのとのみ,やふる,,　,天おん ちう日
《3600》,《暦日2》,十三／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3610》,《暦日0》,十四／,みつのとのひつし,なる,,　,天おん
《3620》,《暦日2》,十五／,きのえさる,おさん,水,十方くれニ入,●
《3630》,《暦日0》,十六／,きのとのとり,ひらく,,　,十し
《3640》,《暦日2》,十七／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3650》,《暦日0》,十八／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3660》,《暦日2》,十九／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3670》,《暦日0》,廿／,つちのとのうし,みつ,,　,くゑ日 きこ
《3680》,《暦日1》,廿一／,かのえとら,みつ,木,　,さい下しき きこ  みそさけつくり  つめとりよし
《3690》,《節中》,大雪十一月せつうの二刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3700》,《暦日1》,廿二／,かのとのう,たいら,木,　,●
《3710》,《暦日2》,廿三／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3720》,《暦日0》,廿四／,みつのとのみ,とる,,天一天上,十し
《3730》,《暦日2》,廿五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3740》,《暦日0》,廿六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3750》,《暦日2》,廿七／,ひのえさる,なる,火,　,母倉
《3760》,《暦日0》,廿八／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3770》,《暦日1》,廿九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3780》,《月序》,十一月,大,建,庚子,虛宿　女　土よう
《3790》,《暦日1》,一／,つちのとのい,とつ,木,　,神よし ちう日  ふねのりよし
《3800》,《暦日2》,二／,かのえね,たつ,土,　, 井ほりよし
《3810》,《暦日0》,三／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《3820》,《暦日2》,四／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3830》,《暦日0》,五／,みつのとのう,たいら,,　,●
《3840》,《暦日2》,六／,きのえたつ,さたん,火,　,大みやう
《3850》,《暦日0》,七／,きのとのみ,とる,,　,十し
《3860》,《節中》,冬至十一月中みの七刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3870》,《暦日2》,八／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3880》,《暦日0》,九／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3890》,《暦日2》,十／,つちのえさる,なる,土,　,母倉  入学よし
《3900》,《暦日0》,十一／,つちのとのとり,おさん,,　,大みやう 天おん 母倉 大くわ わうまう  やたてよし
《3910》,《暦日2》,十二／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3920》,《暦日0》,十三／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3930》,《暦日2》,十四／,みつのえね,たつ,木,八せんのはしめ,きしく くゑ日
《3940》,《暦日0》,十五／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3950》,《暦日2》,十六／,きのえとら,みつ,水,　,きこ  つめとりよし
《3960》,《暦日0》,十七／,きのとのう,たいら,,　,●
《3970》,《暦日2》,十八／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3980》,《暦日0》,十九／,ひのとのみ,とる,,　,十し
《3990》,《暦日2》,廿／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《4000》,《暦日0》,廿一／,つちのとのひつし,あやふ,,　,神よし 大みやう
《4010》,《暦日1》,廿二／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《4020》,《節中》,小寒十二月せつさるの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4030》,《暦日1》,廿三／,かのとのとり,なる,木,　,●
《4040》,《暦日2》,廿四／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《4050》,《暦日0》,廿五／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《4060》,《暦日2》,廿六／,きのえね,とつ,金,　,天しや よろつよし
《4070》,《暦日0》,廿七／,きのとのうし,たつ,,　,十し
《4080》,《暦日2》,廿八／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《4090》,《暦日0》,廿九／,ひのとのう,みつ,,　,神よし 天おん
《4100》,《暦日1》,卅／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《4110》,《月序》,十二月,小,建,辛丑,危宿　危　月よう
《4120》,《暦日1》,一／,つちのとのみ,さたん,木,　,母倉 ちう日 ふく日
《4130》,《暦日2》,二／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《4140》,《暦日0》,三／,かのとのひつし,やふる,,　,大みやう  かといてよし
《4150》,《暦日2》,四／,みつのえさる,あやふ,金,とよういぬの五刻ニ入,神よし 大みやう
《4160》,《暦日0》,五／,みつのとのとり,なる,,　,●
《4170》,《暦日2》,六／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4180》,《暦日0》,七／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《4190》,《節中》,大寒十二月中いの一刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4200》,《暦日2》,八／,ひのえね,とつ,水,　,きこ ちいみ
《4210》,《暦日0》,九／,ひのとのうし,たつ,,　,十し
《4220》,《暦日2》,十／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《4230》,《暦日0》,十一／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《4240》,《暦日2》,十二／,かのえたつ,たいら,金,　,きしく 天おん 月とく 大くわ 地火  よめとりよし
《4250》,《暦日0》,十三／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《4260》,《暦日2》,十四／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4270》,《暦日0》,十五／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4280》,《暦日2》,十六／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4290》,《暦日0》,十七／,きのとのとり,なる,,　,●
《4300》,《暦日2》,十八／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4310》,《暦日0》,十九／,ひのとのい,ひらく,,　,大みやう ちう日
《4320》,《暦日2》,廿／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4330》,《暦日0》,廿一／,つちのとのうし,たつ,,　,十し
《4340》,《暦日2》,廿二／,かのえとら,のそく,木,せつふん,さい下しき 月とく  井ほり  つめとりよし
《4350》,《暦日0》,廿三／,かのとのう,のそく,,　,くゑ日
《4360》,《節中》,立春正月せつ今暁うしの六刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4370》,《暦日2》,廿四／,みつのえたつ,みつ,水,　,大みやう 五む日
《4380》,《暦日0》,廿五／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《4390》,《暦日2》,廿六／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《4400》,《暦日0》,廿七／,きのとのひつし,とる,,　,大みやう 五む日
《4410》,《暦日2》,廿八／,ひのえさる,やふる,火,　,神よし 月とく
《4420》,《暦日0》,廿九／,ひのとのとり,あやふ,,　,十し
《4430》,《暦末》,安永九年出,立表測景定節氣者
