《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日1》,十四／,ひのとのみ,みつ,土,　,十し
《0700》,《暦日2》,十五／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0710》,《暦日0》,十六／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0720》,《暦日2》,十七／,かのえさる,とる,木,　,神よし 大みやう
《0730》,《暦日0》,十八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0740》,《暦日2》,十九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0750》,《暦日0》,廿／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0760》,《暦日2》,廿一／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0770》,《暦日0》,廿二／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0780》,《暦日2》,廿三／,ひのえとら,とつ,火,ひかんニなる,天おん きこ  つめとりよし
《0790》,《暦日0》,廿四／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0800》,《暦日2》,廿五／,つちのえたつ,のそく,木,社日,●
《0810》,《暦日0》,廿六／,つちのとのみ,みつ,,　,十し
《0820》,《暦日2》,廿七／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0830》,《暦日0》,廿八／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0840》,《節中》,春分二月中むまの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0850》,《暦日2》,廿九／,みつのえさる,とる,金,　,神よし きしく 大みやう  入学よし
《0860》,《暦日0》,卅／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0870》,《月序》,三月,大,建,壬辰,氐宿　星　日よう
《0880》,《暦日2》,一／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0890》,《暦日0》,二／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0900》,《暦日2》,三／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0910》,《暦日0》,四／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0920》,《暦日2》,五／,つちのえとら,とつ,土,　,天しや よろつよし
《0930》,《暦日0》,六／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0940》,《暦日2》,七／,かのえたつ,のそく,金,　,●
《0950》,《暦日0》,八／,かのとのみ,みつ,,　,十し
《0960》,《暦日2》,九／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0970》,《暦日0》,十／,みつのとのひつし,さたん,,　,天おん ちいみ
《0980》,《暦日2》,十一／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0990》,《暦日0》,十二／,きのとのとり,やふる,,　,ふく日
《1000》,《暦日1》,十三／,ひのえいぬ,やふる,土,　,五む日
《1010》,《節中》,清明三月せつとりの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1020》,《暦日1》,十四／,ひのとのい,あやふ,土,　,●
《1030》,《暦日2》,十五／,つちのえね,なる,火,　,母倉 きこ ふく日
《1040》,《暦日0》,十六／,つちのとのうし,おさん,,　,十し
《1050》,《暦日2》,十七／,かのえとら,ひらく,木,　,さい下しき ちいみ  いちたち  つめとりよし
《1060》,《暦日0》,十八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1070》,《暦日2》,十九／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1080》,《暦日0》,廿／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1090》,《暦日2》,廿一／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1100》,《暦日0》,廿二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1110》,《暦日2》,廿三／,ひのえさる,さたん,火,　,くゑ日
《1120》,《暦日0》,廿四／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1130》,《暦日2》,廿五／,つちのえいぬ,やふる,木,とよういの三刻ニ入,ふく日
《1140》,《暦日0》,廿六／,つちのとのい,あやふ,,　,●
《1150》,《暦日2》,廿七／,かのえね,なる,土,　,神よし きしく きこ
《1160》,《暦日0》,廿八／,かのとのうし,おさん,,　,十し
《1170》,《節中》,穀雨三月中いの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1180》,《暦日2》,廿九／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1190》,《暦日0》,卅／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1200》,《月序》,四月,小,建,癸巳,房宿　翼　火よう
《1210》,《暦日2》,一／,きのえたつ,たつ,火,　,大みやう くゑ日
