《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/186 ～ 190
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1740g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1740h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2810》,《暦日1》,卅／,つちのえいぬ,のそく,木,社日,ちいみ  ふねのり 田かりよし
《2820》,《節中》,秋分八月中翌とらの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2830》,《月序》,八月,大,建,乙酉,觜宿　壁　水よう
《2840》,《暦日1》,一／,つちのとのい,みつ,木,　,神よし ちう日  いちたちよし
《2850》,《暦日2》,二／,かのえね,たいら,土,　,大くわ 地火 わうまう
《2860》,《暦日0》,三／,かのとのうし,さたん,,ひかんニなる,神よし 五む日 ふく日  ものたち  つめとりよし
《2870》,《暦日2》,四／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2880》,《暦日0》,五／,みつのとのう,やふる,,　, くらたて 田かりよし
《2890》,《暦日2》,六／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2900》,《暦日0》,七／,きのとのみ,なる,,　,十し
《2910》,《暦日2》,八／,ひのえむま,おさん,水,　,大みやう めつもん
《2920》,《暦日0》,九／,ひのとのひつし,ひらく,,　,●
《2930》,《暦日2》,十／,つちのえさる,とつ,土,　,天しや よろつよし
《2940》,《暦日0》,十一／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2950》,《暦日2》,十二／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2960》,《暦日0》,十三／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2970》,《暦日2》,十四／,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
《2980》,《暦日0》,十五／,みつのとのうし,さたん,,ま日,神よし  たねまき 竹木こり  つめとりよし
《2990》,《暦日1》,十六／,きのえとら,さたん,水,　,●
《3000》,《節中》,寒露九月せつたつの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《3010》,《暦日1》,十七／,きのとのう,とる,水,　,神よし  かまぬり ものたちよし
《3020》,《暦日2》,十八／,ひのえたつ,やふる,土,ま日,大みやう  かとたてよし
《3030》,《暦日0》,十九／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3040》,《暦日2》,廿／,つちのえむま,なる,火,ま日,神よし ふく日
《3050》,《暦日0》,廿一／,つちのとのひつし,おさん,,　,神よし 大みやう 大くわ ふく日  かといてよし
《3060》,《暦日2》,廿二／,かのえさる,ひらく,木,　,大みやう
《3070》,《暦日0》,廿三／,かのとのとり,とつ,,　,神よし 大みやう  いちたちよし
《3080》,《暦日2》,廿四／,みつのえいぬ,たつ,水,ま日, 田かりよし
《3090》,《暦日0》,廿五／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3100》,《暦日2》,廿六／,きのえね,みつ,金,　,きこ 天火 らうしやく
《3110》,《暦日0》,廿七／,きのとのうし,たいら,,　,十し
《3120》,《暦日2》,廿八／,ひのえとら,さたん,火,とようひつしの初刻ニ入,●
《3130》,《暦日0》,廿九／,ひのとのう,とる,,　,神よし  田かりよし
《3140》,《暦日1》,卅／,つちのえたつ,やふる,木,　,五む日 ふく日
《3150》,《月序》,九月,小,建,丙戌,參宿　婁　金よう
《3160》,《暦日1》,一／,つちのとのみ,あやふ,木,　,神よし ちいみ ちう日 ふく日 下しきひつしの時
《3170》,《節中》,霜降九月中ひつしの四刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3180》,《暦日2》,二／,かのえむま,なる,土,　,神よし  みそすつくりよし
《3190》,《暦日0》,三／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《3200》,《暦日2》,四／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3210》,《暦日0》,五／,みつのとのとり,とつ,,　,神よし 大みやう
《3220》,《暦日2》,六／,きのえいぬ,たつ,火,　,くゑ日
《3230》,《暦日0》,七／,きのとのい,のそく,,　,ちう日  田かりよし
《3240》,《暦日2》,八／,ひのえね,みつ,水,　,きしく きこ 天火 らうしやく
《3250》,《暦日0》,九／,ひのとのうし,たいら,,　,十し
《3260》,《暦日2》,十／,つちのえとら,さたん,土,　,●
《3270》,《暦日0》,十一／,つちのとのう,とる,,　,神よし 大みやう ふく日  竹木こりよし
《3280》,《暦日2》,十二／,かのえたつ,やふる,金,　,わうまう
《3290》,《暦日0》,十三／,かのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《3300》,《暦日2》,十四／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《3310》,《暦日0》,十五／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3320》,《暦日1》,十六／,きのえさる,おさん,水,十方くれニ入,●
《3330》,《節中》,立冬十月せついぬの一刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3340》,《暦日1》,十七／,きのとのとり,ひらく,水,　,十し
《3350》,《暦日2》,十八／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3360》,《暦日0》,十九／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3370》,《暦日2》,廿／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3380》,《暦日0》,廿一／,つちのとのうし,みつ,,　,くゑ日 きこ
《3390》,《暦日2》,廿二／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3400》,《暦日0》,廿三／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3410》,《暦日2》,廿四／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3420》,《暦日0》,廿五／,みつのとのみ,やふる,,天一天上,ちう日 わうまう
《3430》,《暦日2》,廿六／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3440》,《暦日0》,廿七／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3450》,《暦日2》,廿八／,ひのえさる,おさん,火,　,●
《3460》,《暦日0》,廿九／,ひのとのとり,ひらく,,　,十し
《3470》,《月序》,十月,大,建,丁亥,井宿　胃　土よう
《3480》,《暦日2》,一／,つちのえいぬ,とつ,木,　,くゑ日
《3490》,《暦日0》,二／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3500》,《節中》,小雪十月中翌ねの六刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3510》,《暦日2》,三／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3520》,《暦日0》,四／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3530》,《暦日2》,五／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3540》,《暦日0》,六／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3550》,《暦日2》,七／,きのえたつ,とる,火,　,きしく 大みやう  やたて かとたてよし
《3560》,《暦日0》,八／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《3570》,《暦日2》,九／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《3580》,《暦日0》,十／,ひのとのひつし,なる,,　, 木こりよし
《3590》,《暦日2》,十一／,つちのえさる,おさん,土,　,●
《3600》,《暦日0》,十二／,つちのとのとり,ひらく,,　,十し
《3610》,《暦日2》,十三／,かのえいぬ,とつ,金,　,大みやう  たねまきよし
《3620》,《暦日0》,十四／,かのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3630》,《暦日2》,十五／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3640》,《暦日0》,十六／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3650》,《暦日1》,十七／,きのえとら,たいら,水,　,大くわ 地火  ふねのり  つめとりよし
《3660》,《節中》,大雪十一月せつ翌うの三刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3670》,《暦日1》,十八／,きのとのう,たいら,水,　,●
《3680》,《暦日2》,十九／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3690》,《暦日0》,廿／,ひのとのみ,とる,,　,十し
《3700》,《暦日2》,廿一／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3710》,《暦日0》,廿二／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3720》,《暦日2》,廿三／,かのえさる,なる,木,　,大みやう  入学 みそさけつくりよし
《3730》,《暦日0》,廿四／,かのとのとり,おさん,,　,神よし 大みやう 大くわ  井ほりよし
《3740》,《暦日2》,廿五／,みつのえいぬ,ひらく,水,ま日
《3750》,《暦日0》,廿六／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3760》,《暦日2》,廿七／,きのえね,たつ,金,　,天しや よろつよし
《3770》,《暦日0》,廿八／,きのとのうし,のそく,,　,神よし  やたて  つめとりよし
《3780》,《暦日2》,廿九／,ひのえとら,みつ,火,　,きこ  つめとりよし
《3790》,《暦日0》,卅／,ひのとのう,たいら,,　,●
《3800》,《月序》,十一月,小,建,戊子,鬼宿　畢　月よう
《3810》,《暦日1》,一／,つちのえたつ,さたん,木,　,五む日
《3820》,《食記》,日帯そく五分
《3830》,《暦日1》,二／,つちのとのみ,とる,木,　,十し
《3840》,《暦日1》,三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3850》,《節中》,冬至十一月中むまの初刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3860》,《暦日1》,四／,かのとのひつし,あやふ,土,　,大みやう  かとたてよし
《3870》,《暦日2》,五／,みつのえさる,なる,金,　,きしく 大みやう  いちたちよし
《3880》,《暦日0》,六／,みつのとのとり,おさん,,　,神よし 大みやう 大くわ ふく日
《3890》,《暦日2》,七／,きのえいぬ,ひらく,火,　,わうまう
《3900》,《暦日0》,八／,きのとのい,とつ,,　,ちう日
《3910》,《暦日2》,九／,ひのえね,たつ,水,　, 木こりよし
《3920》,《暦日0》,十／,ひのとのうし,のそく,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《3930》,《暦日2》,十一／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《3940》,《暦日0》,十二／,つちのとのう,たいら,,　,●
《3950》,《暦日2》,十三／,かのえたつ,さたん,金,　, たねまきよし
《3960》,《暦日0》,十四／,かのとのみ,とる,,　,十し
《3970》,《暦日2》,十五／,みつのえむま,やふる,木,　,大みやう ちいみ 天火 らうしやく
《3980》,《暦日0》,十六／,みつのとのひつし,あやふ,,　,ふく日
《3990》,《暦日2》,十七／,きのえさる,なる,水,十方くれニ入,大みやう
《4000》,《暦日0》,十八／,きのとのとり,なる,,　,●
《4010》,《節中》,小寒十二月せつさるの五刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《4020》,《暦日2》,十九／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4030》,《暦日0》,廿／,ひのとのい,ひらく,,　,大みやう ちう日
《4040》,《暦日2》,廿一／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4050》,《暦日0》,廿二／,つちのとのうし,たつ,,　,十し
《4060》,《暦日2》,廿三／,かのえとら,のそく,木,　, 井ほり  つめとりよし
《4070》,《暦日0》,廿四／,かのとのう,みつ,,　,神よし  よめとりよし
《4080》,《暦日2》,廿五／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《4090》,《暦日0》,廿六／,みつのとのみ,さたん,,天一天上,ちう日
《4100》,《暦日2》,廿七／,きのえむま,とる,金,　,神よし  けんふく ふねのりよし
《4110》,《暦日0》,廿八／,きのとのひつし,やふる,,　,大みやう 五む日
《4120》,《暦日1》,廿九／,ひのえさる,あやふ,火,　,神よし  木こりよし
《4130》,《月序》,十二月,大,建,己丑,柳宿　觜　火よう
《4140》,《暦日1》,一／,ひのとのとり,なる,火,とよういぬの六刻ニ入,●
《4150》,《暦日2》,二／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4160》,《暦日0》,三／,つちのとのい,ひらく,,　,ちう日 ふく日
《4170》,《暦日1》,四／,かのえね,とつ,土,　,神よし きしく きこ ちいみ
《4180》,《節中》,大寒十二月中いの二刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4190》,《暦日1》,五／,かのとのうし,たつ,土,　,十し
《4200》,《暦日2》,六／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《4210》,《暦日0》,七／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4220》,《暦日2》,八／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4230》,《暦日0》,九／,きのとのみ,さたん,,　,大みやう ちう日  いちたちよし
《4240》,《暦日2》,十／,ひのえむま,とる,水,　,神よし 大みやう  かといてよし
《4250》,《暦日0》,十一／,ひのとのひつし,やふる,,　,くゑ日
《4260》,《暦日2》,十二／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《4270》,《暦日0》,十三／,つちのとのとり,なる,,　,●
《4280》,《暦日2》,十四／,かのえいぬ,おさん,金,　,大みやう めつもん  たねまきよし
《4290》,《暦日0》,十五／,かのとのい,ひらく,,　,大みやう ちう日  正月ことはしめよし
《4300》,《暦日2》,十六／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《4310》,《暦日0》,十七／,みつのとのうし,たつ,,ま日,十し
《4320》,《暦日2》,十八／,きのえとら,のそく,水,　,わうまう  木こり  つめとりよし
《4330》,《暦日0》,十九／,きのとのう,みつ,,せつふん,神よし  ものたち 正月ことはしめよし
《4340》,《節中》,立春正月せつ翌うしの七刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《4350》,《暦日2》,廿／,ひのえたつ,みつ,土,ま日,大みやう  すゝはらひよし
《4360》,《暦日0》,廿一／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《4370》,《暦日2》,廿二／,つちのえむま,さたん,火,ま日,神よし  ふねのり 正月ことはしめよし
《4380》,《暦日0》,廿三／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまき すゝはらひよし
《4390》,《暦日2》,廿四／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《4400》,《暦日0》,廿五／,かのとのとり,あやふ,,　,十し
《4410》,《暦日2》,廿六／,みつのえいぬ,なる,水,ま日,●
《4420》,《暦日0》,廿七／,みつのとのい,おさん,,八せんのおはり,大くわ ちう日  けんふくよし
《4430》,《暦日2》,廿八／,きのえね,ひらく,金,　,ふく日 天火 らうしやく
《4440》,《暦日0》,廿九／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《4450》,《暦日1》,卅／,ひのえとら,たつ,火,　, つめとりよし
《4460》,《暦末》,元文四年出,立表測景定節氣者
