《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/186 ～ 190
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1740g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1740h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0460》,《暦日0》,廿三／,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
《0470》,《節中》,雨水正月中翌うしの五刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0480》,《暦日2》,廿四／,ひのえとら,たつ,火,　, つめとりよし
《0490》,《暦日0》,廿五／,ひのとのう,のそく,,　,神よし  あさまきよし
《0500》,《暦日2》,廿六／,つちのえたつ,みつ,木,　,五む日  みそつくりよし
《0510》,《暦日0》,廿七／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0520》,《暦日2》,廿八／,かのえむま,さたん,土,　,神よし ふく日
《0530》,《暦日0》,廿九／,かのとのひつし,とる,,　,大みやう  いちたちよし
《0540》,《月序》,二月,大,建,己卯,壁宿　氐　土よう
《0550》,《暦日2》,一／,みつのえさる,やふる,金,　,神よし 大みやう
《0560》,《暦日0》,二／,みつのとのとり,あやふ,,　,十し
《0570》,《暦日2》,三／,きのえいぬ,なる,火,　,●
《0580》,《暦日0》,四／,きのとのい,おさん,,　,大くわ ちう日
《0590》,《暦日2》,五／,ひのえね,ひらく,水,　,天火 らうしやく
《0600》,《暦日0》,六／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0610》,《暦日2》,七／,つちのえとら,たつ,土,　,天しや よろつよし
《0620》,《暦日0》,八／,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
《0630》,《暦日2》,九／,かのえたつ,みつ,金,　,ふく日
《0640》,《暦日0》,十／,かのとのみ,みつ,,　,十し
《0650》,《節中》,啓蟄二月せつたつの二刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0660》,《暦日2》,十一／,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
《0670》,《暦日0》,十二／,みつのとのひつし,さたん,,　,ちいみ
《0680》,《暦日2》,十三／,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
《0690》,《暦日0》,十四／,きのとのとり,やふる,,　,ふく日
《0700》,《暦日2》,十五／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0710》,《暦日0》,十六／,ひのとのい,なる,,　,大みやう ちう日
