«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-0440»,«暦日0»,廿二〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1686-0450»,«暦日2»,廿三〳,つちのえとら,たつ,土,　,天しや よろつよし
«1686-0460»,«暦日0»,廿四〳,つちのとのう,のそく,,　,神よし 大みやう  みそさけつくり たねまきよし
«1686-0470»,«暦日2»,廿五〳,かのえたつ,みつ,金,　,ふく日
«1686-0480»,«暦日0»,廿六〳,かのとのみ,たいら,,　,ちう日 めつもん 地火
«1686-0490»,«暦日2»,廿七〳,みつのえむま,さたん,木,　,神よし 大みやう  木こりよし
«1686-0500»,«暦日0»,廿八〳,みつのとのひつし,とる,,正月中ねの七刻, たねまきよし
«1686-0510»,«暦日2»,廿九〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1686-0520»,«暦日0»,卅〳,きのとのとり,あやふ,,　,十し
«1686-0530»,«月序»,二月,小,建,辛卯,女宿　胃　土よう
«1686-0540»,«暦日2»,一〳,ひのえいぬ,なる,土,　,●
«1686-0550»,«暦日0»,二〳,ひのとのい,おさん,,　,大みやう 大くわ ちう日
«1686-0560»,«暦日2»,三〳,つちのえね,ひらく,火,　,天火 らうしやく  けんふく 入学よし
«1686-0570»,«暦日0»,四〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1686-0580»,«暦日2»,五〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1686-0590»,«暦日0»,六〳,かのとのう,のそく,,　,くゑ日
«1686-0600»,«暦日2»,七〳,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
«1686-0610»,«暦日0»,八〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1686-0620»,«暦日2»,九〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1686-0630»,«暦日0»,十〳,きのとのひつし,とる,,　,大みやう 五む日
«1686-0640»,«暦日2»,十一〳,ひのえさる,やふる,火,　,神よし
«1686-0650»,«暦日0»,十二〳,ひのとのとり,あやふ,,　,十し
«1686-0660»,«暦日2»,十三〳,つちのえいぬ,あやふ,木,二月せつうの四刻ニ入, かといてよし
«1686-0670»,«暦日0»,十四〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1686-0680»,«暦日2»,十五〳,かのえね,おさん,土,　,神よし めつもん  よめとり たねかしよし
«1686-0690»,«暦日0»,十六〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1686-0700»,«暦日2»,十七〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1686-0710»,«暦日0»,十八〳,みつのとのう,たつ,,　,天火 らうしやく
«1686-0720»,«暦日2»,十九〳,きのえたつ,のそく,火,　,●
«1686-0730»,«暦日0»,廿〳,きのとのみ,みつ,,　,十し
«1686-0740»,«暦日2»,廿一〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1686-0750»,«暦日0»,廿二〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1686-0760»,«暦日2»,廿三〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1686-0770»,«暦日0»,廿四〳,つちのとのとり,やふる,,　,大みやう
«1686-0780»,«暦日2»,廿五〳,かのえいぬ,あやふ,金,　,大みやう  けんふくよし
«1686-0790»,«暦日0»,廿六〳,かのとのい,なる,,　,大みやう ちう日 ふく日 わうまう
«1686-0800»,«暦日2»,廿七〳,みつのえね,おさん,木,八せんのはしめ,神よし めつもん  あさまきよし
«1686-0810»,«暦日0»,廿八〳,みつのとのうし,ひらく,,春分二月中むまの一刻|ま日, つめとりよし
«1686-0820»,«暦日1»,廿九〳,きのえとら,とつ,水,　,きこ  やたて  つめとりよし
«1686-0830»,«月序»,三月,大,建,壬辰,虛宿　昴　日よう
«1686-0840»,«暦日1»,一〳,きのとのう,たつ,水,ひかんニなる,くゑ日 ふく日 天火 らうしやく
«1686-0850»,«暦日2»,二〳,ひのえたつ,のそく,土,ま日,●
«1686-0860»,«暦日0»,三〳,ひのとのみ,みつ,,　,十し
«1686-0870»,«暦日2»,四〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1686-0880»,«暦日0»,五〳,つちのとのひつし,さたん,,　,神よし 大みやう ちいみ  たねかしよし
«1686-0890»,«暦日2»,六〳,かのえさる,とる,木,　,神よし きしく 大みやう
«1686-0900»,«暦日0»,七〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1686-0910»,«暦日2»,八〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1686-0920»,«暦日0»,九〳,みつのとのい,なる,,八せんのおはり,ちう日  たねかしよし
«1686-0930»,«暦日2»,十〳,きのえね,おさん,金,　,めつもん
«1686-0940»,«暦日0»,十一〳,きのとのうし,ひらく,,　,ふく日  ものたち  つめとりよし
«1686-0950»,«暦日2»,十二〳,ひのえとら,とつ,火,　,きこ  つめとりよし
«1686-0960»,«暦日0»,十三〳,ひのとのう,たつ,,　,さい下しき 天火 らうしやく
«1686-0970»,«暦日2»,十四〳,つちのえたつ,たつ,木,三月せつさるの六刻ニ入,五む日 くゑ日 ふく日
«1686-0980»,«暦日0»,十五〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1686-0990»,«暦日2»,十六〳,かのえむま,みつ,土,　,神よし 天火 らうしやく  みそすつくりよし
«1686-1000»,«暦日0»,十七〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1686-1010»,«暦日2»,十八〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1686-1020»,«暦日0»,十九〳,みつのとのとり,とる,,　,神よし 大みやう
«1686-1030»,«暦日2»,廿〳,きのえいぬ,やふる,火,　, くさかりよし
«1686-1040»,«暦日0»,廿一〳,きのとのい,あやふ,,　,●
«1686-1050»,«暦日2»,廿二〳,ひのえね,なる,水,　,きこ
«1686-1060»,«暦日0»,廿三〳,ひのとのうし,おさん,,　,十し
«1686-1070»,«暦日2»,廿四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1686-1080»,«暦日0»,廿五〳,つちのとのう,とつ,,　,神よし 大みやう ふく日
«1686-1090»,«暦日2»,廿六〳,かのえたつ,たつ,金,とよういぬの七刻ニ入,くゑ日
«1686-1100»,«暦日0»,廿七〳,かのとのみ,のそく,,　,ちう日
