《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日0》,十五／,きのとのとり,やふる,,　,ふく日
《0700》,《暦日1》,十六／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0710》,《節中》,春分二月中むまの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0720》,《暦日1》,十七／,ひのとのい,なる,土,　,大みやう 母倉 ちう日
《0730》,《暦日2》,十八／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《0740》,《暦日0》,十九／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0750》,《暦日2》,廿／,かのえとら,とつ,木,　,きこ  つめとりよし
《0760》,《暦日0》,廿一／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0770》,《暦日2》,廿二／,みつのえたつ,のそく,水,　,●
《0780》,《暦日0》,廿三／,みつのとのみ,みつ,,天一天上,十し
《0790》,《暦日2》,廿四／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0800》,《暦日0》,廿五／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0810》,《暦日2》,廿六／,ひのえさる,とる,火,　,神よし
《0820》,《暦日0》,廿七／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0830》,《暦日2》,廿八／,つちのえいぬ,あやふ,木,　, かといてよし
《0840》,《暦日0》,廿九／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0850》,《月序》,三月,大,建,壬辰,奎宿　虛　日よう
《0860》,《暦日2》,一／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0870》,《暦日0》,二／,かのとのうし,おさん,,　,十し
《0880》,《節中》,清明三月せつとりの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0890》,《暦日2》,三／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《0900》,《暦日0》,四／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《0910》,《暦日2》,五／,きのえたつ,たつ,火,　,大みやう くゑ日
《0920》,《暦日0》,六／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《0930》,《暦日2》,七／,ひのえむま,みつ,水,　,さい下しき 神よし 大みやう 母倉 天火 らうしやく
《0940》,《暦日0》,八／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《0950》,《暦日2》,九／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0960》,《暦日0》,十／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《0970》,《暦日2》,十一／,かのえいぬ,やふる,金,　,大みやう 天おん
《0980》,《暦日0》,十二／,かのとのい,あやふ,,　,●
《0990》,《暦日2》,十三／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1000》,《暦日0》,十四／,みつのとのうし,おさん,,ま日/とよういの六刻ニ入,十し
《1010》,《暦日2》,十五／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1020》,《暦日0》,十六／,きのとのう,とつ,,　,神よし  ものたちよし
《1030》,《暦日1》,十七／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1040》,《節中》,穀雨三月中今夜ねの二刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1050》,《暦日1》,十八／,ひのとのみ,のそく,土,　,母倉 月とく ちう日  いちたちよし
《1060》,《暦日2》,十九／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
