《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2900》,《暦日1》,十／,きのとのみ,あやふ,火,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《2910》,《暦日2》,十一／,ひのえむま,なる,水,　,さい下しき 神よし 大みやう 母倉 月とく  いちたちよし
《2920》,《暦日0》,十二／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2930》,《暦日2》,十三／,つちのえさる,ひらく,土,　,天しや よろつよし
《2940》,《暦日0》,十四／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《2950》,《暦日2》,十五／,かのえいぬ,たつ,金,　,大みやう くゑ日
《2960》,《暦日0》,十六／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《2970》,《暦日2》,十七／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《2980》,《暦日0》,十八／,みつのとのうし,たいら,,ま日,十し
《2990》,《暦日2》,十九／,きのえとら,さたん,水,　,●
《3000》,《暦日0》,廿／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3010》,《暦日2》,廿一／,ひのえたつ,やふる,土,ま日/とようひつしの一刻ニ入,大みやう 母倉 月とく  かとたてよし
《3020》,《暦日0》,廿二／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3030》,《暦日2》,廿三／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3040》,《暦日0》,廿四／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3050》,《節中》,霜降九月中ひつしの五刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《3060》,《暦日2》,廿五／,かのえさる,ひらく,木,　,大みやう
《3070》,《暦日0》,廿六／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《3080》,《暦日2》,廿七／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《3090》,《暦日0》,廿八／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《3100》,《暦日2》,廿九／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《3110》,《暦日0》,卅／,きのとのうし,たいら,,　,十し
《3120》,《月序》,十月,小,建,己亥,井宿　參　水よう
《3130》,《暦日2》,一／,ひのえとら,さたん,火,　,●
《3140》,《暦日0》,二／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3150》,《暦日2》,三／,つちのえたつ,やふる,木,　,きしく 天おん 五む日 ふく日
《3160》,《暦日0》,四／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3170》,《暦日2》,五／,かのえむま,なる,土,　,母倉 わうまう  みそすつくりよし
《3180》,《暦日0》,六／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《3190》,《暦日2》,七／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3200》,《暦日0》,八／,みつのとのとり,とつ,,　,神よし 大みやう
《3210》,《暦日1》,九／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3220》,《節中》,立冬十月せついぬの二刻ニ入日の出より日入まて,昼四十二刻余/夜五十七刻余,六より六まて,昼四十七刻余/夜五十二刻余
《3230》,《暦日1》,十／,きのとのい,たつ,火,　,ちいみ ちう日 下しきさるの時  入学よし
《3240》,《暦日2》,十一／,ひのえね,のそく,水,　,ふく日
《3250》,《暦日0》,十二／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3260》,《暦日2》,十三／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3270》,《暦日0》,十四／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3280》,《暦日2》,十五／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3290》,《暦日0》,十六／,かのとのみ,やふる,,　,天おん ちう日
《3300》,《食記》,月そく皆つくる
《3310》,《暦日2》,十七／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3320》,《暦日0》,十八／,みつのとのひつし,なる,,　,天おん わうまう
《3330》,《暦日2》,十九／,きのえさる,おさん,水,十方くれニ入,●
《3340》,《暦日0》,廿／,きのとのとり,ひらく,,　,十し
《3350》,《暦日2》,廿一／,ひのえいぬ,とつ,土,　,五む日 ふく日
《3360》,《暦日0》,廿二／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3370》,《暦日2》,廿三／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3380》,《暦日0》,廿四／,つちのとのうし,みつ,,　,くゑ日 きこ
《3390》,《暦日1》,廿五／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3400》,《節中》,小雪十月中今暁ねの七刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《3410》,《暦日1》,廿六／,かのとのう,さたん,木,　,神よし 天火 らうしやく  ものたちよし
《3420》,《暦日2》,廿七／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3430》,《暦日0》,廿八／,みつのとのみ,やふる,,天一天上,ちう日
《3440》,《暦日1》,廿九／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3450》,《月序》,十一月,大,建,庚子,鬼宿　井　木よう
《3460》,《暦日1》,一／,きのとのひつし,なる,金,　,大みやう 五む日  みそさけつくり 木こりよし
《3470》,《暦日2》,二／,ひのえさる,おさん,火,　,●
《3480》,《暦日0》,三／,ひのとのとり,ひらく,,　,十し
《3490》,《暦日2》,四／,つちのえいぬ,とつ,木,　,くゑ日
《3500》,《暦日0》,五／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3510》,《暦日2》,六／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3520》,《暦日0》,七／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3530》,《暦日2》,八／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3540》,《暦日0》,九／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3550》,《暦日2》,十／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3560》,《暦日0》,十一／,きのとのみ,とる,,　,十し
《3570》,《節中》,大雪十一月せつうの四刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3580》,《暦日2》,十二／,ひのえむま,やふる,水,　,さい下しき 大みやう くゑ日 ちいみ 天火 らうしやく
《3590》,《暦日0》,十三／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3600》,《暦日2》,十四／,つちのえさる,なる,土,　,母倉  入学よし
《3610》,《暦日0》,十五／,つちのとのとり,おさん,,　,神よし 大みやう 天おん 母倉 大くわ  やたてよし
《3620》,《暦日2》,十六／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3630》,《暦日0》,十七／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3640》,《暦日2》,十八／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3650》,《暦日0》,十九／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3660》,《暦日2》,廿／,きのえとら,みつ,水,　,きこ  つめとりよし
《3670》,《暦日0》,廿一／,きのとのう,たいら,,　,●
《3680》,《暦日2》,廿二／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3690》,《暦日0》,廿三／,ひのとのみ,とる,,　,十し
《3700》,《暦日2》,廿四／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3710》,《暦日0》,廿五／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3720》,《暦日1》,廿六／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《3730》,《節中》,冬至十一月中むまの一刻日の出より日入まて,昼四十刻/夜六十刻,六より六まて,昼四十五刻/夜五十五刻
《3740》,《暦日1》,廿七／,かのとのとり,おさん,木,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3750》,《暦日2》,廿八／,みつのえいぬ,ひらく,水,ま日,月とく
《3760》,《暦日0》,廿九／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3770》,《暦日1》,卅／,きのえね,たつ,金,　,天しや よろつよし
《3780》,《月序》,十二月,大,建,辛丑,柳宿　柳　土よう
《3790》,《暦日1》,一／,きのとのうし,のそく,金,　,神よし 天おん  やたて  つめとりよし
《3800》,《暦日2》,二／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3810》,《暦日0》,三／,ひのとのう,たいら,,　,●
《3820》,《暦日2》,四／,つちのえたつ,さたん,木,　,天おん 五む日
《3830》,《暦日0》,五／,つちのとのみ,とる,,　,十し
《3840》,《暦日2》,六／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3850》,《暦日0》,七／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3860》,《暦日2》,八／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3870》,《暦日0》,九／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3880》,《暦日2》,十／,きのえいぬ,ひらく,火,　
《3890》,《暦日0》,十一／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《3900》,《節中》,小寒十二月せつさるの六刻ニ入日の出より日入まて,昼四十刻余/夜五十九刻余,六より六まて,昼四十五刻余/夜五十四刻余
《3910》,《暦日2》,十二／,ひのえね,とつ,水,　,きこ ちいみ
《3920》,《暦日0》,十三／,ひのとのうし,たつ,,　,十し
《3930》,《暦日2》,十四／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《3940》,《暦日0》,十五／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《3950》,《暦日2》,十六／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《3960》,《暦日0》,十七／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《3970》,《暦日2》,十八／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《3980》,《暦日0》,十九／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《3990》,《暦日2》,廿／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《4000》,《暦日0》,廿一／,きのとのとり,なる,,　,●
《4010》,《暦日2》,廿二／,ひのえいぬ,おさん,土,　,五む日 めつもん
《4020》,《暦日0》,廿三／,ひのとのい,ひらく,,とよういぬの七刻ニ入,大みやう ちう日
《4030》,《暦日2》,廿四／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《4040》,《暦日0》,廿五／,つちのとのうし,たつ,,　,十し
《4050》,《暦日1》,廿六／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《4060》,《節中》,大寒十二月中いの三刻日の出より日入まて,昼四十一刻余/夜五十八刻余,六より六まて,昼四十六刻余/夜五十三刻余
《4070》,《暦日1》,廿七／,かのとのう,みつ,木,　,神よし  よめとりよし
《4080》,《暦日2》,廿八／,みつのえたつ,たいら,水,　,きしく 大みやう 五む日 大くわ 地火
《4090》,《暦日0》,廿九／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《4100》,《暦日1》,卅／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《4110》,《暦末》,宝暦十年出,立表測景定節氣者
