《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0690》,《暦日0》,十三／,ひのとのひつし,さたん,,　,神よし ちいみ
《0700》,《暦日2》,十四／,つちのえさる,とる,土,　,神よし きしく  たねまきよし
《0710》,《暦日0》,十五／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0720》,《暦日2》,十六／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0730》,《暦日0》,十七／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0740》,《暦日2》,十八／,みつのえね,おさん,木,八せんのはしめ/ひかんニなる,神よし 天おん 母倉 めつもん  あさまきよし
《0750》,《暦日0》,十九／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0760》,《暦日2》,廿／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0770》,《暦日0》,廿一／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく わうまう
《0780》,《暦日2》,廿二／,ひのえたつ,のそく,土,ま日,●
《0790》,《暦日0》,廿三／,ひのとのみ,みつ,,　,十し
《0800》,《節中》,春分二月中今夜ねの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0810》,《暦日2》,廿四／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0820》,《暦日0》,廿五／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0830》,《暦日2》,廿六／,かのえさる,とる,木,　,神よし 大みやう
《0840》,《暦日0》,廿七／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0850》,《暦日2》,廿八／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0860》,《暦日0》,廿九／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0870》,《暦日1》,卅／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0880》,《月序》,三月,小,建,甲辰,氐宿　危　月よう
《0890》,《暦日1》,一／,きのとのうし,ひらく,金,　,天おん ふく日  ものたち  つめとりよし
《0900》,《暦日2》,二／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0910》,《暦日0》,三／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0920》,《暦日2》,四／,つちのえたつ,のそく,木,　,●
《0930》,《暦日0》,五／,つちのとのみ,みつ,,　,十し
《0940》,《暦日2》,六／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0950》,《暦日0》,七／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0960》,《暦日2》,八／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0970》,《暦日0》,九／,みつのとのとり,とる,,　,神よし 大みやう
《0980》,《節中》,清明三月せつ今暁とらの八刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0990》,《暦日2》,十／,きのえいぬ,やふる,火,　, くさかりよし
《1000》,《暦日0》,十一／,きのとのい,あやふ,,　,●
《1010》,《暦日2》,十二／,ひのえね,なる,水,　,きしく きこ
《1020》,《暦日0》,十三／,ひのとのうし,おさん,,　,十し
《1030》,《暦日2》,十四／,つちのえとら,ひらく,土,　,天しや よろつよし
《1040》,《暦日0》,十五／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1050》,《暦日2》,十六／,かのえたつ,たつ,金,　,くゑ日
《1060》,《暦日0》,十七／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1070》,《暦日2》,十八／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1080》,《暦日0》,十九／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1090》,《暦日2》,廿／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1100》,《暦日0》,廿一／,きのとのとり,とる,,とようみの初刻ニ入,神よし  くさかりよし
《1110》,《暦日2》,廿二／,ひのえいぬ,やふる,土,　,五む日
《1120》,《暦日0》,廿三／,ひのとのい,あやふ,,　,●
《1130》,《暦日1》,廿四／,つちのえね,なる,火,　,母倉 きこ ふく日
《1140》,《節中》,穀雨三月中みの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1150》,《暦日1》,廿五／,つちのとのうし,おさん,火,　,十し
《1160》,《暦日2》,廿六／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1170》,《暦日0》,廿七／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1180》,《暦日2》,廿八／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1190》,《暦日0》,廿九／,みつのとのみ,のそく,,天一天上,母倉 ちう日 わうまう  けんふくよし
《1200》,《月序》,四月,大,建,乙巳,房宿　室　火よう
《1210》,《暦日2》,一／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1220》,《暦日0》,二／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1230》,《暦日2》,三／,ひのえさる,さたん,火,　,くゑ日
《1240》,《暦日0》,四／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1250》,《暦日2》,五／,つちのえいぬ,やふる,木,　,ふく日
《1260》,《暦日0》,六／,つちのとのい,あやふ,,八十八や,●
《1270》,《暦日2》,七／,かのえね,なる,土,　,さい下しき 神よし きこ
