《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0680》,《暦日2》,十四／,みつのえたつ,のそく,水,　,●
《0690》,《暦日0》,十五／,みつのとのみ,みつ,,天一天上,十し
《0700》,《暦日2》,十六／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0710》,《暦日0》,十七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0720》,《暦日2》,十八／,ひのえさる,とる,火,　,神よし
《0730》,《暦日0》,十九／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0740》,《暦日2》,廿／,つちのえいぬ,あやふ,木,　, かといてよし
《0750》,《暦日0》,廿一／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0760》,《暦日2》,廿二／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0770》,《暦日0》,廿三／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0780》,《暦日2》,廿四／,みつのえとら,とつ,金,ひかんニなる,大みやう きこ  やたて くらたて  つめとりよし
《0790》,《暦日0》,廿五／,みつのとのう,たつ,,　,天火 らうしやく わうまう
《0800》,《暦日2》,廿六／,きのえたつ,のそく,火,　,●
《0810》,《暦日0》,廿七／,きのとのみ,みつ,,　,十し
《0820》,《節中》,春分二月中夕七時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0830》,《暦日2》,廿八／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0840》,《暦日0》,廿九／,ひのとのひつし,さたん,,　,神よし ちいみ
《0850》,《暦日1》,卅／,つちのえさる,とる,土,社日,神よし  たねまきよし
《0860》,《月序》,三月,大,建,丙辰,虛宿　觜　火よう
《0870》,《暦日1》,一／,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
《0880》,《暦日2》,二／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0890》,《暦日0》,三／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0900》,《暦日2》,四／,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
《0910》,《暦日0》,五／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0920》,《暦日2》,六／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0930》,《暦日0》,七／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0940》,《暦日2》,八／,ひのえたつ,のそく,土,ま日,●
《0950》,《暦日0》,九／,ひのとのみ,みつ,,　,十し
《0960》,《暦日2》,十／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0970》,《暦日0》,十一／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0980》,《暦日1》,十二／,かのえさる,さたん,木,　,大みやう くゑ日
《0990》,《節中》,清明三月せつ夜五時二分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1000》,《暦日1》,十三／,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
《1010》,《暦日2》,十四／,みつのえいぬ,やふる,水,ま日,月とく
《1020》,《暦日0》,十五／,みつのとのい,あやふ,,八せんのおはり,●
《1030》,《暦日2》,十六／,きのえね,なる,金,　,くゑ日 きこ
《1040》,《暦日0》,十七／,きのとのうし,おさん,,　,十し
《1050》,《暦日2》,十八／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1060》,《暦日0》,十九／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1070》,《暦日2》,廿／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1080》,《暦日0》,廿一／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1090》,《暦日2》,廿二／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1100》,《暦日0》,廿三／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1110》,《暦日2》,廿四／,みつのえさる,さたん,金,　,大みやう くゑ日
《1120》,《暦日0》,廿五／,みつのとのとり,とる,,とよう今暁九時四分ニ入,神よし 大みやう
《1130》,《暦日2》,廿六／,きのえいぬ,やふる,火,　, くさかりよし
《1140》,《暦日0》,廿七／,きのとのい,あやふ,,　,●
《1150》,《暦日1》,廿八／,ひのえね,なる,水,　,きこ
《1160》,《節中》,穀雨三月中今暁七時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1170》,《暦日1》,廿九／,ひのとのうし,おさん,水,　,十し
《1180》,《暦日1》,卅／,つちのえとら,ひらく,土,　,天しや よろつよし
《1190》,《月序》,四月,小,建,丁巳,危宿　井　木よう
《1200》,《暦日1》,一／,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
《1210》,《暦日2》,二／,かのえたつ,たつ,金,　,きしく くゑ日 わうまう
《1220》,《暦日0》,三／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1230》,《暦日2》,四／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1240》,《暦日0》,五／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1250》,《暦日2》,六／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1260》,《暦日0》,七／,きのとのとり,とる,,　,神よし  くさかりよし
《1270》,《暦日2》,八／,ひのえいぬ,やふる,土,　,五む日
《1280》,《暦日0》,九／,ひのとのい,あやふ,,八十八や,●
《1290》,《暦日2》,十／,つちのえね,なる,火,　,母倉 きこ ふく日
《1300》,《暦日0》,十一／,つちのとのうし,おさん,,　,十し
《1310》,《暦日2》,十二／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1320》,《暦日0》,十三／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1330》,《節中》,立夏四月せつ昼八時三分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1340》,《暦日2》,十四／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1350》,《暦日0》,十五／,みつのとのみ,たつ,,天一天上,●
