《1866-0000》,# カンマ区切りテキスト形式です。
《1866-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1866-0650》,《暦日2》,十／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1866-0660》,《暦日0》,十一／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1866-0670》,《暦日2》,十二／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1866-0680》,《暦日0》,十三／,みつのとのう,たつ,,　,天火 らうしやく
《1866-0690》,《暦日2》,十四／,きのえたつ,のそく,火,　,●
《1866-0700》,《暦日0》,十五／,きのとのみ,みつ,,　,十し
《1866-0710》,《暦日2》,十六／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1866-0720》,《暦日0》,十七／,ひのとのひつし,さたん,,　,神よし ちいみ
《1866-0730》,《暦日2》,十八／,つちのえさる,とる,土,　,神よし  たねまきよし
《1866-0740》,《暦日0》,十九／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1866-0750》,《暦日1》,廿／,かのえいぬ,やふる,金,　,大みやう 天おん
《1866-0760》,《節中》,清明三月せつ朝五時八分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1866-0770》,《暦日1》,廿一／,かのとのい,あやふ,金,　,●
《1866-0780》,《暦日2》,廿二／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1866-0790》,《暦日0》,廿三／,みつのとのうし,おさん,,ま日,十し
《1866-0800》,《暦日2》,廿四／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1866-0810》,《暦日0》,廿五／,きのとのう,とつ,,　,神よし  ものたちよし
《1866-0820》,《暦日2》,廿六／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1866-0830》,《暦日0》,廿七／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1866-0840》,《暦日2》,廿八／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1866-0850》,《暦日0》,廿九／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1866-0860》,《月序》,三月,大,建,壬辰,奎宿　虛　日よう
《1866-0870》,《暦日2》,一／,かのえさる,さたん,木,　,大みやう くゑ日
《1866-0880》,《暦日0》,二／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1866-0890》,《暦日2》,三／,みつのえいぬ,やふる,水,ま日/とよう昼九時七分ニ入,月とく
《1866-0900》,《暦日0》,四／,みつのとのい,あやふ,,八せんのおはり,●
《1866-0910》,《暦日2》,五／,きのえね,なる,金,　,くゑ日 きこ
《1866-0920》,《暦日0》,六／,きのとのうし,おさん,,　,十し
《1866-0930》,《節中》,穀雨三月中夕七時一分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1866-0940》,《暦日2》,七／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1866-0950》,《暦日0》,八／,ひのとのう,とつ,,　,さい下しき くゑ日  たねまきよし
《1866-0960》,《暦日2》,九／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
《1866-0970》,《暦日0》,十／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1866-0980》,《暦日2》,十一／,かのえむま,みつ,土,　,母倉 天火 らうしやく わうまう  みそすつくりよし
《1866-0990》,《暦日0》,十二／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1866-1000》,《暦日2》,十三／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《1866-1010》,《暦日0》,十四／,みつのとのとり,とる,,　,神よし 大みやう
《1866-1020》,《暦日2》,十五／,きのえいぬ,やふる,火,　, くさかりよし
《1866-1030》,《暦日0》,十六／,きのとのい,あやふ,,　,●
《1866-1040》,《暦日2》,十七／,ひのえね,なる,水,　,きこ
《1866-1050》,《暦日0》,十八／,ひのとのうし,おさん,,八十八や,十し
《1866-1060》,《暦日2》,十九／,つちのえとら,ひらく,土,　,天しや よろつよし
《1866-1070》,《暦日0》,廿／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1866-1080》,《暦日2》,廿一／,かのえたつ,たつ,金,　,くゑ日
《1866-1090》,《暦日0》,廿二／,かのとのみ,たつ,,　,●
《1866-1100》,《節中》,立夏四月せつ今暁七時四分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1866-1110》,《暦日2》,廿三／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1866-1120》,《暦日0》,廿四／,みつのとのひつし,みつ,,　,くゑ日
《1866-1130》,《暦日2》,廿五／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1866-1140》,《暦日0》,廿六／,きのとのとり,さたん,,　,十し
《1866-1150》,《暦日2》,廿七／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1866-1160》,《暦日0》,廿八／,ひのとのい,やふる,,　,大みやう ちう日
《1866-1170》,《暦日2》,廿九／,つちのえね,あやふ,火,　,わうまう  けんふくよし
《1866-1180》,《暦日0》,卅／,つちのとのうし,なる,,　,きこ  つめとりよし
《1866-1190》,《月序》,四月,小,建,癸巳,婁宿　室　火よう
《1866-1200》,《暦日2》,一／,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
《1866-1210》,《暦日0》,二／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1866-1220》,《暦日2》,三／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1866-1230》,《暦日0》,四／,みつのとのみ,たつ,,天一天上,●
《1866-1240》,《暦日2》,五／,きのえむま,のそく,金,　,天しや よろつよし
《1866-1250》,《暦日0》,六／,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
《1866-1260》,《暦日1》,七／,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
《1866-1270》,《節中》,小満四月中夕七時日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1866-1280》,《暦日1》,八／,ひのとのとり,さたん,火,　,十し
《1866-1290》,《暦日2》,九／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1866-1300》,《暦日0》,十／,つちのとのい,やふる,,　,くゑ日 ちう日
《1866-1310》,《暦日2》,十一／,かのえね,あやふ,土,　,神よし きしく 月とく  わたまし たねまきよし
《1866-1320》,《暦日0》,十二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
