《1836-0000》,# カンマ区切りテキスト形式です。
《1836-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1836-0020》,# ・表の区画内での改行は“/”で表記します。
《1836-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1836-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1836-0050》,# 外部リンク
《1836-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138
《1836-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1836g　(GitHub上データを表成型)
《1836-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1836h　(翻刻編集データを表成型 - 未実装)
《1836-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1836-0100》,《版元》,出版地○○,出版元□□□,　
《1836-0650》,《暦日2》,十一／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1836-0660》,《暦日0》,十二／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1836-0670》,《暦日2》,十三／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1836-0680》,《暦日0》,十四／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1836-0690》,《暦日2》,十五／,つちのえたつ,のそく,木,　,●
《1836-0700》,《暦日0》,十六／,つちのとのみ,みつ,,　,十し
《1836-0710》,《暦日2》,十七／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1836-0720》,《暦日0》,十八／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1836-0730》,《暦日2》,十九／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1836-0740》,《暦日0》,廿／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1836-0750》,《暦日2》,廿一／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1836-0760》,《暦日0》,廿二／,きのとのい,あやふ,,　,●
《1836-0770》,《節中》,清明三月せつ今暁うしの五刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1836-0780》,《暦日2》,廿三／,ひのえね,なる,水,　,きしく きこ
《1836-0790》,《暦日0》,廿四／,ひのとのうし,おさん,,　,十し
《1836-0800》,《暦日2》,廿五／,つちのえとら,ひらく,土,　,天しや よろつよし
《1836-0810》,《暦日0》,廿六／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1836-0820》,《暦日2》,廿七／,かのえたつ,たつ,金,　,くゑ日
《1836-0830》,《暦日0》,廿八／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1836-0840》,《暦日2》,廿九／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1836-0850》,《暦日0》,卅／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1836-0860》,《月序》,三月,小,建,壬辰,畢宿　氐　土よう
《1836-0870》,《暦日2》,一／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1836-0880》,《暦日0》,二／,きのとのとり,とる,,　,神よし  くさかりよし
《1836-0890》,《暦日2》,三／,ひのえいぬ,やふる,土,　,五む日
