《1836-0000》,# カンマ区切りテキスト形式です。
《1836-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1836-0020》,# ・表の区画内での改行は“/”で表記します。
《1836-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1836-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1836-0050》,# 外部リンク
《1836-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138
《1836-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1836g　(GitHub上データを表成型)
《1836-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1836h　(翻刻編集データを表成型 - 未実装)
《1836-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1836-0100》,《版元》,出版地○○,出版元□□□,　
《1836-2330》,《暦日0》,十六／,ひのとのとり,のそく,,　,十し
《1836-2340》,《暦日2》,十七／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1836-2350》,《暦日0》,十八／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1836-2360》,《暦日2》,十九／,かのえね,さたん,土,　,神よし ふく日
《1836-2370》,《暦日0》,廿／,かのとのうし,とる,,　,●
《1836-2380》,《暦日2》,廿一／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1836-2390》,《暦日0》,廿二／,みつのとのう,あやふ,,二百十日,神よし  わたまし みそすつくりよし
《1836-2400》,《暦日2》,廿三／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1836-2410》,《暦日0》,廿四／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1836-2420》,《暦日2》,廿五／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1836-2430》,《暦日0》,廿六／,ひのとのひつし,ひらく,,　,●
《1836-2440》,《節中》,白露八月せつうの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1836-2450》,《暦日2》,廿七／,つちのえさる,とつ,土,　,天しや よろつよし
《1836-2460》,《暦日0》,廿八／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1836-2470》,《暦日2》,廿九／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《1836-2480》,《暦日0》,卅／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《1836-2490》,《月序》,八月,小,建,丁酉,柳宿　虛　日よう
《1836-2500》,《暦日2》,一／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1836-2510》,《暦日0》,二／,みつのとのうし,さたん,,二百廿日/ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《1836-2520》,《暦日2》,三／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《1836-2530》,《暦日0》,四／,きのとのう,やふる,,　,くゑ日 ふく日
《1836-2540》,《暦日2》,五／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《1836-2550》,《暦日0》,六／,ひのとのみ,なる,,　,十し
《1836-2560》,《暦日2》,七／,つちのえむま,おさん,火,ま日/社日,めつもん
《1836-2570》,《暦日0》,八／,つちのとのひつし,ひらく,,　,●
《1836-2580》,《暦日2》,九／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《1836-2590》,《暦日0》,十／,かのとのとり,たつ,,ひかんニなる,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1836-2600》,《暦日1》,十一／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《1836-2610》,《節中》,秋分八月中むまの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1836-2620》,《暦日1》,十二／,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
《1836-2630》,《暦日2》,十三／,きのえね,たいら,金,　,きしく 天おん 大くわ 地火 わうまう  わたましよし
《1836-2640》,《暦日0》,十四／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《1836-2650》,《暦日2》,十五／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《1836-2660》,《暦日0》,十六／,ひのとのう,やふる,,　,天おん  田かりよし
《1836-2670》,《暦日2》,十七／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《1836-2680》,《暦日0》,十八／,つちのとのみ,なる,,　,十し
《1836-2690》,《暦日2》,十九／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《1836-2700》,《暦日0》,廿／,かのとのひつし,ひらく,,　,●
《1836-2710》,《暦日2》,廿一／,みつのえさる,とつ,金,　,神よし 大みやう
《1836-2720》,《暦日0》,廿二／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1836-2730》,《暦日2》,廿三／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《1836-2740》,《暦日0》,廿四／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《1836-2750》,《暦日2》,廿五／,ひのえね,たいら,水,　,大くわ 地火
《1836-2760》,《暦日0》,廿六／,ひのとのうし,たいら,,　,十し
《1836-2770》,《節中》,寒露九月せつとりの初刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1836-2780》,《暦日2》,廿七／,つちのえとら,さたん,土,　,●
《1836-2790》,《暦日0》,廿八／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《1836-2800》,《暦日1》,廿九／,かのえたつ,やふる,金,　,天おん
《1836-2810》,《月序》,九月,大,建,戊戌,星宿　危　月よう
《1836-2820》,《暦日1》,一／,かのとのみ,あやふ,金,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《1836-2830》,《暦日2》,二／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《1836-2840》,《暦日0》,三／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《1836-2850》,《暦日2》,四／,きのえさる,ひらく,水,十方くれニ入,大みやう
《1836-2860》,《暦日0》,五／,きのとのとり,とつ,,　,神よし  田かりよし
《1836-2870》,《暦日2》,六／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《1836-2880》,《暦日0》,七／,ひのとのい,のそく,,　,大みやう ちう日
《1836-2890》,《暦日2》,八／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《1836-2900》,《暦日0》,九／,つちのとのうし,たいら,,とよういの一刻ニ入,十し
《1836-2910》,《暦日2》,十／,かのえとら,さたん,木,　,●
《1836-2920》,《暦日0》,十一／,かのとのう,とる,,　,くゑ日
《1836-2930》,《暦日1》,十二／,みつのえたつ,やふる,水,　,きしく 大みやう 五む日 くゑ日
《1836-2940》,《節中》,霜降九月中いの五刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1836-2950》,《暦日1》,十三／,みつのとのみ,あやふ,水,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1836-2960》,《暦日2》,十四／,きのえむま,なる,金,　,くゑ日
《1836-2970》,《暦日0》,十五／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1836-2980》,《食記》,月食一分
《1836-2990》,《暦日2》,十六／,ひのえさる,ひらく,火,　,くゑ日
《1836-3000》,《暦日0》,十七／,ひのとのとり,とつ,,　,さい下しき くゑ日
《1836-3010》,《暦日2》,十八／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1836-3020》,《暦日0》,十九／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1836-3030》,《暦日2》,廿／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1836-3040》,《暦日0》,廿一／,かのとのうし,たいら,,　,十し
《1836-3050》,《暦日2》,廿二／,みつのえとら,さたん,金,　,●
《1836-3060》,《暦日0》,廿三／,みつのとのう,とる,,　,わうまう  けんふく かといてよし
《1836-3070》,《暦日2》,廿四／,きのえたつ,やふる,火,　,大みやう
《1836-3080》,《暦日0》,廿五／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《1836-3090》,《暦日2》,廿六／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《1836-3100》,《暦日0》,廿七／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1836-3110》,《暦日1》,廿八／,つちのえさる,おさん,土,　,●
《1836-3120》,《節中》,立冬十月せつ今暁とらの二刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1836-3130》,《暦日1》,廿九／,つちのとのとり,ひらく,土,　,十し
《1836-3140》,《暦日1》,卅／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《1836-3150》,《月序》,十月,小,建,己亥,張宿　壁　水よう
《1836-3160》,《暦日1》,一／,かのとのい,たつ,金,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《1836-3170》,《暦日2》,二／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《1836-3180》,《暦日0》,三／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《1836-3190》,《暦日2》,四／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《1836-3200》,《暦日0》,五／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《1836-3210》,《暦日2》,六／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《1836-3220》,《暦日0》,七／,ひのとのみ,やふる,,　,くゑ日 ちう日 わうまう
《1836-3230》,《暦日2》,八／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《1836-3240》,《暦日0》,九／,つちのとのひつし,なる,,　,大みやう 月とく  かまぬり いちたちよし
《1836-3250》,《暦日2》,十／,かのえさる,おさん,木,　,●
《1836-3260》,《暦日0》,十一／,かのとのとり,ひらく,,　,十し
《1836-3270》,《暦日2》,十二／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《1836-3280》,《暦日0》,十三／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《1836-3290》,《節中》,小雪十月中たつの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1836-3300》,《暦日2》,十四／,きのえね,のそく,金,　,天しや よろつよし
《1836-3310》,《暦日0》,十五／,きのとのうし,みつ,,　,くゑ日 きこ
《1836-3320》,《暦日2》,十六／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《1836-3330》,《暦日0》,十七／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《1836-3340》,《暦日2》,十八／,つちのえたつ,とる,木,　,天おん 五む日  ふねのりよし
《1836-3350》,《暦日0》,十九／,つちのとのみ,やふる,,　,くゑ日 ちう日
《1836-3360》,《暦日2》,廿／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《1836-3370》,《暦日0》,廿一／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《1836-3380》,《暦日2》,廿二／,みつのえさる,おさん,金,　,●
《1836-3390》,《暦日0》,廿三／,みつのとのとり,ひらく,,　,十し
《1836-3400》,《暦日2》,廿四／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《1836-3410》,《暦日0》,廿五／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《1836-3420》,《暦日2》,廿六／,ひのえね,のそく,水,　,ふく日
《1836-3430》,《暦日0》,廿七／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《1836-3440》,《暦日1》,廿八／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1836-3450》,《節中》,大雪十一月せつひつしの四刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1836-3460》,《暦日1》,廿九／,つちのとのう,たいら,土,　,●
《1836-3470》,《月序》,十一月,大,建,庚子,翼宿　奎　木よう
《1836-3480》,《暦日2》,一／,かのえたつ,さたん,金,　,天おん  たねまきよし
《1836-3490》,《暦日0》,二／,かのとのみ,とる,,　,十し
《1836-3500》,《暦日2》,三／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《1836-3510》,《暦日0》,四／,みつのとのひつし,あやふ,,　,天おん ふく日
《1836-3520》,《暦日2》,五／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《1836-3530》,《暦日0》,六／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《1836-3540》,《暦日2》,七／,ひのえいぬ,ひらく,土,　,五む日
《1836-3550》,《暦日0》,八／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《1836-3560》,《暦日2》,九／,つちのえね,たつ,火,　,きしく くゑ日
《1836-3570》,《暦日0》,十／,つちのとのうし,のそく,,　, つめとりよし
《1836-3580》,《暦日2》,十一／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《1836-3590》,《暦日0》,十二／,かのとのう,たいら,,　,●
《1836-3600》,《暦日2》,十三／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《1836-3610》,《暦日0》,十四／,みつのとのみ,とる,,天一天上,十し
《1836-3620》,《節中》,冬至十一月中いぬの一刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《1836-3630》,《暦日2》,十五／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《1836-3640》,《暦日0》,十六／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《1836-3650》,《暦日2》,十七／,ひのえさる,なる,火,　,母倉
《1836-3660》,《暦日0》,十八／,ひのとのとり,おさん,,　,さい下しき 母倉 月とく 大くわ ふく日 わうまう
《1836-3670》,《暦日2》,十九／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《1836-3680》,《暦日0》,廿／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《1836-3690》,《暦日2》,廿一／,かのえね,たつ,土,　, 井ほりよし
《1836-3700》,《暦日0》,廿二／,かのとのうし,のそく,,　,神よし 五む日  つめとりよし
《1836-3710》,《暦日2》,廿三／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《1836-3720》,《暦日0》,廿四／,みつのとのう,たいら,,　,●
《1836-3730》,《暦日2》,廿五／,きのえたつ,さたん,火,　,大みやう
《1836-3740》,《暦日0》,廿六／,きのとのみ,とる,,　,十し
《1836-3750》,《暦日2》,廿七／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《1836-3760》,《暦日0》,廿八／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《1836-3770》,《暦日2》,廿九／,つちのえさる,なる,土,　,母倉  入学よし
《1836-3780》,《暦日0》,卅／,つちのとのとり,なる,,　,●
《1836-3790》,《節中》,小寒十二月せつ今暁ねの六刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1836-3800》,《月序》,十二月,小,建,辛丑,軫宿　胃　土よう
《1836-3810》,《暦日2》,一／,かのえいぬ,おさん,金,　,大みやう 天おん 月とく めつもん  たねまきよし
《1836-3820》,《暦日0》,二／,かのとのい,ひらく,,　,大みやう 天おん ちう日  正月ことはしめよし
《1836-3830》,《暦日2》,三／,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《1836-3840》,《暦日0》,四／,みつのとのうし,たつ,,ま日,十し
《1836-3850》,《暦日2》,五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《1836-3860》,《暦日0》,六／,きのとのう,みつ,,　,神よし 月とく  ものたち 正月ことはしめよし
《1836-3870》,《暦日2》,七／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《1836-3880》,《暦日0》,八／,ひのとのみ,さたん,,　,母倉 ちう日
《1836-3890》,《暦日2》,九／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《1836-3900》,《暦日0》,十／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《1836-3910》,《暦日2》,十一／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《1836-3920》,《暦日0》,十二／,かのとのとり,なる,,とよう今暁とらの七刻ニ入,●
《1836-3930》,《暦日2》,十三／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《1836-3940》,《暦日0》,十四／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《1836-3950》,《暦日1》,十五／,きのえね,とつ,金,　,天しや よろつよし
《1836-3960》,《節中》,大寒十二月中うの三刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1836-3970》,《暦日1》,十六／,きのとのうし,たつ,金,　,十し
《1836-3980》,《暦日2》,十七／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《1836-3990》,《暦日0》,十八／,ひのとのう,みつ,,　,神よし 天おん
《1836-4000》,《暦日2》,十九／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《1836-4010》,《暦日0》,廿／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《1836-4020》,《暦日2》,廿一／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《1836-4030》,《暦日0》,廿二／,かのとのひつし,やふる,,　,大みやう  かといてよし
《1836-4040》,《暦日2》,廿三／,みつのえさる,あやふ,金,　,神よし 大みやう
《1836-4050》,《暦日0》,廿四／,みつのとのとり,なる,,　,●
《1836-4060》,《暦日2》,廿五／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《1836-4070》,《暦日0》,廿六／,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
《1836-4080》,《暦日2》,廿七／,ひのえね,とつ,水,　,きこ ちいみ
《1836-4090》,《暦日0》,廿八／,ひのとのうし,たつ,,　,十し
《1836-4100》,《暦日1》,廿九／,つちのえとら,のそく,土,せつふん,ふく日 わうまう  木こり すゝはらひ  つめとりよし
《1836-4110》,《暦末》,天保六年出,立表測景定節氣者
