«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-0640»,«暦日0»,九〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1799-0650»,«暦日2»,十〳,つちのえいぬ,あやふ,木,　, かといてよし
«1799-0660»,«暦日0»,十一〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1799-0670»,«暦日2»,十二〳,かのえね,おさん,土,ひかんニなる,神よし 母倉 めつもん  よめとり たねかしよし
«1799-0680»,«暦日0»,十三〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1799-0690»,«暦日2»,十四〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1799-0700»,«暦日0»,十五〳,みつのとのう,たつ,,　,天火 らうしやく わうまう
«1799-0710»,«暦日2»,十六〳,きのえたつ,のそく,火,　,●
«1799-0720»,«暦日0»,十七〳,きのとのみ,みつ,,　,十し
«1799-0730»,«節中»,春分二月中いの三刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1799-0740»,«暦日2»,十八〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1799-0750»,«暦日0»,十九〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1799-0760»,«暦日2»,廿〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1799-0770»,«暦日0»,廿一〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1799-0780»,«暦日2»,廿二〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
