«1750-0000»,【 カンマ区切りテキスト形式です。】
«1750-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1750-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1750-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1750-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1750-0050»,【 外部リンク　】
«1750-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/23 ～ 28】
«1750-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1750h　(翻刻編集終了データを表成型して表示します)】
«1750-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1750ht (翻刻編集中データを表成型して表示します)】
«1750-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1750-0100»,«版元»,出版地○○,出版元□□□,　
«1750-0420»,«暦日2»,廿〳,きのえね,ひらく,金,　,ふく日 天火 らうしやく
«1750-0430»,«暦日0»,廿一〳,きのとのうし,とつ,,　,神よし きこ ちいみ  くらたて 井ほり  つめとりよし
«1750-0440»,«暦日2»,廿二〳,ひのえとら,たつ,火,　, つめとりよし
«1750-0450»,«暦日0»,廿三〳,ひのとのう,のそく,,　,神よし  あさまきよし
«1750-0460»,«暦日2»,廿四〳,つちのえたつ,みつ,木,　,五む日  みそつくりよし
«1750-0470»,«暦日0»,廿五〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1750-0480»,«暦日2»,廿六〳,かのえむま,さたん,土,　,神よし ふく日
«1750-0490»,«暦日0»,廿七〳,かのとのひつし,とる,,　,大みやう  いちたちよし
«1750-0500»,«暦日2»,廿八〳,みつのえさる,やふる,金,　,神よし きしく 大みやう
«1750-0510»,«暦日0»,廿九〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1750-0520»,«節中»,啓蟄二月せつとりの二刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1750-0530»,«月序»,二月,大,建,己卯,井宿　星　日よう
«1750-0540»,«暦日2»,一〳,きのえいぬ,あやふ,火,　, かといてよし
«1750-0550»,«暦日0»,二〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1750-0560»,«暦日2»,三〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1750-0570»,«暦日0»,四〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1750-0580»,«暦日2»,五〳,つちのえとら,とつ,土,　,天しや よろつよし
«1750-0590»,«暦日0»,六〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1750-0600»,«暦日2»,七〳,かのえたつ,のそく,金,　,●
«1750-0610»,«暦日0»,八〳,かのとのみ,みつ,,　,十し
«1750-0620»,«暦日2»,九〳,みつのえむま,たいら,木,　,神よし 大みやう 大くわ 地火
«1750-0630»,«暦日0»,十〳,みつのとのひつし,さたん,,　,ちいみ
«1750-0640»,«暦日2»,十一〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう  入学よし
«1750-0650»,«暦日0»,十二〳,きのとのとり,やふる,,　,ふく日
«1750-0660»,«暦日2»,十三〳,ひのえいぬ,あやふ,土,　,五む日 わうまう  あさまきよし
«1750-0670»,«暦日0»,十四〳,ひのとのい,なる,,　,大みやう ちう日
«1750-0680»,«暦日1»,十五〳,つちのえね,おさん,火,社日,めつもん  けんふく たねかしよし
«1750-0690»,«節中»,春分二月中いの七刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1750-0700»,«暦日1»,十六〳,つちのとのうし,ひらく,火,　, 井ほり  つめとりよし
«1750-0710»,«暦日2»,十七〳,かのえとら,とつ,木,ひかんニなる,きこ  つめとりよし
«1750-0720»,«暦日0»,十八〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1750-0730»,«暦日2»,十九〳,みつのえたつ,のそく,水,　,●
«1750-0740»,«暦日0»,廿〳,みつのとのみ,みつ,,天一天上,十し
«1750-0750»,«暦日2»,廿一〳,きのえむま,たいら,金,　,神よし 大くわ 地火
«1750-0760»,«暦日0»,廿二〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1750-0770»,«暦日2»,廿三〳,ひのえさる,とる,火,　,神よし
«1750-0780»,«暦日0»,廿四〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1750-0790»,«暦日2»,廿五〳,つちのえいぬ,あやふ,木,　, かといてよし
«1750-0800»,«暦日0»,廿六〳,つちのとのい,なる,,　,神よし ちう日  みそすつくりよし
«1750-0810»,«暦日2»,廿七〳,かのえね,おさん,土,　,神よし きしく めつもん  よめとり たねかしよし
«1750-0820»,«暦日0»,廿八〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1750-0830»,«暦日2»,廿九〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1750-0840»,«暦日0»,卅〳,みつのとのう,たつ,,　,天火 らうしやく
«1750-0850»,«節中»,清明三月せつ翌とらの四刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1750-0860»,«月序»,三月,小,建,庚辰,鬼宿　翼　火よう
«1750-0870»,«暦日2»,一〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1750-0880»,«暦日0»,二〳,きのとのみ,のそく,,　,神よし 大みやう ちう日  ふねのりよし
«1750-0890»,«暦日2»,三〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1750-0900»,«暦日0»,四〳,ひのとのひつし,たいら,,　,さい下しき 神よし めつもん 地火
«1750-0910»,«暦日2»,五〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1750-0920»,«暦日0»,六〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1750-0930»,«暦日2»,七〳,かのえいぬ,やふる,金,　,大みやう
«1750-0940»,«暦日0»,八〳,かのとのい,あやふ,,　,●
«1750-0950»,«暦日2»,九〳,みつのえね,なる,木,八せんのはしめ,神よし きこ
«1750-0960»,«暦日0»,十〳,みつのとのうし,おさん,,ま日,十し
«1750-0970»,«暦日2»,十一〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1750-0980»,«暦日0»,十二〳,きのとのう,とつ,,　,神よし  ものたちよし
«1750-0990»,«暦日2»,十三〳,ひのえたつ,たつ,土,ま日|とようたつの四刻ニ入,大みやう  わたましよし
«1750-1000»,«暦日0»,十四〳,ひのとのみ,のそく,,　,ちう日  いちたちよし
«1750-1010»,«暦日2»,十五〳,つちのえむま,みつ,火,ま日,神よし ふく日 天火 らうしやく  ふねのりよし
«1750-1020»,«暦日0»,十六〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1750-1030»,«節中»,穀雨三月中みの初刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1750-1040»,«暦日2»,十七〳,かのえさる,さたん,木,　,大みやう くゑ日
«1750-1050»,«暦日0»,十八〳,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
«1750-1060»,«暦日2»,十九〳,みつのえいぬ,やふる,水,ま日
«1750-1070»,«暦日0»,廿〳,みつのとのい,あやふ,,八せんのおはり,●
«1750-1080»,«暦日2»,廿一〳,きのえね,なる,金,　,くゑ日 きこ わうまう
«1750-1090»,«暦日0»,廿二〳,きのとのうし,おさん,,　,十し
«1750-1100»,«暦日2»,廿三〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1750-1110»,«暦日0»,廿四〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1750-1120»,«暦日2»,廿五〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1750-1130»,«暦日0»,廿六〳,つちのとのみ,のそく,,　,神よし ちう日 ふく日  かといてよし
«1750-1140»,«暦日2»,廿七〳,かのえむま,みつ,土,八十八や,神よし 天火 らうしやく  みそすつくりよし
«1750-1150»,«暦日0»,廿八〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1750-1160»,«暦日1»,廿九〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1750-1170»,«月序»,四月,小,建,辛巳,柳宿　軫　水よう
«1750-1180»,«暦日1»,一〳,みつのとのとり,とる,金,　,神よし 大みやう
«1750-1190»,«暦日1»,二〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1750-1200»,«節中»,立夏四月せつひつしの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1750-1210»,«暦日1»,三〳,きのとのい,やふる,火,　,ちう日
«1750-1220»,«暦日2»,四〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1750-1230»,«暦日0»,五〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1750-1240»,«暦日2»,六〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1750-1250»,«暦日0»,七〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1750-1260»,«暦日2»,八〳,かのえたつ,とつ,金,　, けんふくよし
«1750-1270»,«暦日0»,九〳,かのとのみ,たつ,,　,●
«1750-1280»,«暦日2»,十〳,みつのえむま,のそく,木,　,神よし 大みやう ふく日
«1750-1290»,«暦日0»,十一〳,みつのとのひつし,みつ,,　,くゑ日
«1750-1300»,«暦日2»,十二〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1750-1310»,«暦日0»,十三〳,きのとのとり,さたん,,　,十し
«1750-1320»,«暦日2»,十四〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1750-1330»,«暦日0»,十五〳,ひのとのい,やふる,,　,大みやう ちう日
«1750-1340»,«暦日2»,十六〳,つちのえね,あやふ,火,　, けんふくよし
