«1711-0000»,【 カンマ区切りテキスト形式です。】
«1711-0660»,«暦日0»,十四〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1711-0670»,«暦日2»,十五〳,きのえいぬ,あやふ,火,　, かといてよし
«1711-0680»,«暦日0»,十六〳,きのとのい,なる,,　,ちう日 ふく日  みそすつくりよし
«1711-0690»,«暦日2»,十七〳,ひのえね,おさん,水,　,めつもん  たねかしよし
«1711-0700»,«暦日0»,十八〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1711-0710»,«暦日2»,十九〳,つちのえとら,とつ,土,　,天しや よろつよし
«1711-0720»,«暦日0»,廿〳,つちのとのう,とつ,,三月せつとりの三刻ニ入,神よし 大みやう ふく日
«1711-0730»,«暦日2»,廿一〳,かのえたつ,たつ,金,　,くゑ日
«1711-0740»,«暦日0»,廿二〳,かのとのみ,のそく,,　,ちう日
«1711-0750»,«暦日2»,廿三〳,みつのえむま,みつ,木,　,神よし 大みやう 天火 らうしやく
«1711-0760»,«暦日0»,廿四〳,みつのとのひつし,たいら,,　,めつもん 地火
«1711-0770»,«暦日2»,廿五〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1711-0780»,«暦日0»,廿六〳,きのとのとり,とる,,　,神よし  くさかりよし
«1711-0790»,«暦日2»,廿七〳,ひのえいぬ,やふる,土,　,五む日
«1711-0800»,«暦日0»,廿八〳,ひのとのい,あやふ,,　,●
«1711-0810»,«暦日2»,廿九〳,つちのえね,なる,火,　,きこ ふく日
«1711-0820»,«暦日0»,卅〳,つちのとのうし,おさん,,　,十し
«1711-0830»,«月序»,三月,大,建,壬辰,氐宿　胃　土よう
«1711-0840»,«暦日2»,一〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1711-0850»,«暦日0»,二〳,かのとのう,とつ,,とよういの四刻ニ入,神よし  わたまし ものたちよし
«1711-0860»,«暦日2»,三〳,みつのえたつ,たつ,水,　,さい下しき 大みやう 五む日
«1711-0870»,«暦日0»,四〳,みつのとのみ,のそく,,天一天上,ちう日  けんふくよし
«1711-0880»,«暦日2»,五〳,きのえむま,みつ,金,三月中夜ねの初刻,神よし 天火 らうしやく  ふねのりよし
«1711-0890»,«暦日0»,六〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1711-0900»,«暦日2»,七〳,ひのえさる,さたん,火,　,きしく くゑ日
«1711-0910»,«暦日0»,八〳,ひのとのとり,とる,,　,神よし  いちたちよし
«1711-0920»,«暦日2»,九〳,つちのえいぬ,やふる,木,　,ふく日
«1711-0930»,«暦日0»,十〳,つちのとのい,あやふ,,　,●
«1711-0940»,«暦日2»,十一〳,かのえね,なる,土,　,神よし きこ
«1711-0950»,«暦日0»,十二〳,かのとのうし,おさん,,　,十し
«1711-0960»,«暦日2»,十三〳,みつのえとら,ひらく,金,　,大みやう ちいみ  つめとりよし
«1711-0970»,«暦日0»,十四〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1711-0980»,«暦日2»,十五〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1711-0990»,«暦日0»,十六〳,きのとのみ,のそく,,八十八や,神よし 大みやう ちう日  ふねのりよし
«1711-1000»,«暦日2»,十七〳,ひのえむま,みつ,水,　,神よし 大みやう 天火 らうしやく
«1711-1010»,«暦日0»,十八〳,ひのとのひつし,たいら,,　,神よし めつもん 地火
«1711-1020»,«暦日2»,十九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1711-1030»,«暦日0»,廿〳,つちのとのとり,とる,,　,神よし 大みやう ふく日
«1711-1040»,«暦日2»,廿一〳,かのえいぬ,とる,金,立夏四月せつとらの五刻ニ入,大みやう  やたて くさかりよし
«1711-1050»,«暦日0»,廿二〳,かのとのい,やふる,,　,神よし 大みやう ちう日  さひらきよし
«1711-1060»,«暦日2»,廿三〳,みつのえね,あやふ,木,八せんのはしめ,神よし ふく日  くらたてよし
«1711-1070»,«暦日0»,廿四〳,みつのとのうし,なる,,ま日,きこ  つめとりよし
«1711-1080»,«暦日2»,廿五〳,きのえとら,おさん,水,　,めつもん  つめとりよし
«1711-1090»,«暦日0»,廿六〳,きのとのう,ひらく,,　,神よし  さひらきよし
«1711-1100»,«暦日2»,廿七〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1711-1110»,«暦日0»,廿八〳,ひのとのみ,たつ,,　,●
«1711-1120»,«暦日2»,廿九〳,つちのえむま,のそく,火,ま日,くゑ日
«1711-1130»,«暦日0»,卅〳,つちのとのひつし,みつ,,　,大みやう くゑ日
«1711-1140»,«月序»,四月,小,建,癸巳,房宿　畢　月よう
«1711-1150»,«暦日2»,一〳,かのえさる,たいら,木,　,神よし 大みやう ちいみ 大くわ 地火
«1711-1160»,«暦日0»,二〳,かのとのとり,さたん,,　,十し
«1711-1170»,«暦日2»,三〳,みつのえいぬ,とる,水,ま日,ふく日
«1711-1180»,«暦日0»,四〳,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
«1711-1190»,«暦日2»,五〳,きのえね,あやふ,金,　,きしく
«1711-1200»,«暦日0»,六〳,きのとのうし,なる,,四月中みの二刻,きこ  かまぬり  つめとりよし
«1711-1210»,«暦日2»,七〳,ひのえとら,おさん,火,　,ふく日 めつもん  つめとりよし
«1711-1220»,«暦日0»,八〳,ひのとのう,ひらく,,　,神よし  わたましよし
«1711-1230»,«暦日2»,九〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1711-1240»,«暦日0»,十〳,つちのとのみ,たつ,,　,●
«1711-1250»,«暦日2»,十一〳,かのえむま,のそく,土,　,神よし  さひらき みそすつくりよし
«1711-1260»,«暦日0»,十二〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1711-1270»,«暦日2»,十三〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1711-1280»,«暦日0»,十四〳,みつのとのとり,さたん,,　,十し
«1711-1290»,«暦日2»,十五〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1711-1300»,«暦日0»,十六〳,きのとのい,やふる,,　,ちう日
«1711-1310»,«暦日2»,十七〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1711-1320»,«暦日0»,十八〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1711-1330»,«暦日2»,十九〳,つちのえとら,おさん,土,　,めつもん  たねまき  つめとりよし
«1711-1340»,«暦日0»,廿〳,つちのとのう,ひらく,,　,神よし 大みやう  入学よし
«1711-1350»,«暦日2»,廿一〳,かのえたつ,ひらく,金,五月せつひつしの七刻ニ入, けんふく かといてよし
«1711-1360»,«暦日0»,廿二〳,かのとのみ,とつ,,　,十し
«1711-1370»,«暦日2»,廿三〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1711-1380»,«暦日0»,廿四〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1711-1390»,«暦日2»,廿五〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1711-1400»,«暦日0»,廿六〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1711-1410»,«暦日2»,廿七〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1711-1420»,«暦日0»,廿八〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1711-1430»,«暦日1»,廿九〳,つちのえね,やふる,火,　,●
«1711-1440»,«月序»,五月,大,建,甲午,心宿　觜　火よう
«1711-1450»,«暦日1»,一〳,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
«1711-1460»,«暦日2»,二〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1711-1470»,«暦日0»,三〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
