《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-0410》,《暦日2》,十八／,みつのえさる,やふる,金,　,神よし 大みやう
《1831-0420》,《暦日0》,十九／,みつのとのとり,あやふ,,　,十し
《1831-0430》,《暦日2》,廿／,きのえいぬ,なる,火,　,●
《1831-0440》,《暦日0》,廿一／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1831-0450》,《暦日2》,廿二／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1831-0460》,《暦日0》,廿三／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1831-0470》,《暦日1》,廿四／,つちのえとら,とつ,土,　,天しや よろつよし
《1831-0480》,《節中》,啓蟄二月せつみの六刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1831-0490》,《暦日1》,廿五／,つちのとのう,たつ,土,　,大みやう くゑ日 天火 らうしやく 金性の人うけニ入
《1831-0500》,《暦日2》,廿六／,かのえたつ,のそく,金,　,●
《1831-0510》,《暦日0》,廿七／,かのとのみ,みつ,,　,十し
《1831-0520》,《暦日2》,廿八／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1831-0530》,《暦日0》,廿九／,みつのとのひつし,さたん,,　,天おん ちいみ
《1831-0540》,《月序》,二月,大,建,辛卯,壁宿　畢　月よう
《1831-0550》,《暦日2》,一／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1831-0560》,《暦日0》,二／,きのとのとり,やふる,,　,ふく日
《1831-0570》,《暦日2》,三／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1831-0580》,《暦日0》,四／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1831-0590》,《暦日2》,五／,つちのえね,おさん,火,社日/ひかんニなる,きしく 母倉 めつもん  けんふく たねかしよし
《1831-0600》,《暦日0》,六／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1831-0610》,《暦日2》,七／,かのえとら,とつ,木,　,きこ  つめとりよし
《1831-0620》,《暦日0》,八／,かのとのう,たつ,,　,ふく日 天火 らうしやく わうまう
《1831-0630》,《暦日2》,九／,みつのえたつ,のそく,水,　,●
《1831-0640》,《暦日0》,十／,みつのとのみ,みつ,,天一天上,十し
《1831-0650》,《節中》,春分二月中さるの三刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1831-0660》,《暦日2》,十一／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1831-0670》,《暦日0》,十二／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1831-0680》,《暦日2》,十三／,ひのえさる,とる,火,　,神よし
《1831-0690》,《暦日0》,十四／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1831-0700》,《暦日2》,十五／,つちのえいぬ,あやふ,木,　, かといてよし
《1831-0710》,《暦日0》,十六／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1831-0720》,《暦日2》,十七／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1831-0730》,《暦日0》,十八／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1831-0740》,《暦日2》,十九／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1831-0750》,《暦日0》,廿／,みつのとのう,たつ,,　,天火 らうしやく
《1831-0760》,《暦日2》,廿一／,きのえたつ,のそく,火,　,●
《1831-0770》,《暦日0》,廿二／,きのとのみ,みつ,,　,十し
《1831-0780》,《暦日2》,廿三／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1831-0790》,《暦日0》,廿四／,ひのとのひつし,さたん,,　,神よし ちいみ
《1831-0800》,《暦日1》,廿五／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1831-0810》,《節中》,清明三月せついの初刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1831-0820》,《暦日1》,廿六／,つちのとのとり,とる,土,　,神よし 大みやう 天おん ふく日
《1831-0830》,《暦日2》,廿七／,かのえいぬ,やふる,金,　,大みやう 天おん
《1831-0840》,《暦日0》,廿八／,かのとのい,あやふ,,　,●
《1831-0850》,《暦日2》,廿九／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1831-0860》,《暦日0》,卅／,みつのとのうし,おさん,,ま日,十し
《1831-0870》,《月序》,三月,小,建,壬辰,奎宿　參　水よう
《1831-0880》,《暦日2》,一／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1831-0890》,《暦日0》,二／,きのとのう,とつ,,　,神よし  ものたちよし
《1831-0900》,《暦日2》,三／,ひのえたつ,たつ,土,ま日,きしく 大みやう  わたましよし
《1831-0910》,《暦日0》,四／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1831-0920》,《暦日2》,五／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1831-0930》,《暦日0》,六／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1831-0940》,《暦日2》,七／,かのえさる,さたん,木,　,大みやう くゑ日
《1831-0950》,《暦日0》,八／,かのとのとり,とる,,とよう今暁うしの一刻ニ入,神よし 大みやう  井ほりよし
《1831-0960》,《暦日2》,九／,みつのえいぬ,やふる,水,ま日,月とく
《1831-0970》,《暦日0》,十／,みつのとのい,あやふ,,八せんのおはり,●
《1831-0980》,《暦日1》,十一／,きのえね,なる,金,　,くゑ日 きこ
《1831-0990》,《節中》,穀雨三月中今暁うしの五刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1831-1000》,《暦日1》,十二／,きのとのうし,おさん,金,　,十し
《1831-1010》,《暦日2》,十三／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1831-1020》,《暦日0》,十四／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1831-1030》,《暦日2》,十五／,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日 わうまう
《1831-1040》,《暦日0》,十六／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1831-1050》,《暦日2》,十七／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1831-1060》,《暦日0》,十八／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1831-1070》,《暦日2》,十九／,みつのえさる,さたん,金,　,大みやう くゑ日
《1831-1080》,《暦日0》,廿／,みつのとのとり,とる,,　,神よし 大みやう
《1831-1090》,《暦日2》,廿一／,きのえいぬ,やふる,火,　, くさかりよし
《1831-1100》,《暦日0》,廿二／,きのとのい,あやふ,,八十八や,●
《1831-1110》,《暦日2》,廿三／,ひのえね,なる,水,　,きこ
《1831-1120》,《暦日0》,廿四／,ひのとのうし,おさん,,　,十し
《1831-1130》,《暦日2》,廿五／,つちのえとら,ひらく,土,　,天しや よろつよし
《1831-1140》,《暦日0》,廿六／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1831-1150》,《節中》,立夏四月せつたつの二刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1831-1160》,《暦日2》,廿七／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1831-1170》,《暦日0》,廿八／,かのとのみ,たつ,,　,●
