《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-2190》,《暦日0》,三／,みつのとのうし,とる,,ま日,●
《1831-2200》,《暦日2》,四／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1831-2210》,《暦日0》,五／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1831-2220》,《暦日2》,六／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1831-2230》,《暦日0》,七／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1831-2240》,《暦日2》,八／,つちのえむま,ひらく,火,ま日,天火 らうしやく わうまう  入学よし
《1831-2250》,《暦日0》,九／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1831-2260》,《暦日2》,十／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1831-2270》,《暦日0》,十一／,かのとのとり,のそく,,　,十し
《1831-2280》,《暦日2》,十二／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1831-2290》,《暦日0》,十三／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1831-2300》,《暦日2》,十四／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《1831-2310》,《暦日0》,十五／,きのとのうし,とる,,　,●
《1831-2320》,《節中》,処暑七月中いぬの五刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1831-2330》,《暦日2》,十六／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《1831-2340》,《暦日0》,十七／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《1831-2350》,《暦日2》,十八／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《1831-2360》,《暦日0》,十九／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1831-2370》,《暦日2》,廿／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1831-2380》,《暦日0》,廿一／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《1831-2390》,《暦日2》,廿二／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1831-2400》,《暦日0》,廿三／,みつのとのとり,のそく,,　,十し
《1831-2410》,《暦日2》,廿四／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1831-2420》,《暦日0》,廿五／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1831-2430》,《暦日2》,廿六／,ひのえね,さたん,水,　,きしく  田かりよし
《1831-2440》,《暦日0》,廿七／,ひのとのうし,とる,,二百十日,●
《1831-2450》,《暦日2》,廿八／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1831-2460》,《暦日0》,廿九／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1831-2470》,《月序》,八月,大,建,丁酉,觜宿　翼　火よう
《1831-2480》,《暦日2》,一／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《1831-2490》,《暦日0》,二／,かのとのみ,なる,,　,十し
《1831-2500》,《節中》,白露八月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1831-2510》,《暦日2》,三／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《1831-2520》,《暦日0》,四／,みつのとのひつし,ひらく,,　,●
《1831-2530》,《暦日2》,五／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1831-2540》,《暦日0》,六／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《1831-2550》,《暦日2》,七／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1831-2560》,《暦日0》,八／,ひのとのい,みつ,,二百廿日,大みやう ちう日  入学よし
《1831-2570》,《暦日2》,九／,つちのえね,たいら,火,　,大くわ 地火
《1831-2580》,《暦日0》,十／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《1831-2590》,《暦日2》,十一／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1831-2600》,《暦日0》,十二／,かのとのう,やふる,,　,ふく日  田かりよし
《1831-2610》,《暦日2》,十三／,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日
《1831-2620》,《暦日0》,十四／,みつのとのみ,なる,,天一天上,十し
《1831-2630》,《暦日2》,十五／,きのえむま,おさん,金,　,めつもん
《1831-2640》,《暦日0》,十六／,きのとのひつし,ひらく,,ひかんニなる,●
《1831-2650》,《暦日1》,十七／,ひのえさる,とつ,火,　,神よし
《1831-2660》,《節中》,秋分八月中うの七刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1831-2670》,《暦日1》,十八／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
《1831-2680》,《暦日2》,十九／,つちのえいぬ,のそく,木,社日,母倉 ちいみ わうまう  ふねのり 田かりよし
《1831-2690》,《暦日0》,廿／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1831-2700》,《暦日2》,廿一／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《1831-2710》,《暦日0》,廿二／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《1831-2720》,《暦日2》,廿三／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《1831-2730》,《暦日0》,廿四／,みつのとのう,やふる,,　, くらたて 田かりよし
《1831-2740》,《暦日2》,廿五／,きのえたつ,あやふ,火,　,きしく 大みやう 母倉  けんふく わたましよし
《1831-2750》,《暦日0》,廿六／,きのとのみ,なる,,　,十し
《1831-2760》,《暦日2》,廿七／,ひのえむま,おさん,水,　,大みやう めつもん
《1831-2770》,《暦日0》,廿八／,ひのとのひつし,ひらく,,　,●
《1831-2780》,《暦日2》,廿九／,つちのえさる,とつ,土,　,天しや よろつよし
《1831-2790》,《暦日0》,卅／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1831-2800》,《月序》,九月,小,建,戊戌,參宿　角　木よう
《1831-2810》,《暦日2》,一／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《1831-2820》,《暦日0》,二／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《1831-2830》,《節中》,寒露九月せつむまの四刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1831-2840》,《暦日2》,三／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《1831-2850》,《暦日0》,四／,みつのとのうし,たいら,,ま日,十し
《1831-2860》,《暦日2》,五／,きのえとら,さたん,水,　,●
《1831-2870》,《暦日0》,六／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1831-2880》,《暦日2》,七／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく  かとたてよし
《1831-2890》,《暦日0》,八／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《1831-2900》,《暦日2》,九／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《1831-2910》,《暦日0》,十／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《1831-2920》,《暦日2》,十一／,かのえさる,ひらく,木,　,大みやう
《1831-2930》,《暦日0》,十二／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《1831-2940》,《暦日2》,十三／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《1831-2950》,《暦日0》,十四／,みつのとのい,のそく,,八せんのおはり/とようさるの五刻ニ入,ちう日  むきまきよし
《1831-2960》,《暦日2》,十五／,きのえね,みつ,金,　,天おん きこ 天火 らうしやく
《1831-2970》,《暦日0》,十六／,きのとのうし,たいら,,　,十し
《1831-2980》,《暦日1》,十七／,ひのえとら,さたん,火,　,●
《1831-2990》,《節中》,霜降九月中とりの一刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1831-3000》,《暦日1》,十八／,ひのとのう,とる,火,　,神よし 天おん  田かりよし
《1831-3010》,《暦日2》,十九／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《1831-3020》,《暦日0》,廿／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《1831-3030》,《暦日2》,廿一／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《1831-3040》,《暦日0》,廿二／,かのとのひつし,おさん,,　,大みやう 月とく 大くわ  たねまき 田かりよし
《1831-3050》,《暦日2》,廿三／,みつのえさる,ひらく,金,　,きしく 大みやう  むきまきよし
《1831-3060》,《暦日0》,廿四／,みつのとのとり,とつ,,　,神よし 大みやう
《1831-3070》,《暦日2》,廿五／,きのえいぬ,たつ,火,　,くゑ日
《1831-3080》,《暦日0》,廿六／,きのとのい,のそく,,　,ちう日  田かりよし
《1831-3090》,《暦日2》,廿七／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《1831-3100》,《暦日0》,廿八／,ひのとのうし,たいら,,　,十し
《1831-3110》,《暦日1》,廿九／,つちのえとら,さたん,土,　,●
《1831-3120》,《月序》,十月,大,建,己亥,井宿　亢　金よう
《1831-3130》,《暦日1》,一／,つちのとのう,とる,土,　,神よし 大みやう 天おん ふく日  竹木こりよし
《1831-3140》,《暦日2》,二／,かのえたつ,やふる,金,　,天おん
《1831-3150》,《暦日0》,三／,かのとのみ,やふる,,　,天おん ちう日
《1831-3160》,《節中》,立冬十月せついの六刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1831-3170》,《暦日2》,四／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《1831-3180》,《暦日0》,五／,みつのとのひつし,なる,,　,天おん
《1831-3190》,《暦日2》,六／,きのえさる,おさん,水,十方くれニ入,●
《1831-3200》,《暦日0》,七／,きのとのとり,ひらく,,　,十し
《1831-3210》,《暦日2》,八／,ひのえいぬ,とつ,土,　,五む日 ふく日
《1831-3220》,《暦日0》,九／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《1831-3230》,《暦日2》,十／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《1831-3240》,《暦日0》,十一／,つちのとのうし,みつ,,　,くゑ日 きこ
《1831-3250》,《暦日2》,十二／,かのえとら,たいら,木,　,大くわ 地火 わうまう  かといて  つめとりよし
《1831-3260》,《暦日0》,十三／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《1831-3270》,《暦日2》,十四／,みつのえたつ,とる,水,　,さい下しき 大みやう 五む日 ふく日
《1831-3280》,《暦日0》,十五／,みつのとのみ,やふる,,天一天上,ちう日
《1831-3290》,《暦日2》,十六／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《1831-3300》,《暦日0》,十七／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《1831-3310》,《暦日2》,十八／,ひのえさる,おさん,火,　,●
《1831-3320》,《暦日0》,十九／,ひのとのとり,ひらく,,　,十し
《1831-3330》,《節中》,小雪十月中今暁とらの三刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1831-3340》,《暦日2》,廿／,つちのえいぬ,とつ,木,　,くゑ日
《1831-3350》,《暦日0》,廿一／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《1831-3360》,《暦日2》,廿二／,かのえね,のそく,土,　,神よし きしく  くらたて 井ほりよし
《1831-3370》,《暦日0》,廿三／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《1831-3380》,《暦日2》,廿四／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《1831-3390》,《暦日0》,廿五／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《1831-3400》,《暦日2》,廿六／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《1831-3410》,《暦日0》,廿七／,きのとのみ,やふる,,　,神よし 大みやう ちう日
《1831-3420》,《暦日2》,廿八／,ひのえむま,あやふ,水,　,神よし 大みやう ふく日
《1831-3430》,《暦日0》,廿九／,ひのとのひつし,なる,,　, 木こりよし
《1831-3440》,《暦日1》,卅／,つちのえさる,おさん,土,　,●
《1831-3450》,《月序》,十一月,大,建,庚子,鬼宿　房　日よう
《1831-3460》,《暦日1》,一／,つちのとのとり,ひらく,土,　,十し
《1831-3470》,《暦日2》,二／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《1831-3480》,《暦日0》,三／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《1831-3490》,《暦日1》,四／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《1831-3500》,《節中》,大雪十一月せつたつの八刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1831-3510》,《暦日1》,五／,みつのとのうし,のそく,木,ま日,神よし 天おん ふく日  木こり  つめとりよし
《1831-3520》,《暦日2》,六／,きのえとら,みつ,水,　,きこ  つめとりよし
《1831-3530》,《暦日0》,七／,きのとのう,たいら,,　,●
《1831-3540》,《暦日2》,八／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《1831-3550》,《暦日0》,九／,ひのとのみ,とる,,　,十し
《1831-3560》,《暦日2》,十／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《1831-3570》,《暦日0》,十一／,つちのとのひつし,あやふ,,　,神よし 大みやう
《1831-3580》,《暦日2》,十二／,かのえさる,なる,木,　,大みやう 母倉  入学 みそさけつくりよし
《1831-3590》,《暦日0》,十三／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《1831-3600》,《暦日2》,十四／,みつのえいぬ,ひらく,水,ま日,月とく
《1831-3610》,《暦日0》,十五／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《1831-3620》,《暦日2》,十六／,きのえね,たつ,金,　,天しや よろつよし
《1831-3630》,《暦日0》,十七／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《1831-3640》,《暦日2》,十八／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《1831-3650》,《暦日0》,十九／,ひのとのう,たいら,,　,●
《1831-3660》,《節中》,冬至十一月中ひつしの五刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《1831-3670》,《暦日2》,廿／,つちのえたつ,さたん,木,　,きしく 天おん 五む日
《1831-3680》,《暦日0》,廿一／,つちのとのみ,とる,,　,十し
《1831-3690》,《暦日2》,廿二／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《1831-3700》,《暦日0》,廿三／,かのとのひつし,あやふ,,　,大みやう わうまう  かとたてよし
《1831-3710》,《暦日2》,廿四／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《1831-3720》,《暦日0》,廿五／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《1831-3730》,《暦日2》,廿六／,きのえいぬ,ひらく,火,　
《1831-3740》,《暦日0》,廿七／,きのとのい,とつ,,　,ちう日
《1831-3750》,《暦日2》,廿八／,ひのえね,たつ,水,　, 木こりよし
《1831-3760》,《暦日0》,廿九／,ひのとのうし,のそく,,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《1831-3770》,《暦日1》,卅／,つちのえとら,みつ,土,　,きこ  みそさけつくり  つめとりよし
《1831-3780》,《月序》,十二月,大,建,辛丑,柳宿　尾　火よう
《1831-3790》,《暦日1》,一／,つちのとのう,たいら,土,　,●
《1831-3800》,《暦日2》,二／,かのえたつ,さたん,金,　,天おん  たねまきよし
《1831-3810》,《暦日0》,三／,かのとのみ,とる,,　,十し
《1831-3820》,《暦日1》,四／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《1831-3830》,《節中》,小寒十二月せついぬの二刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《1831-3840》,《暦日1》,五／,みつのとのひつし,やふる,木,　,天おん  たねまきよし
《1831-3850》,《暦日2》,六／,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
《1831-3860》,《暦日0》,七／,きのとのとり,なる,,　,●
《1831-3870》,《暦日2》,八／,ひのえいぬ,おさん,土,　,五む日 めつもん
《1831-3880》,《暦日0》,九／,ひのとのい,ひらく,,　,大みやう ちう日
《1831-3890》,《暦日2》,十／,つちのえね,とつ,火,　,くゑ日 きこ ちいみ ふく日
《1831-3900》,《暦日0》,十一／,つちのとのうし,たつ,,　,十し
《1831-3910》,《暦日2》,十二／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《1831-3920》,《暦日0》,十三／,かのとのう,みつ,,　,神よし  よめとりよし
《1831-3930》,《暦日2》,十四／,みつのえたつ,たいら,水,　,さい下しき 大みやう 五む日 大くわ 地火
《1831-3940》,《暦日0》,十五／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《1831-3950》,《暦日2》,十六／,きのえむま,とる,金,とよう今夜ねの二刻ニ入,神よし 母倉  けんふく ふねのりよし
《1831-3960》,《暦日0》,十七／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《1831-3970》,《暦日2》,十八／,ひのえさる,あやふ,火,　,神よし きしく 母倉  木こりよし
《1831-3980》,《暦日0》,十九／,ひのとのとり,なる,,　,●
《1831-3990》,《暦日1》,廿／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《1831-4000》,《節中》,大寒十二月中今暁ねの七刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《1831-4010》,《暦日1》,廿一／,つちのとのい,ひらく,木,　,ちう日 ふく日
《1831-4020》,《暦日2》,廿二／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《1831-4030》,《暦日0》,廿三／,かのとのうし,たつ,,　,十し
《1831-4040》,《暦日2》,廿四／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1831-4050》,《暦日0》,廿五／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《1831-4060》,《暦日2》,廿六／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《1831-4070》,《暦日0》,廿七／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《1831-4080》,《暦日2》,廿八／,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
《1831-4090》,《暦日0》,廿九／,ひのとのひつし,やふる,,　,くゑ日
《1831-4100》,《暦日1》,卅／,つちのえさる,あやふ,土,　,神よし ふく日  みそさけつくりよし
《1831-4110》,《暦末》,天保元年出,立表測景定節氣者
