《1859-0000》,# カンマ区切りテキスト形式です。
《1859-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1859-0020》,# ・表の区画内での改行は“/”で表記します。
《1859-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1859-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1859-0050》,# 外部リンク
《1859-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/56 ～ 64
《1859-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1859g　(GitHub上データを表成型)
《1859-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1859h　(翻刻編集データを表成型 - 未実装)
《1859-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1859-0100》,《版元》,出版地○○,出版元□□□,　
《1859-0660》,《暦日0》,十／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1859-0670》,《暦日2》,十一／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1859-0680》,《暦日0》,十二／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1859-0690》,《暦日2》,十三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1859-0700》,《暦日0》,十四／,きのとのう,たつ,,ひかんニなる,くゑ日 ふく日 天火 らうしやく
《1859-0710》,《暦日2》,十五／,ひのえたつ,のそく,土,ま日,●
《1859-0720》,《暦日0》,十六／,ひのとのみ,みつ,,　,十し
《1859-0730》,《暦日1》,十七／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1859-0740》,《節中》,春分二月中昼九時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1859-0750》,《暦日1》,十八／,つちのとのひつし,さたん,火,　,神よし 大みやう 月とく ちいみ  たねかしよし
《1859-0760》,《暦日2》,十九／,かのえさる,とる,木,　,さい下しき 神よし 大みやう
《1859-0770》,《暦日0》,廿／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1859-0780》,《暦日2》,廿一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1859-0790》,《暦日0》,廿二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1859-0800》,《暦日2》,廿三／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1859-0810》,《暦日0》,廿四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1859-0820》,《暦日2》,廿五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1859-0830》,《暦日0》,廿六／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1859-0840》,《暦日2》,廿七／,つちのえたつ,のそく,木,　,●
《1859-0850》,《暦日0》,廿八／,つちのとのみ,みつ,,　,十し
《1859-0860》,《暦日1》,廿九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1859-0870》,《月序》,三月,大,建,戊辰,奎宿　昴　日よう
《1859-0880》,《暦日1》,一／,かのとのひつし,さたん,土,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1859-0890》,《暦日2》,二／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1859-0900》,《暦日0》,三／,みつのとのとり,とる,,　,神よし 大みやう
《1859-0910》,《節中》,清明三月せつ夕七時ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1859-0920》,《暦日2》,四／,きのえいぬ,やふる,火,　, くさかりよし
《1859-0930》,《暦日0》,五／,きのとのい,あやふ,,　,●
《1859-0940》,《暦日2》,六／,ひのえね,なる,水,　,きしく きこ
《1859-0950》,《暦日0》,七／,ひのとのうし,おさん,,　,十し
《1859-0960》,《暦日2》,八／,つちのえとら,ひらく,土,　,天しや よろつよし
《1859-0970》,《暦日0》,九／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1859-0980》,《暦日2》,十／,かのえたつ,たつ,金,　,くゑ日
《1859-0990》,《暦日0》,十一／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1859-1000》,《暦日2》,十二／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1859-1010》,《暦日0》,十三／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1859-1020》,《暦日2》,十四／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1859-1030》,《暦日0》,十五／,きのとのとり,とる,,とよう暮六時七分ニ入,神よし  くさかりよし
《1859-1040》,《暦日2》,十六／,ひのえいぬ,やふる,土,　,五む日
《1859-1050》,《暦日0》,十七／,ひのとのい,あやふ,,　,●
《1859-1060》,《暦日2》,十八／,つちのえね,なる,火,　,母倉 きこ ふく日
《1859-1070》,《暦日0》,十九／,つちのとのうし,おさん,,　,十し
《1859-1080》,《節中》,穀雨三月中今暁九時二分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1859-1090》,《暦日2》,廿／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1859-1100》,《暦日0》,廿一／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1859-1110》,《暦日2》,廿二／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1859-1120》,《暦日0》,廿三／,みつのとのみ,のそく,,天一天上,母倉 ちう日 わうまう  けんふくよし
《1859-1130》,《暦日2》,廿四／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1859-1140》,《暦日0》,廿五／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1859-1150》,《暦日2》,廿六／,ひのえさる,さたん,火,　,くゑ日
《1859-1160》,《暦日0》,廿七／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《1859-1170》,《暦日2》,廿八／,つちのえいぬ,やふる,木,　,ふく日
《1859-1180》,《暦日0》,廿九／,つちのとのい,あやふ,,　,●
《1859-1190》,《暦日1》,卅／,かのえね,なる,土,八十八や,神よし きこ
