《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日0》,十四／,かのとのみ,みつ,,　,十し
《0700》,《暦日2》,十五／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0710》,《暦日0》,十六／,みつのとのひつし,さたん,,　,天おん ちいみ
《0720》,《暦日2》,十七／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0730》,《暦日0》,十八／,きのとのとり,やふる,,　,ふく日
《0740》,《暦日2》,十九／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0750》,《暦日0》,廿／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0760》,《暦日2》,廿一／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《0770》,《暦日0》,廿二／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0780》,《暦日2》,廿三／,かのえとら,とつ,木,　,きこ  つめとりよし
《0790》,《暦日0》,廿四／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0800》,《節中》,清明三月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《0810》,《暦日2》,廿五／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0820》,《暦日0》,廿六／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《0830》,《暦日2》,廿七／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0840》,《暦日0》,廿八／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0850》,《暦日2》,廿九／,ひのえさる,さたん,火,　,くゑ日
《0860》,《暦日0》,卅／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《0870》,《月序》,三月,小,建,甲辰,奎宿　胃　土よう
《0880》,《暦日2》,一／,つちのえいぬ,やふる,木,　,ふく日
《0890》,《暦日0》,二／,つちのとのい,あやふ,,　,●
《0900》,《暦日2》,三／,かのえね,なる,土,　,神よし きこ
《0910》,《暦日0》,四／,かのとのうし,おさん,,　,十し
《0920》,《暦日2》,五／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《0930》,《暦日0》,六／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《0940》,《暦日2》,七／,きのえたつ,たつ,火,とよう今暁とらの二刻ニ入,きしく 大みやう くゑ日
《0950》,《暦日0》,八／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《0960》,《暦日2》,九／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《0970》,《暦日0》,十／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《0980》,《節中》,穀雨三月中今暁とらの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《0990》,《暦日2》,十一／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1000》,《暦日0》,十二／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1010》,《暦日2》,十三／,かのえいぬ,やふる,金,　,大みやう 天おん
《1020》,《暦日0》,十四／,かのとのい,あやふ,,　,●
《1030》,《暦日2》,十五／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1040》,《暦日0》,十六／,みつのとのうし,おさん,,ま日,十し
《1050》,《暦日2》,十七／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1060》,《暦日0》,十八／,きのとのう,とつ,,　,神よし  ものたちよし
《1070》,《暦日2》,十九／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1080》,《暦日0》,廿／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1090》,《暦日2》,廿一／,つちのえむま,みつ,火,八十八や/ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1100》,《暦日0》,廿二／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1110》,《暦日2》,廿三／,かのえさる,さたん,木,　,大みやう くゑ日
《1120》,《暦日0》,廿四／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1130》,《暦日1》,廿五／,みつのえいぬ,とる,水,ま日,ふく日
《1140》,《節中》,立夏四月せつみの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1150》,《暦日1》,廿六／,みつのとのい,やふる,水,八せんのおはり,くゑ日 ちう日
《1160》,《暦日2》,廿七／,きのえね,あやふ,金,　,天おん
《1170》,《暦日0》,廿八／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1180》,《暦日1》,廿九／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1190》,《月序》,四月,大,建,乙巳,婁宿　昴　日よう
《1200》,《暦日1》,一／,ひのとのう,ひらく,火,　,さい下しき 神よし 天おん 母倉  わたましよし
《1210》,《暦日2》,二／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1220》,《暦日0》,三／,つちのとのみ,たつ,,　,●
