«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-0460»,«暦日2»,廿四〳,かのえね,ひらく,土,　,さい下しき 神よし 母倉 ふく日 天火 らうしやく
«1827-0470»,«暦日0»,廿五〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1827-0480»,«暦日1»,廿六〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1827-0490»,«節中»,雨水正月中うの四刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1827-0500»,«暦日1»,廿七〳,みつのとのう,のそく,金,　,神よし  あさまきよし
«1827-0510»,«暦日2»,廿八〳,きのえたつ,みつ,火,　,きしく 大みやう ふく日  かといてよし
«1827-0520»,«暦日0»,廿九〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1827-0530»,«暦日1»,卅〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1827-0540»,«月序»,二月,小,建,癸卯,井宿　張　月よう
«1827-0550»,«暦日1»,一〳,ひのとのひつし,とる,水,　,神よし  かといてよし
«1827-0560»,«暦日2»,二〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1827-0570»,«暦日0»,三〳,つちのとのとり,あやふ,,　,十し
«1827-0580»,«暦日2»,四〳,かのえいぬ,なる,金,　,●
«1827-0590»,«暦日0»,五〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1827-0600»,«暦日2»,六〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1827-0610»,«暦日0»,七〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1827-0620»,«暦日2»,八〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1827-0630»,«暦日0»,九〳,きのとのう,のそく,,　,神よし  ものたちよし
«1827-0640»,«暦日2»,十〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1827-0650»,«暦日0»,十一〳,ひのとのみ,みつ,,　,十し
«1827-0660»,«節中»,啓蟄二月せつむまの一刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1827-0670»,«暦日2»,十二〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1827-0680»,«暦日0»,十三〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1827-0690»,«暦日2»,十四〳,かのえさる,とる,木,　,神よし 大みやう
«1827-0700»,«暦日0»,十五〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1827-0710»,«暦日2»,十六〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1827-0720»,«暦日0»,十七〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
