«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-0640»,«暦日0»,九〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1776-0650»,«暦日2»,十〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
«1776-0660»,«暦日0»,十一〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1776-0670»,«暦日2»,十二〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1776-0680»,«暦日0»,十三〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1776-0690»,«暦日2»,十四〳,ひのえたつ,のそく,土,ま日,●
«1776-0700»,«暦日0»,十五〳,ひのとのみ,みつ,,　,十し
«1776-0710»,«暦日2»,十六〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1776-0720»,«暦日0»,十七〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1776-0730»,«暦日1»,十八〳,かのえさる,さたん,木,　,大みやう くゑ日
«1776-0740»,«節中»,清明三月せつむまの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1776-0750»,«暦日1»,十九〳,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
«1776-0760»,«暦日2»,廿〳,みつのえいぬ,やふる,水,ま日,月とく
«1776-0770»,«暦日0»,廿一〳,みつのとのい,あやふ,,八せんのおはり,●
«1776-0780»,«暦日2»,廿二〳,きのえね,なる,金,　,くゑ日 きこ
«1776-0790»,«暦日0»,廿三〳,きのとのうし,おさん,,　,十し
«1776-0800»,«暦日2»,廿四〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1776-0810»,«暦日0»,廿五〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1776-0820»,«暦日2»,廿六〳,つちのえたつ,たつ,木,　,五む日 くゑ日 ふく日
