《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2920》,《暦日0》,十／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2930》,《暦日2》,十一／,ひのえさる,ひらく,火,　,くゑ日
《2940》,《暦日0》,十二／,ひのとのとり,とつ,,　,くゑ日
《2950》,《暦日2》,十三／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2960》,《暦日0》,十四／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《2970》,《暦日2》,十五／,かのえね,みつ,土,　,神よし きしく きこ 天火 らうしやく
《2980》,《暦日0》,十六／,かのとのうし,たいら,,　,十し
《2990》,《暦日2》,十七／,みつのえとら,さたん,金,とよう暮六時七分ニ入,●
《3000》,《暦日0》,十八／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《3010》,《暦日2》,十九／,きのえたつ,やふる,火,　,大みやう
《3020》,《暦日0》,廿／,きのとのみ,あやふ,,　,神よし 大みやう 母倉 ちいみ ちう日 下しきひつしの時
《3030》,《節中》,霜降九月中暮六時八分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《3040》,《暦日2》,廿一／,ひのえむま,なる,水,　,神よし 大みやう 母倉 月とく  いちたちよし
《3050》,《暦日0》,廿二／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《3060》,《暦日2》,廿三／,つちのえさる,ひらく,土,　,天しや よろつよし
《3070》,《暦日0》,廿四／,つちのとのとり,とつ,,　,神よし 大みやう 天おん ふく日  たねまきよし
《3080》,《暦日2》,廿五／,かのえいぬ,たつ,金,　,大みやう くゑ日
《3090》,《暦日0》,廿六／,かのとのい,のそく,,　,神よし 大みやう 天おん 月とく ちう日  田かりよし
《3100》,《暦日2》,廿七／,みつのえね,みつ,木,八せんのはしめ,神よし 天おん きこ 天火 らうしやく
《3110》,《暦日0》,廿八／,みつのとのうし,たいら,,ま日,十し
《3120》,《暦日2》,廿九／,きのえとら,さたん,水,　,●
《3130》,《暦日0》,卅／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3140》,《月序》,十月,小,建,己亥,昴宿　虛　日よう
《3150》,《暦日2》,一／,ひのえたつ,やふる,土,ま日,大みやう 母倉 月とく わうまう  かとたてよし
《3160》,《暦日0》,二／,ひのとのみ,あやふ,,　,母倉 ちいみ ちう日 下しきひつしの時
《3170》,《暦日2》,三／,つちのえむま,なる,火,ま日,神よし 母倉 ふく日
《3180》,《暦日0》,四／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《3190》,《暦日1》,五／,かのえさる,おさん,木,　,●
《3200》,《節中》,立冬十月せつ暮六時七分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3210》,《暦日1》,六／,かのとのとり,ひらく,木,　,十し
《3220》,《暦日2》,七／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3230》,《暦日0》,八／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3240》,《暦日2》,九／,きのえね,のそく,金,　,天しや よろつよし
《3250》,《暦日0》,十／,きのとのうし,みつ,,　,くゑ日 きこ
《3260》,《暦日2》,十一／,ひのえとら,たいら,火,　,天おん 大くわ ふく日 地火  つめとりよし
《3270》,《暦日0》,十二／,ひのとのう,さたん,,　,神よし 天おん 天火 らうしやく
《3280》,《暦日2》,十三／,つちのえたつ,とる,木,　,きしく 天おん 五む日  ふねのりよし
《3290》,《暦日0》,十四／,つちのとのみ,やふる,,　,くゑ日 ちう日 わうまう
《3300》,《暦日2》,十五／,かのえむま,あやふ,土,　,神よし  みそさけつくりよし
《3310》,《暦日0》,十六／,かのとのひつし,なる,,　,大みやう  やたて ものたちよし
《3320》,《暦日2》,十七／,みつのえさる,おさん,金,　,●
《3330》,《暦日0》,十八／,みつのとのとり,ひらく,,　,十し
《3340》,《暦日2》,十九／,きのえいぬ,とつ,火,　,月とく  わたまし いちたちよし
《3350》,《暦日0》,廿／,きのとのい,たつ,,　,ちいみ ちう日 下しきさるの時  入学よし
《3360》,《節中》,小雪十月中夕七時三分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《3370》,《暦日2》,廿一／,ひのえね,のそく,水,　,ふく日
《3380》,《暦日0》,廿二／,ひのとのうし,みつ,,　,大みやう くゑ日 きこ
《3390》,《暦日2》,廿三／,つちのえとら,たいら,土,　,大くわ 地火  つめとりよし
《3400》,《暦日0》,廿四／,つちのとのう,さたん,,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《3410》,《暦日2》,廿五／,かのえたつ,とる,金,　,天おん  けんふく よめとりよし
《3420》,《暦日0》,廿六／,かのとのみ,やふる,,　,天おん ちう日
《3430》,《暦日2》,廿七／,みつのえむま,あやふ,木,　,神よし 大みやう 天おん ふく日  かとたてよし
《3440》,《暦日0》,廿八／,みつのとのひつし,なる,,　,天おん
《3450》,《暦日1》,廿九／,きのえさる,おさん,水,十方くれニ入,●
《3460》,《月序》,十一月,小,建,庚子,畢宿　危　月よう
《3470》,《暦日1》,一／,きのとのとり,ひらく,水,　,十し
《3480》,《暦日2》,二／,ひのえいぬ,とつ,土,　,さい下しき 五む日 ふく日
《3490》,《暦日0》,三／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3500》,《暦日2》,四／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3510》,《暦日0》,五／,つちのとのうし,みつ,,　,くゑ日 きこ
《3520》,《暦日1》,六／,かのえとら,みつ,木,　,きこ  みそさけつくり  つめとりよし
《3530》,《節中》,大雪十一月せつ朝四時六分ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3540》,《暦日1》,七／,かのとのう,たいら,木,　,●
《3550》,《暦日2》,八／,みつのえたつ,さたん,水,　,大みやう 月とく 五む日  木こりよし
《3560》,《暦日0》,九／,みつのとのみ,とる,,天一天上,十し
《3570》,《暦日2》,十／,きのえむま,やふる,金,　,ちいみ 天火 らうしやく
《3580》,《暦日0》,十一／,きのとのひつし,あやふ,,　,大みやう 五む日  ものたちよし
《3590》,《暦日2》,十二／,ひのえさる,なる,火,　,きしく 母倉
《3600》,《暦日0》,十三／,ひのとのとり,おさん,,　,神よし 母倉 月とく 大くわ ふく日
《3610》,《暦日2》,十四／,つちのえいぬ,ひらく,木,　, くらたて かまぬりよし
《3620》,《暦日0》,十五／,つちのとのい,とつ,,　,神よし ちう日  ふねのりよし
《3630》,《暦日1》,十六／,かのえね,たつ,土,　
《3640》,《食記》,月帯そく
《3650》,《暦日1》,十七／,かのとのうし,のそく,土,　,神よし 五む日  つめとりよし
《3660》,《暦日2》,十八／,みつのえとら,みつ,金,　,大みやう 月とく きこ  つめとりよし
《3670》,《暦日0》,十九／,みつのとのう,たいら,,　,●
《3680》,《暦日2》,廿／,きのえたつ,さたん,火,　,大みやう
《3690》,《暦日0》,廿一／,きのとのみ,とる,,　,十し
《3700》,《節中》,冬至十一月中今暁七時二分日の出より日入まて,昼四十刻余/夜五十九刻半余,六より六まて,昼四十五刻半余/夜五十四刻余
《3710》,《暦日2》,廿二／,ひのえむま,やふる,水,　,大みやう くゑ日 ちいみ 天火 らうしやく
《3720》,《暦日0》,廿三／,ひのとのひつし,あやふ,,　,神よし 月とく ふく日  いちたちよし
《3730》,《暦日2》,廿四／,つちのえさる,なる,土,　,母倉  入学よし
《3740》,《暦日0》,廿五／,つちのとのとり,おさん,,　,大みやう 天おん 母倉 大くわ わうまう  やたてよし
《3750》,《暦日2》,廿六／,かのえいぬ,ひらく,金,　,大みやう 天おん  たねまきよし
《3760》,《暦日0》,廿七／,かのとのい,とつ,,　,神よし 大みやう 天おん ちう日
《3770》,《暦日2》,廿八／,みつのえね,たつ,木,八せんのはしめ,くゑ日
《3780》,《暦日0》,廿九／,みつのとのうし,のそく,,ま日,神よし 天おん ふく日  木こり  つめとりよし
《3790》,《月序》,十二月,大,建,辛丑,觜宿　室　火よう
《3800》,《暦日2》,一／,きのえとら,みつ,水,　,きこ  つめとりよし
《3810》,《暦日0》,二／,きのとのう,たいら,,　,●
《3820》,《暦日2》,三／,ひのえたつ,さたん,土,ま日,大みやう  けんふく かといてよし
《3830》,《暦日0》,四／,ひのとのみ,とる,,　,十し
《3840》,《暦日2》,五／,つちのえむま,やふる,火,ま日,ちいみ 天火 らうしやく
《3850》,《暦日0》,六／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《3860》,《節中》,小寒十二月せつ夜四時ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3870》,《暦日2》,七／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《3880》,《暦日0》,八／,かのとのとり,なる,,　,●
《3890》,《暦日2》,九／,みつのえいぬ,おさん,水,ま日,めつもん  たねまきよし
《3900》,《暦日0》,十／,みつのとのい,ひらく,,八せんのおはり,くゑ日 ちう日
《3910》,《暦日2》,十一／,きのえね,とつ,金,　,天しや よろつよし
《3920》,《暦日0》,十二／,きのとのうし,たつ,,　,十し
《3930》,《暦日2》,十三／,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
《3940》,《暦日0》,十四／,ひのとのう,みつ,,　,神よし 天おん
《3950》,《暦日2》,十五／,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
《3960》,《暦日0》,十六／,つちのとのみ,さたん,,　,母倉 ちう日 ふく日
《3970》,《暦日2》,十七／,かのえむま,とる,土,　,神よし 母倉 月とく  すゝはらひよし
《3980》,《暦日0》,十八／,かのとのひつし,やふる,,　,大みやう  かといてよし
《3990》,《暦日2》,十九／,みつのえさる,あやふ,金,とよう今暁八時ニ入,神よし 大みやう
《4000》,《暦日0》,廿／,みつのとのとり,なる,,　,●
《4010》,《暦日1》,廿一／,きのえいぬ,おさん,火,　,めつもん  わたましよし
《4020》,《節中》,大寒十二月中昼八時七分日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻/夜五十三刻
《4030》,《暦日1》,廿二／,きのとのい,ひらく,火,　,月とく ちう日  いちたちよし
《4040》,《暦日2》,廿三／,ひのえね,とつ,水,　,きこ ちいみ
《4050》,《暦日0》,廿四／,ひのとのうし,たつ,,　,十し
《4060》,《暦日2》,廿五／,つちのえとら,のそく,土,　,ふく日  木こり すゝはらひ  つめとりよし
《4070》,《暦日0》,廿六／,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日  正月ことはしめよし
《4080》,《暦日2》,廿七／,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
《4090》,《暦日0》,廿八／,かのとのみ,さたん,,　,天おん 母倉 ちう日  すゝはらひよし
《4100》,《暦日2》,廿九／,みつのえむま,とる,木,　,神よし 大みやう 天おん 母倉  正月ことはしめよし
《4110》,《暦日0》,卅／,みつのとのひつし,やふる,,　,天おん  たねまきよし
《4120》,《暦末》,万延元年出,立表測景定節氣者
