《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0690》,《暦日0》,十五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0700》,《暦日2》,十六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0710》,《暦日0》,十七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0720》,《暦日2》,十八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0730》,《暦日0》,十九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0740》,《暦日2》,廿／,つちのえとら,とつ,土,　,天しや よろつよし
《0750》,《暦日0》,廿一／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0760》,《暦日2》,廿二／,かのえたつ,のそく,金,　,●
《0770》,《暦日0》,廿三／,かのとのみ,みつ,,　,十し
《0780》,《暦日2》,廿四／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0790》,《暦日0》,廿五／,みつのとのひつし,さたん,,　,天おん ちいみ
《0800》,《暦日1》,廿六／,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
《0810》,《節中》,清明三月せつ今暁七時五分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0820》,《暦日1》,廿七／,きのとのとり,とる,水,　,神よし  くさかりよし
《0830》,《暦日2》,廿八／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《0840》,《暦日0》,廿九／,ひのとのい,あやふ,,　,●
《0850》,《暦日1》,卅／,つちのえね,なる,火,　,母倉 きこ ふく日
《0860》,《月序》,三月,大,建,壬辰,虛宿　軫　水よう
《0870》,《暦日1》,一／,つちのとのうし,おさん,火,　,十し
《0880》,《暦日2》,二／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0890》,《暦日0》,三／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0900》,《暦日2》,四／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0910》,《暦日0》,五／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《0920》,《暦日2》,六／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0930》,《暦日0》,七／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0940》,《暦日2》,八／,ひのえさる,さたん,火,とよう朝五時四分ニ入,くゑ日
《0950》,《暦日0》,九／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《0960》,《暦日2》,十／,つちのえいぬ,やふる,木,　,ふく日
《0970》,《暦日0》,十一／,つちのとのい,あやふ,,　,●
《0980》,《節中》,穀雨三月中昼九時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《0990》,《暦日2》,十二／,かのえね,なる,土,　,神よし きこ
《1000》,《暦日0》,十三／,かのとのうし,おさん,,　,十し
《1010》,《暦日2》,十四／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1020》,《暦日0》,十五／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1030》,《暦日2》,十六／,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
《1040》,《暦日0》,十七／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1050》,《暦日2》,十八／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1060》,《暦日0》,十九／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1070》,《暦日2》,廿／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1080》,《暦日0》,廿一／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1090》,《暦日2》,廿二／,かのえいぬ,やふる,金,　,大みやう 天おん
《1100》,《暦日0》,廿三／,かのとのい,あやふ,,八十八や,●
《1110》,《暦日2》,廿四／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1120》,《暦日0》,廿五／,みつのとのうし,おさん,,ま日,十し
《1130》,《暦日1》,廿六／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1140》,《節中》,立夏四月せつ夜四時一分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1150》,《暦日1》,廿七／,きのとのう,ひらく,水,　,神よし 母倉 月とく  さひらきよし
《1160》,《暦日2》,廿八／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1170》,《暦日0》,廿九／,ひのとのみ,たつ,,　,●
《1180》,《暦日1》,卅／,つちのえむま,のそく,火,ま日,くゑ日
《1190》,《月序》,四月,小,建,癸巳,危宿　亢　金よう
《1200》,《暦日1》,一／,つちのとのひつし,みつ,火,　,大みやう くゑ日
《1210》,《暦日2》,二／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1220》,《暦日0》,三／,かのとのとり,さたん,,　,十し
《1230》,《暦日2》,四／,みつのえいぬ,とる,水,ま日,ふく日
《1240》,《暦日0》,五／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1250》,《暦日2》,六／,きのえね,あやふ,金,　,天おん
《1260》,《暦日0》,七／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1270》,《暦日2》,八／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1280》,《暦日0》,九／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
