«1834-0000»,【 カンマ区切りテキスト形式です。】
«1834-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1834-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1834-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1834-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1834-0050»,【 外部リンク　】
«1834-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/126 ～ 130】
«1834-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1834h　(翻刻編集終了データを表成型して表示します)】
«1834-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1834ht (翻刻編集中データを表成型して表示します)】
«1834-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1834-0100»,«版元»,出版地○○,出版元□□□,　
«1834-0650»,«暦日0»,十二〳,ひのとのひつし,さたん,,　,さい下しき ちいみ わうまう
«1834-0660»,«暦日2»,十三〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1834-0670»,«暦日0»,十四〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1834-0680»,«節中»,春分二月中みの一刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1834-0690»,«暦日2»,十五〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1834-0700»,«暦日0»,十六〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1834-0710»,«暦日2»,十七〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1834-0720»,«暦日0»,十八〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1834-0730»,«暦日2»,十九〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1834-0740»,«暦日0»,廿〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1834-0750»,«暦日2»,廿一〳,ひのえたつ,のそく,土,ま日,●
«1834-0760»,«暦日0»,廿二〳,ひのとのみ,みつ,,　,十し
«1834-0770»,«暦日2»,廿三〳,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
«1834-0780»,«暦日0»,廿四〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1834-0790»,«暦日2»,廿五〳,かのえさる,とる,木,　,神よし 大みやう
«1834-0800»,«暦日0»,廿六〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1834-0810»,«暦日2»,廿七〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1834-0820»,«暦日0»,廿八〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1834-0830»,«暦日1»,廿九〳,きのえね,なる,金,　,くゑ日 きこ
«1834-0840»,«節中»,清明三月せつひつしの六刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1834-0850»,«暦日1»,卅〳,きのとのうし,おさん,金,　,十し
«1834-0860»,«月序»,三月,大,建,戊辰,鬼宿　參　水よう
«1834-0870»,«暦日2»,一〳,ひのえとら,ひらく,火,　,くゑ日 ちいみ
«1834-0880»,«暦日0»,二〳,ひのとのう,とつ,,　,くゑ日  たねまきよし
«1834-0890»,«暦日2»,三〳,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
«1834-0900»,«暦日0»,四〳,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
«1834-0910»,«暦日2»,五〳,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
«1834-0920»,«暦日0»,六〳,かのとのひつし,たいら,,　,大みやう めつもん 地火
«1834-0930»,«暦日2»,七〳,みつのえさる,さたん,金,　,大みやう くゑ日
«1834-0940»,«暦日0»,八〳,みつのとのとり,とる,,　,神よし 大みやう
«1834-0950»,«暦日2»,九〳,きのえいぬ,やふる,火,　, くさかりよし
«1834-0960»,«暦日0»,十〳,きのとのい,あやふ,,　,●
«1834-0970»,«暦日2»,十一〳,ひのえね,なる,水,とようとりの七刻ニ入,きこ
«1834-0980»,«暦日0»,十二〳,ひのとのうし,おさん,,　,十し
«1834-0990»,«暦日2»,十三〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1834-1000»,«暦日0»,十四〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1834-1010»,«節中»,穀雨三月中いぬの三刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1834-1020»,«暦日2»,十五〳,かのえたつ,たつ,金,　,くゑ日
«1834-1030»,«暦日0»,十六〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1834-1040»,«暦日2»,十七〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1834-1050»,«暦日0»,十八〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1834-1060»,«暦日2»,十九〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日 わうまう
«1834-1070»,«暦日0»,廿〳,きのとのとり,とる,,　,神よし  くさかりよし
«1834-1080»,«暦日2»,廿一〳,ひのえいぬ,やふる,土,　,五む日
«1834-1090»,«暦日0»,廿二〳,ひのとのい,あやふ,,　,●
«1834-1100»,«暦日2»,廿三〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1834-1110»,«暦日0»,廿四〳,つちのとのうし,おさん,,　,十し
«1834-1120»,«暦日2»,廿五〳,かのえとら,ひらく,木,八十八や,ちいみ  いちたち  つめとりよし
«1834-1130»,«暦日0»,廿六〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1834-1140»,«暦日2»,廿七〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1834-1150»,«暦日0»,廿八〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1834-1160»,«暦日2»,廿九〳,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
«1834-1170»,«暦日0»,卅〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1834-1180»,«節中»,立夏四月せつ今暁ねの八刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1834-1190»,«月序»,四月,小,建,己巳,柳宿　鬼　金よう
«1834-1200»,«暦日2»,一〳,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
«1834-1210»,«暦日0»,二〳,ひのとのとり,さたん,,　,十し
«1834-1220»,«暦日2»,三〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1834-1230»,«暦日0»,四〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1834-1240»,«暦日2»,五〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1834-1250»,«暦日0»,六〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1834-1260»,«暦日2»,七〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん わうまう  つめとりよし
«1834-1270»,«暦日0»,八〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1834-1280»,«暦日2»,九〳,きのえたつ,とつ,火,　,大みやう
«1834-1290»,«暦日0»,十〳,きのとのみ,たつ,,　,●
