《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/69 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1821g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1821h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2740》,《暦日2》,廿四／,みつのえとら,とる,金,ひかんニなる,大みやう きこ  やたて  つめとりよし
《2750》,《暦日0》,廿五／,みつのとのう,やふる,,　, くらたて 田かりよし
《2760》,《節中》,秋分八月中いぬの六刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2770》,《暦日2》,廿六／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2780》,《暦日0》,廿七／,きのとのみ,なる,,　,十し
《2790》,《暦日2》,廿八／,ひのえむま,おさん,水,　,さい下しき 大みやう めつもん
《2800》,《暦日0》,廿九／,ひのとのひつし,ひらく,,　,●
《2810》,《月序》,九月,大,建,戊戌,室宿　箕　水よう
《2820》,《暦日2》,一／,つちのえさる,とつ,土,　,天しや よろつよし
《2830》,《暦日0》,二／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2840》,《暦日2》,三／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2850》,《暦日0》,四／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2860》,《暦日2》,五／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2870》,《暦日0》,六／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2880》,《暦日2》,七／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2890》,《暦日0》,八／,きのとのう,やふる,,　,くゑ日 ふく日
《2900》,《暦日2》,九／,ひのえたつ,あやふ,土,ま日,大みやう 母倉
《2910》,《暦日0》,十／,ひのとのみ,なる,,　,十し
《2920》,《暦日2》,十一／,つちのえむま,おさん,火,ま日,めつもん
《2930》,《暦日0》,十二／,つちのとのひつし,おさん,,　,神よし 大みやう 母倉 大くわ ふく日  かといてよし
《2940》,《節中》,寒露九月せつ今暁うしの三刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2950》,《暦日2》,十三／,かのえさる,ひらく,木,　,大みやう
《2960》,《暦日0》,十四／,かのとのとり,とつ,,　,神よし 大みやう 月とく  いちたちよし
《2970》,《暦日2》,十五／,みつのえいぬ,たつ,水,ま日,母倉  田かりよし
《2980》,《暦日0》,十六／,みつのとのい,のそく,,八せんのおはり,ちう日  むきまきよし
《2990》,《暦日2》,十七／,きのえね,みつ,金,　,きしく 天おん きこ 天火 らうしやく
《3000》,《暦日0》,十八／,きのとのうし,たいら,,　,十し
《3010》,《暦日2》,十九／,ひのえとら,さたん,火,　,●
《3020》,《暦日0》,廿／,ひのとのう,とる,,　,神よし 天おん  田かりよし
《3030》,《暦日2》,廿一／,つちのえたつ,やふる,木,　,天おん 五む日 ふく日
《3040》,《暦日0》,廿二／,つちのとのみ,あやふ,,　,神よし 母倉 ちいみ ちう日 ふく日 下しきひつしの時
《3050》,《暦日2》,廿三／,かのえむま,なる,土,　,神よし 母倉  みそすつくりよし
《3060》,《暦日0》,廿四／,かのとのひつし,おさん,,とよううの四刻ニ入,大みやう 月とく 大くわ  たねまき 田かりよし
《3070》,《暦日2》,廿五／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《3080》,《暦日0》,廿六／,みつのとのとり,とつ,,　,神よし 大みやう
《3090》,《暦日1》,廿七／,きのえいぬ,たつ,火,　,くゑ日
《3100》,《節中》,霜降九月中たつの初刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《3110》,《暦日1》,廿八／,きのとのい,のそく,火,　,ちう日  田かりよし
《3120》,《暦日2》,廿九／,ひのえね,みつ,水,　,月とく きこ 天火 らうしやく
《3130》,《暦日0》,卅／,ひのとのうし,たいら,,　,十し
《3140》,《月序》,十月,大,建,己亥,壁宿　牛　金よう
《3150》,《暦日2》,一／,つちのえとら,さたん,土,　,●
《3160》,《暦日0》,二／,つちのとのう,とる,,　,神よし 大みやう 天おん ふく日  竹木こりよし
《3170》,《暦日2》,三／,かのえたつ,やふる,金,　,天おん
《3180》,《暦日0》,四／,かのとのみ,あやふ,,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《3190》,《暦日2》,五／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《3200》,《暦日0》,六／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《3210》,《暦日2》,七／,きのえさる,ひらく,水,十方くれニ入,大みやう
《3220》,《暦日0》,八／,きのとのとり,とつ,,　,わうまう  田かりよし
《3230》,《暦日2》,九／,ひのえいぬ,たつ,土,　,母倉 月とく 五む日  竹木こりよし
《3240》,《暦日0》,十／,ひのとのい,のそく,,　,大みやう ちう日
《3250》,《暦日2》,十一／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《3260》,《暦日0》,十二／,つちのとのうし,みつ,,　,くゑ日 きこ
《3270》,《節中》,立冬十月せつむまの五刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《3280》,《暦日2》,十三／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3290》,《暦日0》,十四／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3300》,《暦日2》,十五／,みつのえたつ,とる,水,　,きしく 大みやう 五む日 ふく日
《3310》,《暦日0》,十六／,みつのとのみ,やふる,,天一天上,ちう日
《3320》,《暦日2》,十七／,きのえむま,あやふ,金,　,神よし 月とく  かまぬり むきまきよし
《3330》,《暦日0》,十八／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3340》,《暦日2》,十九／,ひのえさる,おさん,火,　,●
《3350》,《暦日0》,廿／,ひのとのとり,ひらく,,　,十し
《3360》,《暦日2》,廿一／,つちのえいぬ,とつ,木,　,くゑ日 わうまう
《3370》,《暦日0》,廿二／,つちのとのい,たつ,,　,くゑ日 ちいみ ちう日 下しきさるの時
《3380》,《暦日2》,廿三／,かのえね,のそく,土,　,神よし  くらたて 井ほりよし
《3390》,《暦日0》,廿四／,かのとのうし,みつ,,　,五む日 くゑ日 きこ
《3400》,《暦日2》,廿五／,みつのえとら,たいら,金,　,大みやう 大くわ ふく日 地火  つめとりよし
《3410》,《暦日0》,廿六／,みつのとのう,さたん,,　,神よし 天火 らうしやく
《3420》,《暦日1》,廿七／,きのえたつ,とる,火,　,大みやう 月とく  やたて かとたてよし
《3430》,《節中》,小雪十月中とりの二刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《3440》,《暦日1》,廿八／,きのとのみ,やふる,火,　,神よし 大みやう ちう日
《3450》,《暦日2》,廿九／,ひのえむま,あやふ,水,　,さい下しき 神よし 大みやう ふく日
《3460》,《暦日0》,卅／,ひのとのひつし,なる,,　, 木こりよし
《3470》,《月序》,十一月,小,建,庚子,奎宿　虛　日よう
《3480》,《暦日2》,一／,つちのえさる,おさん,土,　,●
《3490》,《暦日0》,二／,つちのとのとり,ひらく,,　,十し
《3500》,《暦日2》,三／,かのえいぬ,とつ,金,　,大みやう 天おん  たねまきよし
《3510》,《暦日0》,四／,かのとのい,たつ,,　,大みやう 天おん ちいみ ちう日 下しきさるの時
《3520》,《暦日2》,五／,みつのえね,のそく,木,八せんのはしめ,くゑ日 ふく日
《3530》,《暦日0》,六／,みつのとのうし,みつ,,ま日,くゑ日 きこ
《3540》,《暦日2》,七／,きのえとら,たいら,水,　,月とく 大くわ 地火  ふねのり  つめとりよし
《3550》,《暦日0》,八／,きのとのう,さたん,,　,神よし 天火 らうしやく  けんふく ものたちよし
《3560》,《暦日2》,九／,ひのえたつ,とる,土,ま日,大みやう ふく日  かといてよし
《3570》,《暦日0》,十／,ひのとのみ,やふる,,　,くゑ日 ちう日
《3580》,《暦日2》,十一／,つちのえむま,あやふ,火,ま日,神よし  むきまきよし
《3590》,《暦日0》,十二／,つちのとのひつし,あやふ,,　,神よし 大みやう
《3600》,《節中》,大雪十一月せついの七刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3610》,《暦日2》,十三／,かのえさる,なる,木,　,きしく 大みやう 母倉  入学 みそさけつくりよし
《3620》,《暦日0》,十四／,かのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ  井ほりよし
《3630》,《暦日2》,十五／,みつのえいぬ,ひらく,水,ま日,月とく
《3640》,《暦日0》,十六／,みつのとのい,とつ,,八せんのおはり,ちう日 ふく日
《3650》,《暦日2》,十七／,きのえね,たつ,金,　,天しや よろつよし
《3660》,《暦日0》,十八／,きのとのうし,のそく,,　,神よし 天おん  やたて  つめとりよし
《3670》,《暦日2》,十九／,ひのえとら,みつ,火,　,天おん きこ  つめとりよし
《3680》,《暦日0》,廿／,ひのとのう,たいら,,　,●
《3690》,《暦日2》,廿一／,つちのえたつ,さたん,木,　,天おん 五む日
《3700》,《暦日0》,廿二／,つちのとのみ,とる,,　,十し
《3710》,《暦日2》,廿三／,かのえむま,やふる,土,　,ちいみ 天火 らうしやく
《3720》,《暦日0》,廿四／,かのとのひつし,あやふ,,　,大みやう  かとたてよし
《3730》,《暦日2》,廿五／,みつのえさる,なる,金,　,大みやう 母倉 月とく  いちたちよし
《3740》,《暦日0》,廿六／,みつのとのとり,おさん,,　,神よし 大みやう 母倉 大くわ ふく日
《3750》,《暦日2》,廿七／,きのえいぬ,ひらく,火,　
《3760》,《暦日0》,廿八／,きのとのい,とつ,,　,ちう日
《3770》,《節中》,冬至十一月中今暁とらの四刻日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十五刻半余/夜五十四刻余
《3780》,《暦日1》,廿九／,ひのえね,たつ,水,　, 木こりよし
《3790》,《月序》,十二月,大,建,辛丑,婁宿　危　月よう
《3800》,《暦日1》,一／,ひのとのうし,のそく,水,　,神よし 大みやう 月とく ふく日  ものたち  つめとりよし
《3810》,《暦日2》,二／,つちのえとら,みつ,土,　,きこ わうまう  みそさけつくり  つめとりよし
《3820》,《暦日0》,三／,つちのとのう,たいら,,　,●
《3830》,《暦日2》,四／,かのえたつ,さたん,金,　,天おん  たねまきよし
《3840》,《暦日0》,五／,かのとのみ,とる,,　,十し
《3850》,《暦日2》,六／,みつのえむま,やふる,木,　,大みやう 天おん 月とく ちいみ 天火 らうしやく
《3860》,《暦日0》,七／,みつのとのひつし,あやふ,,　,天おん ふく日
《3870》,《暦日2》,八／,きのえさる,なる,水,十方くれニ入,大みやう 母倉
《3880》,《暦日0》,九／,きのとのとり,おさん,,　,神よし 母倉 大くわ  ものたちよし
《3890》,《暦日2》,十／,ひのえいぬ,ひらく,土,　,五む日
《3900》,《暦日0》,十一／,ひのとのい,とつ,,　,大みやう 月とく ちう日 ふく日
《3910》,《暦日2》,十二／,つちのえね,たつ,火,　,きしく くゑ日
《3920》,《暦日0》,十三／,つちのとのうし,のそく,,　, つめとりよし
《3930》,《暦日1》,十四／,かのえとら,のそく,木,　,月とく  井ほり  つめとりよし
《3940》,《節中》,小寒十二月せつみの一刻ニ入日の出より日入まて,昼四十刻半/夜五十九刻半,六より六まて,昼四十六刻/夜五十四刻
《3950》,《暦日1》,十五／,かのとのう,みつ,木,　,神よし  よめとりよし
《3960》,《暦日2》,十六／,みつのえたつ,たいら,水,　,大みやう 五む日 大くわ 地火
《3970》,《暦日0》,十七／,みつのとのみ,さたん,,天一天上,母倉 ちう日
《3980》,《暦日2》,十八／,きのえむま,とる,金,　,神よし 母倉  けんふく ふねのりよし
《3990》,《暦日0》,十九／,きのとのひつし,やふる,,　,大みやう 月とく 五む日
《4000》,《暦日2》,廿／,ひのえさる,あやふ,火,　,神よし 母倉  木こりよし
《4010》,《暦日0》,廿一／,ひのとのとり,なる,,　,●
《4020》,《暦日2》,廿二／,つちのえいぬ,おさん,木,　,ふく日 めつもん
《4030》,《暦日0》,廿三／,つちのとのい,ひらく,,　,ちう日 ふく日
《4040》,《暦日2》,廿四／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《4050》,《暦日0》,廿五／,かのとのうし,たつ,,　,十し
《4060》,《暦日2》,廿六／,みつのえとら,のそく,金,とようひつしの二刻ニ入,大みやう  けんふく  つめとりよし
《4070》,《暦日0》,廿七／,みつのとのう,みつ,,　,神よし  わたまし すゝはらひよし
《4080》,《暦日2》,廿八／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《4090》,《暦日0》,廿九／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《4100》,《節中》,大寒十二月中ひつしの六刻日の出より日入まて,昼四十一刻半余/夜五十八刻余,六より六まて,昼四十七刻余/夜五十二刻半余
《4110》,《暦日1》,卅／,ひのえむま,とる,水,　,さい下しき 神よし 大みやう 母倉  かといてよし
《4120》,《暦末》,文政三年出,立表測景定節氣者
